condition,arm,min_std,wandb_id,wandb_name,state,delay_k,git_commit,action_noise,spec_id,dataset,have_artifact,checkpoint_step,record_action_noise,walker_xml,n_clips,n_steps,episode_reward,episode_reward_std,lifespan_steps,lifespan_s,survived,reward_per_step,hazard_rate,fm_pred_mse,term_root_too_far,term_root_too_rotated,term_pose_error,term_nan_termination,joint_l2_error,root_pos_distance,body_errors_total
encdec,encdec,0.1,9htwlukh,RodentEncDec_delay0_eff0-20260811-075304,failed,0,ef060b73,0.0,eval3ds-n00-6a6b8d4e,new_eval,True,600064000,0.0,rodent_no_tail_collisions.xml,32,3002,11338.058582305908,3365.301380119385,2644.15625,26.4415625,0.78125,4.2879684520557015,8.272960419793649e-05,,0.09375,0.125,0.0,0.0,1.2764384932673014,0.008140637394196829,0.053408408073936736
encdec,encdec,0.1,9htwlukh,RodentEncDec_delay0_eff0-20260811-075304,failed,0,ef060b73,0.0,eval3ds-n00-6a6b8d4e,old_eval,True,600064000,0.0,rodent_no_tail_collisions.xml,169,502,2144.981657490928,193.03784876430984,484.72189349112426,4.847218934911243,0.9881656804733728,4.425180059522532,2.441465856099992e-05,,0.011834319526627219,0.0,0.0,0.0,1.22120384929468,0.007016208956822206,0.04319682250106583
encdec,encdec,0.1,9htwlukh,RodentEncDec_delay0_eff0-20260811-075304,failed,0,ef060b73,0.0,eval3ds-n00-6a6b8d4e,train,True,600064000,0.0,rodent_no_tail_collisions.xml,673,502,2179.3645832124116,114.86288072826854,487.8915304606241,4.878915304606241,0.9970282317979198,4.466903906191706,6.09104281698546e-06,,0.0029717682020802376,0.0,0.0,0.0,1.1885536369808722,0.006647532610433641,0.04003856869201723
encdec,encdec,0.1,9htwlukh,RodentEncDec_delay0_eff0-20260811-075304,failed,0,ef060b73,0.02,eval3ds-n02-a4e0be11,new_eval,True,600064000,0.02,rodent_no_tail_collisions.xml,32,3002,10935.639205932617,3702.401268897468,2549.34375,25.4934375,0.71875,4.289589901688471,0.00011032250946934873,,0.1875,0.09375,0.0,0.0,1.2850583325429672,0.008828203731077788,0.05624045380007128
encdec,encdec,0.1,9htwlukh,RodentEncDec_delay0_eff0-20260811-075304,failed,0,ef060b73,0.02,eval3ds-n02-a4e0be11,old_eval,True,600064000,0.02,rodent_no_tail_collisions.xml,169,502,2153.3400886129343,158.02357124429298,486.5917159763314,4.865917159763313,0.9940828402366864,4.42535295590128,1.216042026412439e-05,,0.005917159763313609,0.0,0.0,0.0,1.2192215243121751,0.007078731089469063,0.04292206436512901
encdec,encdec,0.1,9htwlukh,RodentEncDec_delay0_eff0-20260811-075304,failed,0,ef060b73,0.02,eval3ds-n02-a4e0be11,train,True,600064000,0.02,rodent_no_tail_collisions.xml,673,502,2171.21869136816,150.02480766228913,486.4101040118871,4.864101040118871,0.9910846953937593,4.4637614915069665,1.8328781685881274e-05,,0.007429420505200594,0.0014858841010401188,0.0,0.0,1.1873042895819905,0.006799805499437376,0.04019263031845107
encdec,encdec,0.1,9htwlukh,RodentEncDec_delay0_eff0-20260811-075304,failed,0,ef060b73,0.05,eval3ds-n05-7c60cd50,new_eval,True,600064000,0.05,rodent_no_tail_collisions.xml,32,3002,11384.454183578491,3327.9378797077425,2656.875,26.56875,0.78125,4.284903950535306,8.233356857210068e-05,,0.09375,0.125,0.0,0.0,1.2659649713927021,0.00843948397063159,0.052347132289359
encdec,encdec,0.1,9htwlukh,RodentEncDec_delay0_eff0-20260811-075304,failed,0,ef060b73,0.05,eval3ds-n05-7c60cd50,old_eval,True,600064000,0.05,rodent_no_tail_collisions.xml,169,502,2136.9396968141814,173.53429768872357,485.8639053254438,4.8586390532544375,0.9881656804733728,4.398226897268291,2.435727247262841e-05,,0.011834319526627219,0.0,0.0,0.0,1.2170254353678185,0.007622255109700948,0.0431714769340324
encdec,encdec,0.1,9htwlukh,RodentEncDec_delay0_eff0-20260811-075304,failed,0,ef060b73,0.05,eval3ds-n05-7c60cd50,train,True,600064000,0.05,rodent_no_tail_collisions.xml,673,502,2163.743321729096,140.3750038530792,486.7845468053492,4.867845468053493,0.9895988112927192,4.444971262808623,2.1367130028143486e-05,,0.007429420505200594,0.0029717682020802376,0.0,0.0,1.180130832411663,0.007255931194760393,0.03999828165563619
encdec,encdec,0.1,9htwlukh,RodentEncDec_delay0_eff0-20260811-075304,failed,0,ef060b73,0.1,eval3ds-n10-2726ab9c,new_eval,True,600064000,0.1,rodent_no_tail_collisions.xml,32,3002,11057.841148376465,3223.1251398083896,2657.40625,26.5740625,0.78125,4.161140641697695,8.23171090231311e-05,,0.125,0.09375,0.0,0.0,1.2776971602603036,0.009851602280975619,0.05416895248790911
encdec,encdec,0.1,9htwlukh,RodentEncDec_delay0_eff0-20260811-075304,failed,0,ef060b73,0.1,eval3ds-n10-2726ab9c,old_eval,True,600064000,0.1,rodent_no_tail_collisions.xml,169,502,2073.897257697653,175.31782835757755,485.71597633136093,4.857159763313609,0.9881656804733728,4.269773610005402,2.4364690690251584e-05,,0.011834319526627219,0.0,0.0,0.0,1.2192340116627751,0.00928257314139099,0.04678706254546636
encdec,encdec,0.1,9htwlukh,RodentEncDec_delay0_eff0-20260811-075304,failed,0,ef060b73,0.1,eval3ds-n10-2726ab9c,train,True,600064000,0.1,rodent_no_tail_collisions.xml,673,502,2104.8759258207915,131.74796069961894,487.3774145616642,4.873774145616642,0.9940564635958395,4.3187801956598,1.219493605280403e-05,,0.005943536404160475,0.0,0.0,0.0,1.183369922200086,0.008813889601809002,0.04327390173915385
encdec,encdec,0.1,9htwlukh,RodentEncDec_delay0_eff0-20260811-075304,failed,0,ef060b73,0.25,eval3ds-n25-da25f356,new_eval,True,600064000,0.25,rodent_no_tail_collisions.xml,32,3002,560.1699719429016,409.28984473064264,199.65625,1.9965625,0.0,2.8056721086512524,0.005008608545938331,,0.46875,0.5625,0.0,0.0,1.4682497775555838,0.029566647175993256,0.1540075252459785
encdec,encdec,0.1,9htwlukh,RodentEncDec_delay0_eff0-20260811-075304,failed,0,ef060b73,0.25,eval3ds-n25-da25f356,old_eval,True,600064000,0.25,rodent_no_tail_collisions.xml,169,502,270.2458736487394,223.65103739490834,105.70414201183432,1.0570414201183431,0.011834319526627168,2.5566252041332826,0.009348410210479177,,0.6035502958579881,0.3905325443786982,0.0,0.0,1.5015461573062818,0.03539904662854294,0.17734563707883358
encdec,encdec,0.1,9htwlukh,RodentEncDec_delay0_eff0-20260811-075304,failed,0,ef060b73,0.25,eval3ds-n25-da25f356,train,True,600064000,0.25,rodent_no_tail_collisions.xml,673,502,281.10282593566984,239.89596467207045,109.50965824665676,1.0950965824665677,0.013372956909361022,2.566922684595737,0.009009497964721846,,0.5809806835066865,0.4338781575037147,0.0,0.0,1.5040811909395897,0.0346454877441125,0.17657191484185986
encdec,encdec,0.1,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,ef060b73,0.0,eval3ds-n00-6a6b8d4e,new_eval,True,600064000,0.0,rodent_no_tail_collisions.xml,32,3002,9846.615762710571,3849.631685822148,2325.46875,23.254687500000003,0.59375,4.234249874443839,0.0001746959618356514,,0.15625,0.21875,0.03125,0.0,1.306919525753388,0.008974694237445634,0.06058488557972273
encdec,encdec,0.1,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,ef060b73,0.0,eval3ds-n00-6a6b8d4e,old_eval,True,600064000,0.0,rodent_no_tail_collisions.xml,169,502,2138.64156978088,133.1682112229253,486.3491124260355,4.863491124260355,0.9822485207100592,4.3973382805466255,3.649945859136419e-05,,0.01775147928994083,0.0,0.0,0.0,1.2438579597575037,0.007082444405747317,0.0449701451488696
encdec,encdec,0.1,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,ef060b73,0.0,eval3ds-n00-6a6b8d4e,train,True,600064000,0.0,rodent_no_tail_collisions.xml,673,502,2154.1520522459123,152.8924765003867,486.30609212481426,4.863060921248143,0.9881129271916791,4.429621769354747,2.4443602498136088e-05,,0.008915304606240713,0.0029717682020802376,0.0,0.0,1.2165346901930318,0.006955521091809759,0.043242570242617955
encdec,encdec,0.1,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,ef060b73,0.02,eval3ds-n02-a4e0be11,new_eval,True,600064000,0.02,rodent_no_tail_collisions.xml,32,3002,10708.129899978638,3696.0616870509607,2521.21875,25.2121875,0.6875,4.2472038175896625,0.00012394799142279898,,0.125,0.1875,0.0,0.0,1.2985100162199479,0.00905473268358491,0.05802642633814108
encdec,encdec,0.1,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,ef060b73,0.02,eval3ds-n02-a4e0be11,old_eval,True,600064000,0.02,rodent_no_tail_collisions.xml,169,502,2142.174771461261,101.27604657377125,488.0059171597633,4.880059171597633,0.9940828402366864,4.389649174602029,1.2125180362057947e-05,,0.005917159763313609,0.0,0.0,0.0,1.2384100016688555,0.007528096164637163,0.044681327631645555
encdec,encdec,0.1,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,ef060b73,0.02,eval3ds-n02-a4e0be11,train,True,600064000,0.02,rodent_no_tail_collisions.xml,673,502,2155.1161064612743,152.326731933511,486.518573551263,4.865185735512629,0.9910846953937593,4.429668718976864,1.8324695275588082e-05,,0.007429420505200594,0.0014858841010401188,0.0,0.0,1.2084211516549965,0.007324991965040101,0.04241157164139358
encdec,encdec,0.1,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,ef060b73,0.05,eval3ds-n05-7c60cd50,new_eval,True,600064000,0.05,rodent_no_tail_collisions.xml,32,3002,10645.024950027466,3357.218190555603,2556.96875,25.5696875,0.6875,4.163142373182099,0.00012221502511518766,,0.15625,0.125,0.03125,0.0,1.306423869419992,0.01132458379792715,0.060086987707129516
encdec,encdec,0.1,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,ef060b73,0.05,eval3ds-n05-7c60cd50,old_eval,True,600064000,0.05,rodent_no_tail_collisions.xml,169,502,2047.5962074776373,270.1793482630282,480.1834319526627,4.801834319526627,0.9704142011834319,4.264195870213808,6.161353526142631e-05,,0.023668639053254437,0.005917159763313609,0.0,0.0,1.2492871502083207,0.010522549491830104,0.053509662775672845
