wandb_id,condition,arm,seed,delay_k,max_step,n_points,reward_at_600M,fm_mse_at_600M,reward_at_1G,fm_mse_at_1G,reward_at_2G,fm_mse_at_2G,reward_at_2p9G,fm_mse_at_2p9G,reward_at_4G,fm_mse_at_4G
dgv264dt,expfm_2g,explicit,42,0,2000076800,200,1966.1916748046874,0.00016889030375748522,2000.0083984375,0.0004957919096340801,2017.281591796875,0.0005430096702184,,,,
q7e7028r,expfm,explicit,42,0,600064000,60,1976.706689453125,0.0007884091814048406,,,,,,,,
wdnsv6wt,expfm,explicit,42,1,600064000,60,1949.6678466796875,0.014270987920463041,,,,,,,,
zgwma7ta,expfm,explicit,42,2,600064000,60,1944.341650390625,0.009028154425322961,,,,,,,,
co9cu5aw,expfm,explicit,42,3,600064000,60,1923.746142578125,0.01183551326394076,,,,,,,,
eq25n7dm,expfm,explicit,42,4,600064000,60,1914.6385009765625,0.013324887119233542,,,,,,,,
j2bmags2,expfm,explicit,42,5,600064000,60,1888.2461669921875,0.015103646367788262,,,,,,,,
m5fbx6tq,expfm,explicit,42,6,600064000,60,1877.2065673828124,0.01866143308579918,,,,,,,,
2696la26,expfm,explicit,42,7,600064000,60,1870.4349609375,0.017286451160907677,,,,,,,,
t4lisyr9,expfm,explicit,42,8,600064000,60,1841.8294921875,0.02031813152134414,,,,,,,,
7c6xmp09,expfm,explicit,42,9,600064000,60,1804.609814453125,0.02405727505683896,,,,,,,,
25io6a70,expfm,explicit,42,10,600064000,60,1776.107958984375,0.02289166264235968,,,,,,,,
itedqjyt,expfm_2g,explicit,42,10,2000076800,200,1774.31025390625,0.02344564460217946,1862.4680419921874,0.01890969648957248,1919.7190185546874,0.016340576112270296,,,,
zq4rpcds,expfm,explicit,42,12,600064000,60,1747.67216796875,0.02495170719921584,,,,,,,,
yws4x1hj,expfm,explicit,42,15,600064000,60,1697.426025390625,0.029830232635140362,,,,,,,,
3dfjggpw,expfm_2g,explicit,42,20,2000076800,200,1617.854345703125,0.03765424937009808,1710.3185791015626,0.03542169220745558,1767.561767578125,0.02824506722390646,,,,
48icppj0,expfm,explicit,42,20,600064000,60,1636.0240478515625,0.03654365688562388,,,,,,,,
gla1tfc5,expfm_4g,explicit,43,20,4000071680,400,1602.5377197265625,0.038100931048393225,1690.4915283203125,0.032994527369737556,1776.7877197265625,0.0285685751587152,1798.9744873046875,0.02698349766433234,1818.9424560546875,0.0252735380083322
