condition,wandb_id,wandb_name,created_at,state
ablate_efference,usv6hlqd,RodentEncDec_delay10_eff0-20260825-072407,2026-08-25T11:24:11Z,finished
ablate_intention,dv8hft01,RodentEncDec_delay10_eff10_nointent-20260825-071450,2026-08-25T11:14:52Z,finished
ablate_proprioception,8kuci8sz,RodentEncDec_delay10_eff10_noproprio-20260825-060653,2026-08-25T10:06:57Z,finished
efference_old,1w7nuehe,RodentEncDec_delay50_eff50-20260611-120955,2026-06-11T16:09:57Z,finished
efference_old,2l2lwxl0,RodentEncDec_delay90_eff90-20260611-120905,2026-06-11T16:09:06Z,finished
efference_old,5d5tvuuv,RodentEncDec_delay8_eff8-20260611-120725,2026-06-11T16:07:26Z,finished
efference_old,68b8d25g,RodentEncDec_delay1_eff1-20260611-103118,2026-06-11T14:31:29Z,finished
efference_old,734woltb,RodentEncDec_delay0_eff0-20260612-065718,2026-06-12T10:57:30Z,finished
efference_old,8ygr9sf4,RodentEncDec_delay5_eff5-20260611-120639,2026-06-11T16:06:55Z,finished
efference_old,a6929dxz,RodentEncDec_delay7_eff7-20260611-120818,2026-06-11T16:08:20Z,finished
efference_old,fgt63dqc,RodentEncDec_delay80_eff80-20260611-120906,2026-06-11T16:09:07Z,finished
efference_old,fmypxy1t,RodentEncDec_delay100_eff100-20260611-120955,2026-06-11T16:09:57Z,finished
efference_old,gunf0ivv,RodentEncDec_delay20_eff20-20260611-120904,2026-06-11T16:09:05Z,finished
efference_old,jir5btpe,RodentEncDec_delay3_eff3-20260611-120639,2026-06-11T16:06:55Z,finished
efference_old,k0i287kl,RodentEncDec_delay10_eff10-20260611-120848,2026-06-11T16:08:49Z,finished
efference_old,mgk9ejcb,RodentEncDec_delay6_eff6-20260611-120818,2026-06-11T16:08:20Z,finished
efference_old,n9982rin,RodentEncDec_delay2_eff2-20260611-103514,2026-06-11T14:35:15Z,finished
efference_old,nvyg0bhj,RodentEncDec_delay4_eff4-20260611-120639,2026-06-11T16:06:55Z,finished
efference_old,oe9lq9ej,RodentEncDec_delay70_eff70-20260611-120906,2026-06-11T16:09:07Z,finished
efference_old,rv3u3x7n,RodentEncDec_delay40_eff40-20260611-120905,2026-06-11T16:09:06Z,finished
efference_old,u9j3se06,RodentEncDec_delay9_eff9-20260611-120839,2026-06-11T16:08:40Z,finished
efference_old,ukzi7fjb,RodentEncDec_delay0_eff0-20260611-103104,2026-06-11T14:31:29Z,finished
efference_old,w2498exh,RodentEncDec_delay30_eff30-20260611-120904,2026-06-11T16:09:05Z,finished
efference_old,xj1agjno,RodentEncDec_delay15_eff15-20260611-120902,2026-06-11T16:09:03Z,finished
efference_old,y7dh46ee,RodentEncDec_delay60_eff60-20260611-120954,2026-06-11T16:09:56Z,finished
encdec,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,2026-08-11T11:52:49Z,failed
encdec,2fiwhyiz,RodentEncDec_delay30_eff30-20260811-084029,2026-08-11T12:40:31Z,failed
encdec,48llced7,RodentEncDec_delay100_eff100-20260811-094548,2026-08-11T13:45:49Z,failed
encdec,7qbsx2pa,RodentEncDec_delay20_eff20-20260811-083832,2026-08-11T12:38:40Z,failed
encdec,7ur99xil,RodentEncDec_delay5_eff5-20260811-081204,2026-08-11T12:12:06Z,failed
encdec,8j703ofi,RodentEncDec_delay25_eff25-20260811-083832,2026-08-11T12:38:40Z,failed
encdec,904oncgf,RodentEncDec_delay7_eff7-20260811-081755,2026-08-11T12:17:56Z,failed
encdec,9htwlukh,RodentEncDec_delay0_eff0-20260811-075304,2026-08-11T11:53:07Z,failed
encdec,ax6foqgd,RodentEncDec_delay4_eff4-20260811-081204,2026-08-11T12:12:06Z,failed
encdec,c1v5gmie,RodentEncDec_delay6_eff6-20260811-081205,2026-08-11T12:12:06Z,failed
encdec,cfq1srhp,RodentEncDec_delay70_eff70-20260811-094225,2026-08-11T13:42:34Z,failed
encdec,d4dtnb5x,RodentEncDec_delay50_eff50-20260811-084722,2026-08-11T12:47:23Z,failed
encdec,dqjh25pb,RodentEncDec_delay8_eff8-20260811-081952,2026-08-11T12:19:57Z,failed
encdec,ekl3fbju,RodentEncDec_delay90_eff90-20260811-094225,2026-08-11T13:42:34Z,failed
encdec,g1eehkgv,RodentEncDec_delay40_eff40-20260811-084704,2026-08-11T12:47:05Z,failed
encdec,mpmlfb9i,RodentEncDec_delay15_eff15-20260811-083832,2026-08-11T12:38:40Z,failed
encdec,n1igz0o8,RodentEncDec_delay60_eff60-20260811-084722,2026-08-11T12:47:23Z,failed
encdec,op8eyyba,RodentEncDec_delay12_eff12-20260811-083832,2026-08-11T12:38:40Z,failed
encdec,qpsikl6i,RodentEncDec_delay3_eff3-20260811-081204,2026-08-11T12:12:06Z,failed
encdec,qynq5js2,RodentEncDec_delay80_eff80-20260811-094225,2026-08-11T13:42:34Z,failed
encdec,vo7jiiwr,RodentEncDec_delay10_eff10-20260811-083832,2026-08-11T12:38:40Z,failed
encdec,xgrebrix,RodentEncDec_delay9_eff9-20260811-081952,2026-08-11T12:19:57Z,failed
encdec,zq5dvwvf,RodentEncDec_delay2_eff2-20260811-080832,2026-08-11T12:08:40Z,failed
expfm,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,2026-08-11T21:42:52Z,failed
expfm,2696la26,RodentForwardModel_delay7_eff7-20260811-173808,2026-08-11T21:38:09Z,failed
expfm,3osnm0o6,RodentForwardModel_delay25_eff25-20260811-175025,2026-08-11T21:50:26Z,failed
expfm,48icppj0,RodentForwardModel_delay20_eff20-20260811-174441,2026-08-11T21:44:43Z,failed
expfm,6cbzq5on,RodentForwardModel_delay50_eff50-20260811-180113,2026-08-11T22:01:16Z,failed
expfm,6ugicoso,RodentForwardModel_delay30_eff30-20260811-175615,2026-08-11T21:56:21Z,failed
expfm,7c6xmp09,RodentForwardModel_delay9_eff9-20260811-173842,2026-08-11T21:38:43Z,failed
expfm,co9cu5aw,RodentForwardModel_delay3_eff3-20260811-163204,2026-08-11T20:32:06Z,failed
expfm,czsyqfjy,RodentForwardModel_delay70_eff70-20260811-180332,2026-08-11T22:03:34Z,failed
