Coverage for 149 runs in collision-model-xml

index  (spec_id=-): 149/149
    encdec_new_current              6/6   
    encdec_new_reference           23/23  
    encdec_old_current             22/22  
    encdec_old_reference            6/6   
    expfm_new_position              5/5   
    expfm_new_reference            23/23  
    expfm_old_current              23/23  
    expfm_old_position              8/8   
    expfm_old_reference             6/6   
    pgfm_new_reference             13/13  
    pgfm_old_current               14/14  

history  (spec_id=hist2000-09fea177): 149/149
    encdec_new_current              6/6   
    encdec_new_reference           23/23  
    encdec_old_current             22/22  
    encdec_old_reference            6/6   
    expfm_new_position              5/5   
    expfm_new_reference            23/23  
    expfm_old_current              23/23  
    expfm_old_position              8/8   
    expfm_old_reference             6/6   
    pgfm_new_reference             13/13  
    pgfm_old_current               14/14  

eval:eval3ds-347333e3  (spec_id=eval3ds-347333e3): 149/149
    encdec_new_current              6/6   
    encdec_new_reference           23/23  
    encdec_old_current             22/22  
    encdec_old_reference            6/6   
    expfm_new_position              5/5   
    expfm_new_reference            23/23  
    expfm_old_current              23/23  
    expfm_old_position              8/8   
    expfm_old_reference             6/6   
    pgfm_new_reference             13/13  
    pgfm_old_current               14/14  
