wandb_id,wandb_name,wandb_project,state,git_commit,tags,notes,created_at,condition,xml,walker_xml,network,control_mode,body_target_frame,delay_k,efference_length,fm_loss_weight,detach_prediction,min_std,env,seed,latent_size,kl_weight,clip_length,ctrl_dt,solver,njmax,naconmax,mujoco_impl,n_envs,total_steps,actual_step,gpu,host,reward_mean,reward_std,lifespan_mean,train_sps_median,eval_sps_median,runtime_s,inline_eval_old_eval_reward,inline_eval_new_eval_reward,inline_eval_new_eval_survived
u2pbt950,RodentEncDec_delay0_eff0-20260709-070551,emiwar-team/nnx-ppo-rodent-delays,finished,201d6e11,"EncDec,MLP,TrainEvalSplit,delay0,eff0,warp",Trying different XML.,2026-07-09T11:06:00Z,encdec_new_current,new,rodent_no_tail_collisions.xml,efference,torque,current_root,0,0,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA A100-SXM4-80GB,holygpu8a22506.rc.fas.harvard.edu,2006.05029296875,150.68031311035156,445.857421875,35332.810224146146,34722.86197338045,19704.665831859,,,
aqoj4ewb,RodentEncDec_delay2_eff2-20260709-071735,emiwar-team/nnx-ppo-rodent-delays,finished,201d6e11,"EncDec,MLP,TrainEvalSplit,delay2,eff2,warp",Trying different XML.,2026-07-09T11:17:37Z,encdec_new_current,new,rodent_no_tail_collisions.xml,efference,torque,current_root,2,2,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA A100-SXM4-80GB,holygpu8a22304.rc.fas.harvard.edu,1963.7186279296875,217.16091918945312,442.7431640625,34773.23748071086,33926.45047735954,19974.851688949,,,
44ukf3je,RodentEncDec_delay5_eff5-20260709-072019,emiwar-team/nnx-ppo-rodent-delays,finished,201d6e11,"EncDec,MLP,TrainEvalSplit,delay5,eff5,warp",Trying different XML.,2026-07-09T11:20:20Z,encdec_new_current,new,rodent_no_tail_collisions.xml,efference,torque,current_root,5,5,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA A100-SXM4-80GB,holygpu8a22104.rc.fas.harvard.edu,1901.093505859375,264.0459899902344,438.009765625,34403.022280957215,32845.25946130545,20024.874759764,,,
j6mtpyzq,RodentEncDec_delay10_eff10-20260709-082832,emiwar-team/nnx-ppo-rodent-delays,finished,201d6e11,"EncDec,MLP,TrainEvalSplit,delay10,eff10,warp",Trying different XML.,2026-07-09T12:28:45Z,encdec_new_current,new,rodent_no_tail_collisions.xml,efference,torque,current_root,10,10,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA A100-SXM4-80GB,holygpu8a22104.rc.fas.harvard.edu,1739.8272705078125,418.2006530761719,417.4404296875,34288.42372245187,31914.68436339087,20415.640657048,,,
31ayy0ln,RodentEncDec_delay20_eff20-20260709-091504,emiwar-team/nnx-ppo-rodent-delays,finished,201d6e11,"EncDec,MLP,TrainEvalSplit,delay20,eff20,warp",Trying different XML.,2026-07-09T13:15:13Z,encdec_new_current,new,rodent_no_tail_collisions.xml,efference,torque,current_root,20,20,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA A100-SXM4-80GB,holygpu8a22502.rc.fas.harvard.edu,1440.853515625,532.5722045898438,378.0087890625,33832.45412046579,31542.91133917973,20660.712388652,,,
3wa0mvkz,RodentEncDec_delay50_eff50-20260709-091504,emiwar-team/nnx-ppo-rodent-delays,finished,201d6e11,"EncDec,MLP,TrainEvalSplit,delay50,eff50,warp",Trying different XML.,2026-07-09T13:15:13Z,encdec_new_current,new,rodent_no_tail_collisions.xml,efference,torque,current_root,50,50,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA A100-SXM4-80GB,holygpu8a22406.rc.fas.harvard.edu,911.2176513671876,487.3430480957031,290.673828125,32858.50432672918,31457.452936302216,21182.654884459,,,
9htwlukh,RodentEncDec_delay0_eff0-20260811-075304,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay0,eff0,warp",New XML + reference_root.,2026-08-11T11:53:07Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,0,0,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12403.rc.fas.harvard.edu,2006.4873046875,133.34817504882812,446.3994140625,58486.82037248585,51149.91773508425,13621.131730014,,,
17p127fn,RodentEncDec_delay1_eff1-20260811-075237,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay1,eff1,warp",New XML + reference_root.,2026-08-11T11:52:49Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,1,1,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12504.rc.fas.harvard.edu,1990.358154296875,142.52230834960938,446.1826171875,58442.73181561278,50896.56716185271,12436.66572944,,,
zq5dvwvf,RodentEncDec_delay2_eff2-20260811-080832,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay2,eff2,warp",New XML + reference_root.,2026-08-11T12:08:40Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,2,2,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12204.rc.fas.harvard.edu,1973.271728515625,172.03402709960938,445.103515625,57812.98523131422,50471.77891385379,12723.926697391,,,
qpsikl6i,RodentEncDec_delay3_eff3-20260811-081204,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay3,eff3,warp",New XML + reference_root.,2026-08-11T12:12:06Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,3,3,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12304.rc.fas.harvard.edu,1943.15185546875,227.8844757080078,441.71484375,58040.755635860565,49954.65059280436,12458.926444437,,,
ax6foqgd,RodentEncDec_delay4_eff4-20260811-081204,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay4,eff4,warp",New XML + reference_root.,2026-08-11T12:12:06Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,4,4,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12304.rc.fas.harvard.edu,1937.206298828125,202.97369384765625,442.7900390625,57981.15769199864,49398.99726281766,12482.110722507,,,
7ur99xil,RodentEncDec_delay5_eff5-20260811-081204,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay5,eff5,warp",New XML + reference_root.,2026-08-11T12:12:06Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,5,5,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12304.rc.fas.harvard.edu,1906.53173828125,248.86468505859375,439.30859375,57903.10812355387,49024.939878340345,12513.083884099,,,
c1v5gmie,RodentEncDec_delay6_eff6-20260811-081205,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay6,eff6,warp",New XML + reference_root.,2026-08-11T12:12:06Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,6,6,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12304.rc.fas.harvard.edu,1878.6558837890625,296.2882385253906,435.291015625,57595.618994258926,48965.89723745019,12548.467320999,,,
904oncgf,RodentEncDec_delay7_eff7-20260811-081755,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay7,eff7,warp",New XML + reference_root.,2026-08-11T12:17:56Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,7,7,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12204.rc.fas.harvard.edu,1862.65283203125,304.1068420410156,435.1181640625,56936.031981213266,48366.60079841169,12933.046976976,,,
