condition,task,wandb_id,wandb_name,created_at,git_commit,gpu,delay,efference_length,seed,min_std,actual_step,ctrl_dt,reward_source,reward_last_point,reward_final,reward_final_n,reward_max,reward_max_step,curve_points,curve_max_step
delayed_mlp,CartpoleSwingup,9qjvdolt,CartpoleSwingup_DelayedMLP_delay0_eff0-20260909-063711,2026-09-09T10:37:12Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA H200,0,0,42,0.001,480215040.0,0.01,dmc_eval,792.8929443359375,805.6794927687872,84,858.5767211914062,369131520,800,480215040
delayed_mlp,CartpoleSwingup,yv581kk5,CartpoleSwingup_DelayedMLP_delay0_eff0-20260910-065558,2026-09-10T10:56:10Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,0,0,43,0.001,480215040.0,0.01,dmc_eval,662.59375,661.791137332008,84,854.8125,47431680,800,480215040
delayed_mlp,CartpoleSwingup,01o0r392,CartpoleSwingup_DelayedMLP_delay0_eff0-20260910-065558,2026-09-10T10:56:10Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,0,0,44,0.001,480215040.0,0.01,dmc_eval,817.7217407226562,804.8041476295108,84,858.4940185546875,71024640,800,480215040
delayed_mlp,CartpoleSwingup,17brhg4w,CartpoleSwingup_DelayedMLP_delay5_eff5-20260910-065558,2026-09-10T10:56:10Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,5,5,43,0.001,480215040.0,0.01,dmc_eval,847.55810546875,830.2964775448754,84,869.8421630859375,226344960,800,480215040
delayed_mlp,CartpoleSwingup,3dhb1lkg,CartpoleSwingup_DelayedMLP_delay5_eff5-20260910-070313,2026-09-10T11:03:14Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,5,5,44,0.001,480215040.0,0.01,dmc_eval,868.7539672851562,867.7191830589658,84,879.3523559570312,54804480,800,480215040
delayed_mlp,CartpoleSwingup,40gqt2zf,CartpoleSwingup_DelayedMLP_delay10_eff10-20260909-063833,2026-09-09T10:38:40Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,10,10,42,0.001,480215040.0,0.01,dmc_eval,663.87890625,813.8745574951172,84,875.0491333007812,108134400,800,480215040
delayed_mlp,CartpoleSwingup,35ea02y2,CartpoleSwingup_DelayedMLP_delay10_eff10-20260910-065558,2026-09-10T10:56:10Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,10,10,43,0.001,480215040.0,0.01,dmc_eval,750.3651733398438,740.2265029180618,84,868.458251953125,67829760,800,480215040
delayed_mlp,CartpoleSwingup,ig9u6fko,CartpoleSwingup_DelayedMLP_delay10_eff10-20260910-070321,2026-09-10T11:03:24Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,10,10,44,0.001,480215040.0,0.01,dmc_eval,422.15966796875,674.4549019223168,84,878.16162109375,66109440,800,480215040
delayed_mlp,CartpoleSwingup,04gjvaai,CartpoleSwingup_DelayedMLP_delay15_eff15-20260910-065558,2026-09-10T10:56:10Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,15,15,43,0.001,480215040.0,0.01,dmc_eval,847.623291015625,799.4386465890067,84,876.666259765625,66600960,800,480215040
delayed_mlp,CartpoleSwingup,pbi0qj23,CartpoleSwingup_DelayedMLP_delay15_eff15-20260910-065642,2026-09-10T10:56:43Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,15,15,44,0.001,480215040.0,0.01,dmc_eval,845.1878051757812,833.3719053722564,84,878.7138671875,94863360,800,480215040
delayed_mlp,CartpoleSwingup,77m3xfpc,CartpoleSwingup_DelayedMLP_delay20_eff20-20260909-063806,2026-09-09T10:38:07Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,20,20,42,0.001,480215040.0,0.01,dmc_eval,864.1177978515625,834.1315729050409,84,874.7696533203125,246005760,800,480215040
delayed_mlp,CartpoleSwingup,84s75oc7,CartpoleSwingup_DelayedMLP_delay20_eff20-20260910-065558,2026-09-10T10:56:10Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,20,20,43,0.001,480215040.0,0.01,dmc_eval,873.5773315429688,808.8590269542876,84,879.7031860351562,217251840,800,480215040
