wandb_id,condition,cohort,budget,delay,seed,step,reward_mean,reward_smooth
jp5jehho,delayed_mlp,primary,1000000000,0,46,737280,28.313682556152344,
jp5jehho,delayed_mlp,primary,1000000000,0,46,1228800,41.214111328125,
jp5jehho,delayed_mlp,primary,1000000000,0,46,1966080,41.534698486328125,
jp5jehho,delayed_mlp,primary,1000000000,0,46,2457600,59.09879302978516,
jp5jehho,delayed_mlp,primary,1000000000,0,46,3194880,132.96148681640625,
jp5jehho,delayed_mlp,primary,1000000000,0,46,3686400,213.44497680664065,
jp5jehho,delayed_mlp,primary,1000000000,0,46,4423680,205.90696716308597,
jp5jehho,delayed_mlp,primary,1000000000,0,46,4915200,205.63851928710935,
jp5jehho,delayed_mlp,primary,1000000000,0,46,5406720,258.2741394042969,
jp5jehho,delayed_mlp,primary,1000000000,0,46,6144000,290.9443359375,
jp5jehho,delayed_mlp,primary,1000000000,0,46,6635520,315.49420166015625,
jp5jehho,delayed_mlp,primary,1000000000,0,46,7372800,362.0322570800781,
jp5jehho,delayed_mlp,primary,1000000000,0,46,7864320,396.20611572265625,
jp5jehho,delayed_mlp,primary,1000000000,0,46,8601600,464.0558166503906,
jp5jehho,delayed_mlp,primary,1000000000,0,46,9093120,445.16644287109375,
jp5jehho,delayed_mlp,primary,1000000000,0,46,9830400,473.83880615234375,
jp5jehho,delayed_mlp,primary,1000000000,0,46,10321920,492.2808227539063,260.376833747415
jp5jehho,delayed_mlp,primary,1000000000,0,46,10813440,614.7734375,294.8744663911707
jp5jehho,delayed_mlp,primary,1000000000,0,46,11550720,666.9360961914062,331.6816419713637
jp5jehho,delayed_mlp,primary,1000000000,0,46,12042240,680.1498413085938,369.2472386079676
jp5jehho,delayed_mlp,primary,1000000000,0,46,12779520,683.5399169921875,405.9790694292854
jp5jehho,delayed_mlp,primary,1000000000,0,46,13271040,705.484375,439.6568863812615
jp5jehho,delayed_mlp,primary,1000000000,0,46,14008320,721.25,469.5277700985179
jp5jehho,delayed_mlp,primary,1000000000,0,46,14499840,748.620361328125,501.45208740234375
jp5jehho,delayed_mlp,primary,1000000000,0,46,15237120,803.2296142578125,536.6045047535616
jp5jehho,delayed_mlp,primary,1000000000,0,46,15728640,826.5001220703125,570.0295625574448
jp5jehho,delayed_mlp,primary,1000000000,0,46,16220160,819.2117919921875,601.1041187959559
jp5jehho,delayed_mlp,primary,1000000000,0,46,16957440,854.5569458007812,632.8136919806985
jp5jehho,delayed_mlp,primary,1000000000,0,46,17448960,867.3151245117188,662.5362135943244
jp5jehho,delayed_mlp,primary,1000000000,0,46,18186240,895.2174072265625,691.8898189769071
jp5jehho,delayed_mlp,primary,1000000000,0,46,18677760,911.8704223632812,718.2318546070773
jp5jehho,delayed_mlp,primary,1000000000,0,46,19415040,921.7249145507812,746.2647058823529
jp5jehho,delayed_mlp,primary,1000000000,0,46,19906560,924.2720947265624,772.7607816808364
jp5jehho,delayed_mlp,primary,1000000000,0,46,20643840,937.2203369140624,798.9336942784927
jp5jehho,delayed_mlp,primary,1000000000,0,46,21135360,946.7060546875,818.4591423483456
jp5jehho,delayed_mlp,primary,1000000000,0,46,21626880,946.2376098632812,834.8886431525735
jp5jehho,delayed_mlp,primary,1000000000,0,46,22364160,950.2395629882812,850.776273839614
jp5jehho,delayed_mlp,primary,1000000000,0,46,22855680,955.7451171875,866.7883444393383
jp5jehho,delayed_mlp,primary,1000000000,0,46,23592960,954.1487426757812,881.4156601849725
jp5jehho,delayed_mlp,primary,1000000000,0,46,24084480,953.4525146484376,895.0746316348805
jp5jehho,delayed_mlp,primary,1000000000,0,46,24821760,955.027587890625,907.2162331973805
jp5jehho,delayed_mlp,primary,1000000000,0,46,25313280,954.0687255859376,916.089122099035
jp5jehho,delayed_mlp,primary,1000000000,0,46,25804800,954.41015625,923.6132417566636
jp5jehho,delayed_mlp,primary,1000000000,0,46,26542080,956.9193725585938,931.7136876723346
jp5jehho,delayed_mlp,primary,1000000000,0,46,27033600,957.8538208007812,937.7899744370404
jp5jehho,delayed_mlp,primary,1000000000,0,46,27770880,957.8088989257812,943.1131376378677
jp5jehho,delayed_mlp,primary,1000000000,0,46,28262400,951.9542846679688,946.4506010167739
jp5jehho,delayed_mlp,primary,1000000000,0,46,28999680,958.403076171875,949.1878159466912
jp5jehho,delayed_mlp,primary,1000000000,0,46,29491200,958.304443359375,951.339552935432
jp5jehho,delayed_mlp,primary,1000000000,0,46,30228480,954.9977416992188,953.1469439338235
jp5jehho,delayed_mlp,primary,1000000000,0,46,30720000,958.43408203125,954.3948112936581
jp5jehho,delayed_mlp,primary,1000000000,0,46,31211520,959.1044921875,955.1241311465992
jp5jehho,delayed_mlp,primary,1000000000,0,46,31948800,959.1375122070312,955.8829489315258
jp5jehho,delayed_mlp,primary,1000000000,0,46,32440320,959.5193481445312,956.4288186465992
jp5jehho,delayed_mlp,primary,1000000000,0,46,33177600,959.662109375,956.6592299517463
jp5jehho,delayed_mlp,primary,1000000000,0,46,33669120,959.795654296875,956.9914012235754
jp5jehho,delayed_mlp,primary,1000000000,0,46,34406400,960.7176513671876,957.4187622070312
jp5jehho,delayed_mlp,primary,1000000000,0,46,34897920,960.3049926757812,957.7291977826287
jp5jehho,delayed_mlp,primary,1000000000,0,46,35635200,960.6788330078124,958.1180276309742
jp5jehho,delayed_mlp,primary,1000000000,0,46,36126720,960.4406127929688,958.472760368796
jp5jehho,delayed_mlp,primary,1000000000,0,46,36618240,960.7301025390624,958.6969209558823
jp5jehho,delayed_mlp,primary,1000000000,0,46,37355520,961.4981079101562,958.9112907858456
jp5jehho,delayed_mlp,primary,1000000000,0,46,37847040,961.1441040039062,959.1074793198529
jp5jehho,delayed_mlp,primary,1000000000,0,46,38584320,962.1311645507812,959.7061193129596
jp5jehho,delayed_mlp,primary,1000000000,0,46,39075840,962.652099609375,959.9560618681066
jp5jehho,delayed_mlp,primary,1000000000,0,46,39813120,962.944580078125,960.2290110868566
jp5jehho,delayed_mlp,primary,1000000000,0,46,40304640,963.258544921875,960.7149406881894
jp5jehho,delayed_mlp,primary,1000000000,0,46,41041920,964.227783203125,961.0557466394761
jp5jehho,delayed_mlp,primary,1000000000,0,46,41533440,964.6839599609376,961.3839506261489
jp5jehho,delayed_mlp,primary,1000000000,0,46,42024960,963.9344482421876,961.6661233340992
jp5jehho,delayed_mlp,primary,1000000000,0,46,42762240,964.0635375976562,961.9334285960477
jp5jehho,delayed_mlp,primary,1000000000,0,46,43253760,964.5910034179688,962.2233635397519
jp5jehho,delayed_mlp,primary,1000000000,0,46,43991040,965.4181518554688,962.5540986902573
jp5jehho,delayed_mlp,primary,1000000000,0,46,44482560,964.3232421875,962.7661922679227
jp5jehho,delayed_mlp,primary,1000000000,0,46,45219840,965.141845703125,963.0507130342371
jp5jehho,delayed_mlp,primary,1000000000,0,46,45711360,965.01708984375,963.3059046128217
jp5jehho,delayed_mlp,primary,1000000000,0,46,46202880,964.1756591796876,963.5256132238052
jp5jehho,delayed_mlp,primary,1000000000,0,46,46940160,965.226318359375,963.7900965073529
jp5jehho,delayed_mlp,primary,1000000000,0,46,47431680,965.4893798828124,964.0248772116269
jp5jehho,delayed_mlp,primary,1000000000,0,46,48168960,964.4693603515624,964.2204805261948
jp5jehho,delayed_mlp,primary,1000000000,0,46,48660480,963.8767700195312,964.3231632008273
jp5jehho,delayed_mlp,primary,1000000000,0,46,49397760,965.7322998046876,964.5043514476102
jp5jehho,delayed_mlp,primary,1000000000,0,46,49889280,965.5477294921876,964.6574778837316
jp5jehho,delayed_mlp,primary,1000000000,0,46,50626560,965.7152099609376,964.8019875919117
jp5jehho,delayed_mlp,primary,1000000000,0,46,51118080,961.8372802734376,964.6613697725184
jp5jehho,delayed_mlp,primary,1000000000,0,46,51609600,964.9627685546876,964.6777702780331
jp5jehho,delayed_mlp,primary,1000000000,0,46,52346880,964.941162109375,964.7369887408088
jp5jehho,delayed_mlp,primary,1000000000,0,46,52838400,965.2949829101562,964.8094267003677
jp5jehho,delayed_mlp,primary,1000000000,0,46,53575680,965.2684326171876,964.8492754767923
jp5jehho,delayed_mlp,primary,1000000000,0,46,54067200,965.343994140625,964.8449132582721
jp5jehho,delayed_mlp,primary,1000000000,0,46,54804480,965.1322631835938,964.8925027286305
jp5jehho,delayed_mlp,primary,1000000000,0,46,55296000,965.4475708007812,964.9104865579044
jp5jehho,delayed_mlp,primary,1000000000,0,46,56033280,965.4296875,964.9347570082721
jp5jehho,delayed_mlp,primary,1000000000,0,46,56524800,964.7696533203124,964.9696978400735
jp5jehho,delayed_mlp,primary,1000000000,0,46,57016320,965.697021484375,964.9973862591912
jp5jehho,delayed_mlp,primary,1000000000,0,46,57753600,965.1541748046876,964.9776683134191
jp5jehho,delayed_mlp,primary,1000000000,0,46,58245120,965.8607788085938,965.0595164579504
jp5jehho,delayed_mlp,primary,1000000000,0,46,58982400,965.8544921875,965.1758530560662
jp5jehho,delayed_mlp,primary,1000000000,0,46,59473920,966.4440307617188,965.2177195829504
