condition,wandb_id,wandb_name,created_at,state
servo,1hot441u,WalkerWalk_DelayedMLP_delay5_eff5_kp1-job46705780,2026-09-16T13:31:17Z,finished
servo,2zaydf5d,WalkerWalk_DelayedMLP_delay5_eff5_kp0.25-20260916-111639,2026-09-16T15:16:49Z,finished
servo,3sjjtg31,WalkerWalk_DelayedMLP_delay5_eff5_kp48-job46857018,2026-09-17T14:03:01Z,finished
servo,7j3pvdrw,WalkerWalk_DelayedMLP_delay5_eff5_kp32-job46857014,2026-09-17T14:03:01Z,finished
servo,8fstkvcp,WalkerWalk_DelayedMLP_delay0_eff0_kp8-job46705774,2026-09-16T13:31:17Z,finished
servo,996w94mt,WalkerWalk_DelayedMLP_delay0_eff0_kp32-job46856958,2026-09-17T14:06:40Z,finished
servo,cs3376pz,WalkerWalk_DelayedMLP_delay5_eff5_kp8-job46705785,2026-09-16T13:31:17Z,finished
servo,g133o63i,WalkerWalk_DelayedMLP_delay0_eff0_kp48-job46856989,2026-09-17T14:03:01Z,finished
servo,gyxusu36,WalkerWalk_DelayedMLP_delay10_eff10_kp4-job46857192,2026-09-17T14:06:40Z,finished
servo,hshlffvs,WalkerWalk_DelayedMLP_delay0_eff0_kp16-job46705775,2026-09-16T13:31:17Z,finished
servo,ky1r2j3t,WalkerWalk_DelayedMLP_delay10_eff10_kp8-job46857195,2026-09-17T14:06:40Z,finished
servo,m68iqez4,WalkerWalk_DelayedMLP_delay10_eff10_kp64-job46857235,2026-09-17T14:06:44Z,finished
servo,mk7d1dj1,WalkerWalk_DelayedMLP_delay0_eff0_kp4-job46705770,2026-09-16T11:36:30Z,finished
servo,o000rgp7,WalkerWalk_DelayedMLP_delay5_eff5_kp0.5-job46706140,2026-09-16T13:36:08Z,finished
servo,o167k20f,WalkerWalk_DelayedMLP_delay5_eff5_kp64-job46857023,2026-09-17T14:03:01Z,finished
servo,qlczhfeq,WalkerWalk_DelayedMLP_delay0_eff0_kp0.5-job46706136,2026-09-16T13:31:17Z,finished
servo,qv83r9wh,WalkerWalk_DelayedMLP_delay0_eff0_kp64-job46856995,2026-09-17T14:06:40Z,finished
servo,rv6zc0b9,WalkerWalk_DelayedMLP_delay10_eff10_kp48-job46857223,2026-09-17T14:06:40Z,finished
servo,seonhqod,WalkerWalk_DelayedMLP_delay0_eff0_kp1-20260916-115813,2026-09-16T15:58:21Z,finished
servo,ylqtyh2p,WalkerWalk_DelayedMLP_delay5_eff5_kp4-job46705781,2026-09-16T13:31:17Z,finished
servo,yn0g4ch2,WalkerWalk_DelayedMLP_delay5_eff5_kp16-job46705804,2026-09-16T13:31:17Z,finished
servo,yobaxq9u,WalkerWalk_DelayedMLP_delay10_eff10_kp32-job46857213,2026-09-17T14:06:40Z,finished
servo,z5nh8rzd,WalkerWalk_DelayedMLP_delay10_eff10_kp16-job46857201,2026-09-17T14:06:40Z,finished
servo,zejtrauz,WalkerWalk_DelayedMLP_delay0_eff0_kp1-20260916-063511,2026-09-16T10:35:16Z,finished
torque,5ryuqn5j,WalkerWalk_DelayedMLP_delay0_eff0-20260916-111639,2026-09-16T15:16:49Z,finished
torque,8xjktznp,WalkerWalk_DelayedMLP_delay5_eff5-20260916-112243,2026-09-16T15:22:45Z,finished
torque,ahzrqpzy,WalkerWalk_DelayedMLP_delay5_eff5-job46705778,2026-09-16T13:31:17Z,finished
torque,dxr20obj,WalkerWalk_DelayedMLP_delay0_eff0-20260916-111639,2026-09-16T15:16:49Z,finished
torque,eldxqhi6,WalkerWalk_DelayedMLP_delay10_eff10-20260909-065229,2026-09-09T10:52:31Z,finished
torque,ln7wa5w0,WalkerWalk_DelayedMLP_delay5_eff5-20260909-065042,2026-09-09T10:50:43Z,finished
torque,msj9aand,WalkerWalk_DelayedMLP_delay0_eff0-20260909-065037,2026-09-09T10:50:38Z,finished
torque,nr9ad1y5,WalkerWalk_DelayedMLP_delay20_eff20-20260909-065229,2026-09-09T10:52:31Z,finished
torque,oms9ag28,WalkerWalk_DelayedMLP_delay0_eff0-20260916-063511,2026-09-16T10:35:16Z,finished
torque,p513kfj5,WalkerWalk_DelayedMLP_delay5_eff5-20260916-111639,2026-09-16T15:16:49Z,finished
torque,sbt8k29r,WalkerWalk_DelayedMLP_delay7_eff7-20260909-082055,2026-09-09T12:21:07Z,finished
torque,t3sip7o4,WalkerWalk_DelayedMLP_delay15_eff15-20260909-065127,2026-09-09T10:51:30Z,finished
