wandb_id,condition,network,actuator,delay,seed_pair,step,reward_mean,reward_smooth
amqmydoj,fm_servo,fm,servo,0,i52/p52,4915200,219.5756683349609,
amqmydoj,fm_servo,fm,servo,0,i52/p52,9830400,348.8306884765625,
amqmydoj,fm_servo,fm,servo,0,i52/p52,14499840,453.1855163574219,
amqmydoj,fm_servo,fm,servo,0,i52/p52,19415040,675.1890869140625,
amqmydoj,fm_servo,fm,servo,0,i52/p52,24084480,722.5380859375,483.8638092041016
amqmydoj,fm_servo,fm,servo,0,i52/p52,28999680,760.2496337890625,591.9986022949219
amqmydoj,fm_servo,fm,servo,0,i52/p52,33669120,784.238037109375,624.0385080973307
amqmydoj,fm_servo,fm,servo,0,i52/p52,38584320,826.12939453125,753.66884765625
amqmydoj,fm_servo,fm,servo,0,i52/p52,43253760,846.2965698242188,769.1068013509115
amqmydoj,fm_servo,fm,servo,0,i52/p52,48168960,869.17529296875,817.2177856445312
amqmydoj,fm_servo,fm,servo,0,i52/p52,52838400,884.172119140625,828.3768412272135
amqmydoj,fm_servo,fm,servo,0,i52/p52,57753600,956.9158325195312,876.537841796875
amqmydoj,fm_servo,fm,servo,0,i52/p52,62423040,962.2279663085938,890.8195292154948
amqmydoj,fm_servo,fm,servo,0,i52/p52,67338240,961.925048828125,926.883251953125
amqmydoj,fm_servo,fm,servo,0,i52/p52,72007680,962.5445556640624,932.8268025716146
amqmydoj,fm_servo,fm,servo,0,i52/p52,76922880,964.5423583984376,961.63115234375
amqmydoj,fm_servo,fm,servo,0,i52/p52,81838080,966.330810546875,963.5141479492188
amqmydoj,fm_servo,fm,servo,0,i52/p52,86507520,966.354248046875,964.339404296875
amqmydoj,fm_servo,fm,servo,0,i52/p52,91422720,966.7239379882812,965.2991821289063
amqmydoj,fm_servo,fm,servo,0,i52/p52,96092160,968.04296875,966.3988647460938
amqmydoj,fm_servo,fm,servo,0,i52/p52,101007360,968.4049072265624,967.1713745117188
amqmydoj,fm_servo,fm,servo,0,i52/p52,105676800,967.7816772460938,967.2730916341146
amqmydoj,fm_servo,fm,servo,0,i52/p52,110592000,970.0516357421876,968.201025390625
amqmydoj,fm_servo,fm,servo,0,i52/p52,115261440,971.5599975585938,968.7608540852865
amqmydoj,fm_servo,fm,servo,0,i52/p52,120176640,972.3977661132812,970.0391967773437
amqmydoj,fm_servo,fm,servo,0,i52/p52,124846080,971.7113037109376,970.317881266276
amqmydoj,fm_servo,fm,servo,0,i52/p52,129761280,973.041259765625,971.752392578125
amqmydoj,fm_servo,fm,servo,0,i52/p52,134430720,973.3929443359376,972.0258178710938
amqmydoj,fm_servo,fm,servo,0,i52/p52,139345920,973.3863525390624,972.7859252929687
amqmydoj,fm_servo,fm,servo,0,i52/p52,144015360,973.7340087890624,972.9439392089844
amqmydoj,fm_servo,fm,servo,0,i52/p52,148930560,973.8240966796876,973.475732421875
amqmydoj,fm_servo,fm,servo,0,i52/p52,153600000,974.10546875,973.5806884765625
amqmydoj,fm_servo,fm,servo,0,i52/p52,158515200,974.5211791992188,973.9142211914062
amqmydoj,fm_servo,fm,servo,0,i52/p52,163430400,974.6812744140624,974.1732055664063
amqmydoj,fm_servo,fm,servo,0,i52/p52,168099840,975.1024169921876,974.4468872070313
amqmydoj,fm_servo,fm,servo,0,i52/p52,173015040,975.4158325195312,974.765234375
amqmydoj,fm_servo,fm,servo,0,i52/p52,177684480,975.4307861328124,975.0302978515625
amqmydoj,fm_servo,fm,servo,0,i52/p52,182599680,974.883544921875,975.1027709960938
amqmydoj,fm_servo,fm,servo,0,i52/p52,187269120,975.287353515625,975.133534749349
amqmydoj,fm_servo,fm,servo,0,i52/p52,192184320,975.919677734375,975.3874389648438
amqmydoj,fm_servo,fm,servo,0,i52/p52,196853760,976.32861328125,975.5443013509115
amqmydoj,fm_servo,fm,servo,0,i52/p52,201768960,976.0869140625,975.701220703125
amqmydoj,fm_servo,fm,servo,0,i52/p52,206438400,975.9804077148438,975.7477518717448
amqmydoj,fm_servo,fm,servo,0,i52/p52,211353600,976.2261352539062,976.108349609375
amqmydoj,fm_servo,fm,servo,0,i52/p52,216023040,976.4296875,976.1619059244791
amqmydoj,fm_servo,fm,servo,0,i52/p52,220938240,976.5206909179688,976.2487670898438
amqmydoj,fm_servo,fm,servo,0,i52/p52,225607680,976.1150512695312,976.2264811197916
amqmydoj,fm_servo,fm,servo,0,i52/p52,230522880,976.7749633789062,976.4133056640625
amqmydoj,fm_servo,fm,servo,0,i52/p52,235438080,976.723388671875,976.5127563476562
amqmydoj,fm_servo,fm,servo,0,i52/p52,240107520,976.88916015625,976.6046508789062
amqmydoj,fm_servo,fm,servo,0,i52/p52,245022720,976.7596435546876,976.65244140625
amqmydoj,fm_servo,fm,servo,0,i52/p52,249692160,977.2747802734376,976.8843872070313
amqmydoj,fm_servo,fm,servo,0,i52/p52,254607360,976.9706420898438,976.9235229492188
amqmydoj,fm_servo,fm,servo,0,i52/p52,259276800,976.8759155273438,976.9155883789062
amqmydoj,fm_servo,fm,servo,0,i52/p52,264192000,976.6448974609376,976.90517578125
amqmydoj,fm_servo,fm,servo,0,i52/p52,268861440,976.2322998046876,976.7930297851562
amqmydoj,fm_servo,fm,servo,0,i52/p52,273776640,976.30029296875,976.6048095703125
amqmydoj,fm_servo,fm,servo,0,i52/p52,278446080,976.827392578125,976.6419067382812
amqmydoj,fm_servo,fm,servo,0,i52/p52,283361280,977.783447265625,976.757666015625
amqmydoj,fm_servo,fm,servo,0,i52/p52,288030720,719.6175537109375,933.9009806315104
amqmydoj,fm_servo,fm,servo,0,i52/p52,292945920,961.5368041992188,922.4130981445312
amqmydoj,fm_servo,fm,servo,0,i52/p52,297615360,970.2021484375,930.377939860026
amqmydoj,fm_servo,fm,servo,0,i52/p52,302530560,968.4312744140624,919.5142456054688
amqmydoj,fm_servo,fm,servo,0,i52/p52,307200000,970.86376953125,928.072499593099
amqmydoj,fm_servo,fm,servo,0,i52/p52,312115200,972.3167724609376,968.6701538085938
amqmydoj,fm_servo,fm,servo,0,i52/p52,317030400,972.2091064453124,970.8046142578125
amqmydoj,fm_servo,fm,servo,0,i52/p52,321699840,972.38037109375,971.2402587890625
amqmydoj,fm_servo,fm,servo,0,i52/p52,326615040,972.864013671875,972.126806640625
amqmydoj,fm_servo,fm,servo,0,i52/p52,331284480,973.1939697265624,972.5928466796875
amqmydoj,fm_servo,fm,servo,0,i52/p52,336199680,973.4118041992188,972.8118530273438
amqmydoj,fm_servo,fm,servo,0,i52/p52,340869120,972.8692016601562,972.8214111328125
amqmydoj,fm_servo,fm,servo,0,i52/p52,345784320,973.7569580078124,973.219189453125
amqmydoj,fm_servo,fm,servo,0,i52/p52,350453760,973.97998046875,973.3459879557291
amqmydoj,fm_servo,fm,servo,0,i52/p52,355368960,974.0689697265624,973.6173828125
