condition,network,actuator,task,wandb_id,wandb_name,created_at,git_commit,nnx_ppo_commit,vnl_experiments_dirty,gpu,requeued,budget,delay,efference_length,seed,ppo_seed,seed_pair,actual_step,ctrl_dt,servo_kp,servo_center,eval_every_steps,reward_source,reward_last_point,kp_right_hip,settling_right_hip,dead_right_hip,kp_right_knee,settling_right_knee,dead_right_knee,kp_right_ankle,settling_right_ankle,dead_right_ankle,kp_left_hip,settling_left_hip,dead_left_hip,kp_left_knee,settling_left_knee,dead_left_knee,kp_left_ankle,settling_left_ankle,dead_left_ankle,reward_final,reward_final_n,reward_max,late_gain,curve_points,curve_max_step,eval_spacing_median,eval_spacing_tail,smooth_max,grid_points,solved_800,steps_to_800,solved_900,steps_to_900,solved_950,steps_to_950,steps_to_900_native
fm_servo,fm,servo,WalkerWalk,amqmydoj,WalkerWalk_FlatForwardModel_delay0_eff0_kp64-20260921-080517,2026-09-21T12:05:24Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,531427933bbca8a1558974319720c55b32659a76,True,NVIDIA A100-SXM4-80GB,False,1000000000,0,0,52,52,i52/p52,1000243200.0,0.025,64.0,range,4800000,dmc_eval,978.363525390625,6111.549814728782,0.09782769176055968,0.0,2444.6199258915126,0.07241513211906261,0.0,1629.7466172610084,0.017580115420940325,0.0,6111.549814728782,0.09782769176055968,0.0,2444.6199258915126,0.07241513211906261,0.0,1629.7466172610084,0.017580115420940325,0.0,979.7445678710938,11,980.9588623046876,0.350341796875,208,998522880,4915200,4915200,980.6806884765625,208,True,48168960.0,True,67338240.0,True,76922880.0,57753600.0
fm_torque,fm,torque,WalkerWalk,emgexiis,WalkerWalk_FlatForwardModel_delay0_eff0-20260914-121245,2026-09-14T16:12:55Z,9e216aee027f43dcd7a40157e9cad7e727a9c3e2,531427933bbca8a1558974319720c55b32659a76,True,NVIDIA H200,False,1000000000,0,0,46,46,i46/p46,1000243200.0,0.025,0.0,,600000,dmc_eval,979.2266235351562,,,,,,,,,,,,,,,,,,,979.8754657563709,84,981.103759765625,-0.1444418770926177,1667,1000243200,491520,491520,980.5067504882812,208,True,48168960.0,True,57753600.0,True,101007360.0,47431680.0
mlp_servo,mlp,servo,WalkerWalk,0cgzvb0e,WalkerWalk_DelayedMLP_delay0_eff0_kp64-job47228289,2026-09-20T09:25:21Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,531427933bbca8a1558974319720c55b32659a76,False,NVIDIA A100-SXM4-40GB,True,1000000000,0,0,51,51,i51/p51,1000243200.0,0.025,64.0,range,4800000,dmc_eval,981.1799926757812,6111.549814728782,0.09782769176055968,0.0,2444.6199258915126,0.07241513211906261,0.0,1629.7466172610084,0.017580115420940325,0.0,6111.549814728782,0.09782769176055968,0.0,2444.6199258915126,0.07241513211906261,0.0,1629.7466172610084,0.017580115420940325,0.0,980.8200128728694,11,981.3782958984376,0.22647927024149794,208,998522880,4915200,4915200,980.963623046875,208,True,57753600.0,True,67338240.0,True,76922880.0,62423040.0
mlp_servo,mlp,servo,WalkerWalk,czd9cd32,WalkerWalk_DelayedMLP_delay0_eff0_kp64-20260919-144153,2026-09-19T18:42:27Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,531427933bbca8a1558974319720c55b32659a76,False,NVIDIA H200,False,1000000000,0,0,52,52,i52/p52,1000243200.0,0.025,64.0,range,4800000,dmc_eval,980.16796875,6111.549814728782,0.09782769176055968,0.0,2444.6199258915126,0.07241513211906261,0.0,1629.7466172610084,0.017580115420940325,0.0,6111.549814728782,0.09782769176055968,0.0,2444.6199258915126,0.07241513211906261,0.0,1629.7466172610084,0.017580115420940325,0.0,979.4540460759944,11,980.832275390625,-0.65313720703125,208,998522880,4915200,4915200,980.56025390625,208,True,48168960.0,True,57753600.0,True,62423040.0,48168960.0
mlp_torque,mlp,torque,WalkerWalk,jp5jehho,WalkerWalk_DelayedMLP_delay0_eff0-20260914-121245,2026-09-14T16:12:55Z,9e216aee027f43dcd7a40157e9cad7e727a9c3e2,531427933bbca8a1558974319720c55b32659a76,True,NVIDIA H200,False,1000000000,0,0,46,46,i46/p46,1000243200.0,0.025,0.0,,600000,dmc_eval,981.5281982421876,,,,,,,,,,,,,,,,,,,980.432351248605,84,981.716796875,1.7576555524553896,1667,1000243200,491520,491520,980.5694091796875,208,True,28999680.0,True,38584320.0,True,38584320.0,24821760.0
fm_servo,fm,servo,WalkerWalk,wn13hi92,WalkerWalk_FlatForwardModel_delay2_eff2_kp64-job47228202,2026-09-20T09:25:21Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,531427933bbca8a1558974319720c55b32659a76,False,NVIDIA RTX PRO 6000 Blackwell Server Edition,True,1000000000,2,2,51,51,i51/p51,1000243200.0,0.025,64.0,range,4800000,dmc_eval,981.1910400390624,6111.549814728782,0.09782769176055968,0.0,2444.6199258915126,0.07241513211906261,0.0,1629.7466172610084,0.017580115420940325,0.0,6111.549814728782,0.09782769176055968,0.0,2444.6199258915126,0.07241513211906261,0.0,1629.7466172610084,0.017580115420940325,0.0,980.084794477983,11,981.3563232421876,-0.25816761363637397,208,998522880,4915200,4915200,981.1542846679688,208,True,57753600.0,True,67338240.0,True,76922880.0,57753600.0
fm_torque,fm,torque,WalkerWalk,w8ci6g6o,WalkerWalk_FlatForwardModel_delay2_eff2-job46843460,2026-09-17T14:00:23Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,531427933bbca8a1558974319720c55b32659a76,False,NVIDIA A100-SXM4-40GB,True,1000000000,2,2,47,47,i47/p47,1000243200.0,0.025,0.0,qpos0,4800000,dmc_eval,981.8447265625,,,,,,,,,,,,,,,,,,,981.7702692205256,11,982.4992065429688,-0.22112482244313014,208,998522880,4915200,4915200,982.0359985351563,208,True,38584320.0,True,48168960.0,True,62423040.0,38584320.0
mlp_servo,mlp,servo,WalkerWalk,1qp6or3g,WalkerWalk_DelayedMLP_delay2_eff2_kp64-job47228228,2026-09-20T09:25:21Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,531427933bbca8a1558974319720c55b32659a76,False,NVIDIA A100-SXM4-40GB,True,1000000000,2,2,51,51,i51/p51,1000243200.0,0.025,64.0,range,4800000,dmc_eval,973.6717529296876,6111.549814728782,0.09782769176055968,0.0,2444.6199258915126,0.07241513211906261,0.0,1629.7466172610084,0.017580115420940325,0.0,6111.549814728782,0.09782769176055968,0.0,2444.6199258915126,0.07241513211906261,0.0,1629.7466172610084,0.017580115420940325,0.0,976.7532958984375,11,978.2603149414062,-0.6749655983664979,208,998522880,4915200,4915200,978.0126098632812,208,True,124846080.0,True,139345920.0,True,148930560.0,129761280.0
mlp_servo,mlp,servo,WalkerWalk,jezwhgs9,WalkerWalk_DelayedMLP_delay2_eff2_kp64-20260921-080518,2026-09-21T12:05:24Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,531427933bbca8a1558974319720c55b32659a76,True,NVIDIA A100-SXM4-80GB,False,1000000000,2,2,53,53,i53/p53,1000243200.0,0.025,64.0,range,4800000,dmc_eval,978.481201171875,6111.549814728782,0.09782769176055968,0.0,2444.6199258915126,0.07241513211906261,0.0,1629.7466172610084,0.017580115420940325,0.0,6111.549814728782,0.09782769176055968,0.0,2444.6199258915126,0.07241513211906261,0.0,1629.7466172610084,0.017580115420940325,0.0,978.1071832830256,11,978.7505493164062,0.16644287109375,208,998522880,4915200,4915200,978.5948120117188,208,True,48168960.0,True,57753600.0,True,67338240.0,48168960.0
mlp_torque,mlp,torque,WalkerWalk,8f8cupv6,WalkerWalk_DelayedMLP_delay2_eff2-job46843227,2026-09-17T13:57:56Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,531427933bbca8a1558974319720c55b32659a76,True,NVIDIA A40,True,1000000000,2,2,47,47,i47/p47,1000243200.0,0.025,0.0,qpos0,4800000,dmc_eval,974.767333984375,,,,,,,,,,,,,,,,,,,976.7463323419744,11,977.8814697265624,0.1999067826703822,208,998522880,4915200,4915200,977.2542358398438,208,True,57753600.0,True,62423040.0,True,76922880.0,52838400.0
