condition,wandb_id,task,gpu,step,at_utc,wall_s,excess_s,excess_in_kind_s,kind,is_checkpoint
HumanoidWalk@h200,td30g3jx,HumanoidWalk,NVIDIA H200,6144000.0,2026-09-09T12:29:41Z,70.49722794600001,69.31185661850026,48.383159186923876,video,False
HumanoidWalk@a100,yz1ptwhv,HumanoidWalk,NVIDIA A100-SXM4-80GB,6144000.0,2026-09-09T12:30:14Z,72.70373894299996,70.75608061099979,46.67818640090991,video,False
HumanoidWalk@a100,ju7xc5yq,HumanoidWalk,NVIDIA A100-SXM4-80GB,6144000.0,2026-09-09T12:30:15Z,72.48054472099994,70.54488012550001,46.50015846895985,video,False
HumanoidWalk@a100,jorslhah,HumanoidWalk,NVIDIA A100-SXM4-80GB,6144000.0,2026-09-09T12:30:19Z,75.61197774000004,73.6262625769997,47.55203972267918,video,False
HumanoidWalk@a100,6bjbs3a6,HumanoidWalk,NVIDIA A100-SXM4-80GB,6144000.0,2026-09-09T12:30:20Z,76.323163824,74.3177528060001,49.08690634107916,video,False
HumanoidWalk@a100,6sdnzid5,HumanoidWalk,NVIDIA A100-SXM4-80GB,6144000.0,2026-09-09T12:30:20Z,75.96603987000003,73.97248865450024,45.666569474269636,video,False
HumanoidWalk@a100,hz20ro85,HumanoidWalk,NVIDIA A100-SXM4-80GB,6144000.0,2026-09-09T12:30:20Z,77.78882635299999,75.89498519799997,49.50328220054507,video,False
HumanoidWalk@a100,h50r8xwd,HumanoidWalk,NVIDIA A100-SXM4-80GB,6144000.0,2026-09-09T12:30:22Z,74.60361592599997,72.66987029949996,46.92797729023732,video,False
HumanoidWalk@a100,6pjh47uq,HumanoidWalk,NVIDIA A100-SXM4-80GB,6144000.0,2026-09-09T12:30:52Z,72.19773425800003,70.02833859149968,45.69220513990149,video,False
HumanoidWalk@a100,87yfjaox,HumanoidWalk,NVIDIA A100-SXM4-80GB,6144000.0,2026-09-09T12:30:58Z,72.78787893900005,70.56385839400002,44.82301686413121,video,False
HumanoidWalk@a100,of6usyeu,HumanoidWalk,NVIDIA A100-SXM4-80GB,6144000.0,2026-09-09T12:31:15Z,72.69783984699995,70.46518373649985,45.74424585001544,video,False
HumanoidWalk@a100,5xotyi8w,HumanoidWalk,NVIDIA A100-SXM4-80GB,6144000.0,2026-09-09T12:31:42Z,78.90947049900001,76.66647680300025,49.54495773091912,video,False
HumanoidWalk@a100,savvtr0o,HumanoidWalk,NVIDIA A100-SXM4-80GB,6144000.0,2026-09-09T12:31:52Z,76.23903029300004,73.99459840449913,47.23857612372375,video,False
HumanoidWalk@h200,vd0h6cs5,HumanoidWalk,NVIDIA H200,6144000.0,2026-09-09T15:22:07Z,72.110517856,70.75428145100011,49.4524372885935,video,False
HumanoidWalk@h200,w6j5kgrw,HumanoidWalk,NVIDIA H200,6144000.0,2026-09-09T15:22:07Z,73.65765750899993,72.2865872255012,50.874805366271175,video,False
HumanoidWalk@h200,3952837u,HumanoidWalk,NVIDIA H200,6144000.0,2026-09-09T15:22:11Z,74.03966584900002,72.6503413930003,49.28938250557985,video,False
