condition,wandb_id,wandb_name,created_at,state
pos_intact,16jfo5vu,RodentEncDec_delay0_eff0-job43322478,2026-08-31T21:33:42Z,finished
pos_intact,vd2z944s,RodentEncDec_delay0_eff0-job43609004,2026-09-01T16:21:35Z,finished
pos_nointent,9hyirkcx,RodentEncDec_delay10_eff10_nointent-job43323571,2026-08-31T21:35:25Z,finished
pos_noproprio,23267t68,RodentEncDec_delay5_eff0_noproprio-job43642407,2026-09-01T19:17:08Z,finished
pos_noproprio,29azonig,RodentEncDec_delay0_eff50_noproprio-20260902-152644,2026-09-02T19:26:53Z,crashed
pos_noproprio,3gw1ndwj,RodentEncDec_delay10_eff10_noproprio-job43323713,2026-08-31T21:35:50Z,finished
pos_noproprio,3v2mbdhh,RodentEncDec_delay0_eff10_noproprio-20260903-091534,2026-09-03T13:15:49Z,finished
pos_noproprio,6p10mb7v,RodentEncDec_delay0_eff20_noproprio-20260902-152644,2026-09-02T19:26:53Z,crashed
pos_noproprio,7w26do00,RodentEncDec_delay0_eff2_noproprio-20260902-205526,2026-09-03T00:55:29Z,finished
pos_noproprio,d3dh5qj3,RodentEncDec_delay1_eff1_noproprio-job43642300,2026-09-01T19:17:08Z,failed
pos_noproprio,dkglvuw8,RodentEncDec_delay0_eff0_noproprio-job43605398,2026-09-01T16:21:35Z,finished
pos_noproprio,ecapg0mv,RodentEncDec_delay0_eff10_noproprio-20260902-152644,2026-09-02T19:26:53Z,crashed
pos_noproprio,erzsvdom,RodentEncDec_delay0_eff3_noproprio-20260902-152644,2026-09-02T19:26:53Z,crashed
pos_noproprio,gmmez2k1,RodentEncDec_delay0_eff5_noproprio-20260902-122903,2026-09-02T16:29:04Z,failed
pos_noproprio,ifru4hhd,RodentEncDec_delay0_eff15_noproprio-20260903-135649,2026-09-03T17:57:36Z,finished
pos_noproprio,jx5h86mk,RodentEncDec_delay0_eff1_noproprio-20260902-205526,2026-09-03T00:55:29Z,finished
pos_noproprio,mbjli503,RodentEncDec_delay5_eff5_noproprio-job43642337,2026-09-01T19:17:08Z,finished
pos_noproprio,rfoe9wu2,RodentEncDec_delay0_eff2_noproprio-20260903-091533,2026-09-03T13:15:49Z,finished
pos_noproprio,rmvhu8le,RodentEncDec_delay0_eff15_noproprio-20260902-152644,2026-09-02T19:26:53Z,crashed
pos_noproprio,vbd3cpe4,RodentEncDec_delay0_eff100_noproprio-20260902-152644,2026-09-02T19:26:53Z,failed
pos_noproprio,wbyipflf,RodentEncDec_delay0_eff0_noproprio-job43605123,2026-09-01T16:21:35Z,finished
pos_noproprio,y63jgg2m,RodentEncDec_delay0_eff100_noproprio-20260903-091533,2026-09-03T13:15:49Z,finished
pos_noproprio,yv2c0mtg,RodentEncDec_delay0_eff50_noproprio-20260903-091533,2026-09-03T13:15:49Z,finished
pos_noproprio,zt2ht2il,RodentEncDec_delay0_eff20_noproprio-20260903-135649,2026-09-03T17:57:36Z,finished
torque_intact,594219y6,RodentEncDec_delay0_eff0-job43288960,2026-08-31T19:33:07Z,finished
torque_intact,86cpjh43,RodentEncDec_delay0_eff0-20260831-140714,2026-08-31T18:07:44Z,finished
torque_intact,ame77mw2,RodentEncDec_delay0_eff0-20260824-091609,2026-08-24T13:16:20Z,finished
torque_intact,jiovpvgr,RodentEncDec_delay0_eff0-job43928870,2026-09-02T16:03:20Z,crashed
torque_nointent,1ayy9bfj,RodentEncDec_delay10_eff10_nointent-20260825-060603,2026-08-25T10:06:04Z,crashed
torque_nointent,dv8hft01,RodentEncDec_delay10_eff10_nointent-20260825-071450,2026-08-25T11:14:52Z,finished
torque_noproprio,4qm7vurb,RodentEncDec_delay0_eff10_noproprio-20260902-162404,2026-09-02T20:24:07Z,finished
torque_noproprio,6atm5ygj,RodentEncDec_delay0_eff50_noproprio-20260902-163446,2026-09-02T20:34:47Z,failed
torque_noproprio,7h8m11tp,RodentEncDec_delay0_eff0_noproprio-20260903-134347,2026-09-03T17:44:41Z,finished
torque_noproprio,8kuci8sz,RodentEncDec_delay10_eff10_noproprio-20260825-060653,2026-08-25T10:06:57Z,finished
torque_noproprio,azx3oyin,RodentEncDec_delay0_eff1_noproprio-20260903-140655,2026-09-03T18:07:44Z,finished
torque_noproprio,cxixksnk,RodentEncDec_delay0_eff2_noproprio-20260902-223746,2026-09-03T02:37:53Z,finished
torque_noproprio,e90hvpxp,RodentEncDec_delay0_eff20_noproprio-20260902-163506,2026-09-02T20:35:07Z,finished
torque_noproprio,kroklpib,RodentEncDec_delay0_eff100_noproprio-20260902-163507,2026-09-02T20:35:08Z,finished
torque_noproprio,m1enkxz1,RodentEncDec_delay0_eff5_noproprio-20260902-163507,2026-09-02T20:35:08Z,finished
torque_noproprio,nfht1liy,RodentEncDec_delay0_eff3_noproprio-20260902-162401,2026-09-02T20:24:07Z,finished
torque_noproprio,vl7mfdi0,RodentEncDec_delay0_eff15_noproprio-20260902-163507,2026-09-02T20:35:08Z,finished
torque_noproprio,wp9ka5kp,RodentEncDec_delay0_eff2_noproprio-20260902-205526,2026-09-03T00:55:29Z,failed
