condition,wandb_id,wandb_name,created_at,state
expfm_2g,3dfjggpw,RodentForwardModel_delay20_eff20-20260813-074628,2026-08-13T11:46:32Z,finished
expfm_2g,7wpzx8cl,RodentForwardModel_delay50_eff50-20260813-074948,2026-08-13T11:49:49Z,finished
expfm_2g,dgv264dt,RodentForwardModel_delay0_eff0-20260813-073550,2026-08-13T11:35:59Z,finished
expfm_2g,itedqjyt,RodentForwardModel_delay10_eff10-20260813-074327,2026-08-13T11:43:29Z,finished
expfm_4g,5282izw1,RodentForwardModel_delay50_eff50-20260818-223722,2026-08-19T02:37:33Z,finished
expfm_4g,eqr1acos,RodentForwardModel_delay30_eff30-20260818-043638,2026-08-18T08:36:49Z,crashed
expfm_4g,gla1tfc5,RodentForwardModel_delay20_eff20-20260818-034224,2026-08-18T07:42:36Z,finished
expfm_4g,macs28xu,RodentForwardModel_delay40_eff40-20260818-223722,2026-08-19T02:37:33Z,finished
expfm_4g,vvcvtmzl,RodentForwardModel_delay30_eff30-20260819-015223,2026-08-19T05:52:33Z,running
expfm_600m,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,2026-08-11T21:42:52Z,failed
expfm_600m,2696la26,RodentForwardModel_delay7_eff7-20260811-173808,2026-08-11T21:38:09Z,failed
expfm_600m,3osnm0o6,RodentForwardModel_delay25_eff25-20260811-175025,2026-08-11T21:50:26Z,failed
expfm_600m,48icppj0,RodentForwardModel_delay20_eff20-20260811-174441,2026-08-11T21:44:43Z,failed
expfm_600m,6cbzq5on,RodentForwardModel_delay50_eff50-20260811-180113,2026-08-11T22:01:16Z,failed
expfm_600m,6ugicoso,RodentForwardModel_delay30_eff30-20260811-175615,2026-08-11T21:56:21Z,failed
expfm_600m,7c6xmp09,RodentForwardModel_delay9_eff9-20260811-173842,2026-08-11T21:38:43Z,failed
expfm_600m,co9cu5aw,RodentForwardModel_delay3_eff3-20260811-163204,2026-08-11T20:32:06Z,failed
expfm_600m,czsyqfjy,RodentForwardModel_delay70_eff70-20260811-180332,2026-08-11T22:03:34Z,failed
expfm_600m,eq25n7dm,RodentForwardModel_delay4_eff4-20260811-173716,2026-08-11T21:37:20Z,failed
expfm_600m,f0a0360u,RodentForwardModel_delay100_eff100-20260811-181425,2026-08-11T22:14:26Z,failed
expfm_600m,j2bmags2,RodentForwardModel_delay5_eff5-20260811-173716,2026-08-11T21:37:20Z,failed
expfm_600m,m5fbx6tq,RodentForwardModel_delay6_eff6-20260811-173748,2026-08-11T21:37:49Z,failed
expfm_600m,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,2026-08-11T20:20:34Z,failed
