tier,seed,delay_k,explicit,implicit,n_explicit,n_implicit,advantage_pct
600000000,42,0,1976.706689453125,1997.3690673828123,1,1,-1.0344797197025635
600000000,42,1,1949.6678466796875,1987.83046875,1,1,-1.9198127139237409
600000000,42,2,1944.341650390625,1967.74111328125,1,1,-1.1891535290232236
600000000,42,3,1923.746142578125,1947.4117431640625,1,1,-1.2152335359489341
600000000,42,4,1914.6385009765625,,1,0,
600000000,42,5,1888.2461669921877,1921.9957763671875,1,1,-1.7559668855667732
600000000,42,6,1877.2065673828124,,1,0,
600000000,42,7,1870.4349609375,,1,0,
600000000,42,8,1841.8294921875,,1,0,
600000000,42,9,1804.609814453125,,1,0,
600000000,42,10,1776.107958984375,1762.9151245117187,1,2,0.7483533545785681
600000000,42,12,1747.67216796875,,1,0,
600000000,42,15,1697.426025390625,1580.0747314453124,1,1,7.426945802618468
600000000,42,20,1636.0240478515625,1391.119677734375,1,1,17.604838321031234
600000000,42,25,1586.043115234375,,1,0,
600000000,42,30,1513.27880859375,1015.9781372070312,1,1,48.94796976181204
600000000,42,40,1449.0635498046877,,1,0,
600000000,42,50,1367.3987060546874,882.1794799804687,1,1,55.00232516006396
600000000,42,60,1283.308837890625,,1,0,
600000000,42,70,1296.3070068359375,795.0865234375,1,1,63.03974078587655
600000000,42,80,1291.498974609375,,1,0,
600000000,42,90,1260.75595703125,,1,0,
600000000,42,100,1221.831298828125,784.144873046875,1,1,55.81703596180827
2000000000,42,0,2017.281591796875,2031.423779296875,1,1,-0.6961712097755757
2000000000,42,10,1919.7190185546876,1924.2956787109372,1,1,-0.23783559911725316
2000000000,42,20,1767.561767578125,1694.4632080078125,1,1,4.313965580654577
2000000000,42,50,1570.3093017578126,820.9865966796875,1,1,91.27100346200628
600000000,43,20,1602.5377197265625,1293.5852783203125,1,1,23.883422808229305
600000000,43,30,1493.701794433594,1001.4525512695312,2,1,49.15352629937817
600000000,43,40,1368.46591796875,856.364697265625,1,1,59.799431520036485
600000000,43,50,1337.540869140625,834.9947143554688,1,1,60.1855492190835
2000000000,43,20,1776.7877197265625,1688.8691650390624,1,1,5.205764691989434
2000000000,43,30,1667.6087890625,1442.1917236328125,1,1,15.630173279726822
2000000000,43,40,1597.886767578125,938.0501708984376,1,1,70.34129059938392
2000000000,43,50,1561.3449462890626,761.533837890625,1,1,105.02633876569907
2900000000,43,20,1798.9744873046875,1713.4695068359374,1,1,4.990166450446032
2900000000,43,30,1709.0891845703125,1464.2044677734375,1,1,16.724762298346363
2900000000,43,40,1639.714111328125,971.88076171875,1,1,68.7155642867471
2900000000,43,50,1599.878466796875,728.8382690429687,1,1,119.51076593407501
4000000000,43,20,1818.9424560546877,,1,0,
4000000000,43,30,,1525.8175048828125,0,1,
4000000000,43,40,1648.38759765625,962.6967651367188,1,1,71.2260451422782
4000000000,43,50,1611.2018310546875,767.4528442382813,1,1,109.94147629407136
