wandb_id,wandb_name,wandb_project,state,git_commit,tags,notes,env,delay_k,efference_length,fm_loss_weight,latent_size,kl_weight,body_target_frame,enc_hidden_sizes,dec_hidden_sizes,critic_hidden_sizes,fm_hidden_sizes,n_envs,total_steps,episode_reward/mean,episode_reward/std,actual_step,condition
734woltb,RodentEncDec_delay0_eff0-20260612-065718,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay0,eff0,warp",Train-eval split,AbsoluteImitation,0,0,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,4096,600000000,2004.005615234375,142.3390350341797,600064000,efference
ukzi7fjb,RodentEncDec_delay0_eff0-20260611-103104,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay0,eff0,warp",Train-eval split,AbsoluteImitation,0,0,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,4096,600000000,2006.21875,135.2272186279297,600064000,efference
68b8d25g,RodentEncDec_delay1_eff1-20260611-103118,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay1,eff1,warp",Train-eval split,AbsoluteImitation,1,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,4096,600000000,1984.201904296875,163.73997497558594,600064000,efference
n9982rin,RodentEncDec_delay2_eff2-20260611-103514,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay2,eff2,warp",Train-eval split,AbsoluteImitation,2,2,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,4096,600000000,1968.72412109375,195.2876739501953,600064000,efference
jir5btpe,RodentEncDec_delay3_eff3-20260611-120639,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay3,eff3,warp",Train-eval split,AbsoluteImitation,3,3,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,4096,600000000,1961.134765625,201.85113525390625,600064000,efference
nvyg0bhj,RodentEncDec_delay4_eff4-20260611-120639,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay4,eff4,warp",Train-eval split,AbsoluteImitation,4,4,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,4096,600000000,1941.1436767578125,189.53216552734375,600064000,efference
8ygr9sf4,RodentEncDec_delay5_eff5-20260611-120639,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay5,eff5,warp",Train-eval split,AbsoluteImitation,5,5,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,4096,600000000,1905.016357421875,272.0177917480469,600064000,efference
mgk9ejcb,RodentEncDec_delay6_eff6-20260611-120818,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay6,eff6,warp",Train-eval split,AbsoluteImitation,6,6,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,4096,600000000,1896.0284423828125,259.7897644042969,600064000,efference
a6929dxz,RodentEncDec_delay7_eff7-20260611-120818,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay7,eff7,warp",Train-eval split,AbsoluteImitation,7,7,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,4096,600000000,1897.8070068359375,259.460205078125,600064000,efference
5d5tvuuv,RodentEncDec_delay8_eff8-20260611-120725,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay8,eff8,warp",Train-eval split,AbsoluteImitation,8,8,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,4096,600000000,1865.0511474609375,290.9252014160156,600064000,efference
