wandb_id,wandb_name,git_commit,body_target_frame,latent_size,kl_weight,enc_hidden_sizes,dec_hidden_sizes,critic_hidden_sizes,clip_length_train,ctrl_dt,mocap_hz,config_env_string,condition,checkpoint_step,network_class,env_class,delay_k,efference_length,total_params,decoder_params,dataset,n_clips,clip_frames,rollout_steps,episode_reward_mean,episode_reward_std,lifespan_steps,survival_frac,reward_per_step,survived,hazard_rate,term_root_too_far,term_root_too_rotated,term_pose_error,term_nan_termination,err_root_pos_distance,err_root_angular_error,err_joint_l2_error,err_joint_vel_l2_error,err_body_total,err_body_end_eff
cwuwoywj,RodentEncDec_delay0_eff0-20260624-070609,f315e336,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,AbsoluteImitation,absolute_current,600064000,RodentEncDecDelays,AbsoluteImitation,0,0,4125325,985676,new_eval,32,1500,3002,9903.035623550415,4201.428254532646,2351.65625,0.7833631745502998,4.211089789823838,0.5625,0.01860390947869188,0.34375,0.09375,0.0,0.0,0.00885708865829394,4.214250392736866,1.265412435575998,12.339839568725782,0.06388012618882896,0.03309696153876946
cwuwoywj,RodentEncDec_delay0_eff0-20260624-070609,f315e336,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,AbsoluteImitation,absolute_current,600064000,RodentEncDecDelays,AbsoluteImitation,0,0,4125325,985676,old_eval,169,250,502,2141.4564379630006,186.4441591820363,484.8757396449704,0.9658879275796223,4.41650563818885,0.9822485207100592,0.0036610368056233483,0.005917159763313609,0.011834319526627219,0.0,0.0,0.006502716723120562,2.7207196419945086,1.2467717837850547,37.55922716472394,0.04340538623433361,0.021004172032985144
cwuwoywj,RodentEncDec_delay0_eff0-20260624-070609,f315e336,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,AbsoluteImitation,absolute_current,600064000,RodentEncDecDelays,AbsoluteImitation,0,0,4125325,985676,train,673,250,502,2165.7525871469575,153.24410152068498,485.95690936106985,0.968041652113685,4.45667618965324,0.9851411589895989,0.003057645796195666,0.010401188707280832,0.004457652303120356,0.0,0.0,0.006232142603393381,2.533074481284966,1.2093461238485568,36.7415663547275,0.04059774612476952,0.019206742607102884
vxltbpnq,RodentEncDec_delay10_eff10-20260624-070609,f315e336,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,AbsoluteImitation,absolute_current,600064000,RodentEncDecDelays,AbsoluteImitation,10,10,4319885,1180236,new_eval,32,1500,3002,2928.2665243148804,2333.99356553537,708.9375,0.23615506329113925,4.130500254697883,0.0,0.14105615798289695,0.28125,0.71875,0.0,0.0,0.011145082774158842,6.207507054753465,1.3356958243668076,16.00868839948773,0.08001624881199698,0.039794907833826346
vxltbpnq,RodentEncDec_delay10_eff10-20260624-070609,f315e336,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,AbsoluteImitation,absolute_current,600064000,RodentEncDecDelays,AbsoluteImitation,10,10,4319885,1180236,old_eval,169,250,502,1805.5506968752168,593.2392859377183,432.7573964497041,0.8620665267922393,4.172200664131367,0.8165680473372781,0.042386786261212,0.11834319526627218,0.0650887573964497,0.0,0.0,0.011331287351348961,4.156771694058791,1.4228671744647605,38.89532368226416,0.07336530198936675,0.03648111632784541
vxltbpnq,RodentEncDec_delay10_eff10-20260624-070609,f315e336,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,AbsoluteImitation,absolute_current,600064000,RodentEncDecDelays,AbsoluteImitation,10,10,4319885,1180236,train,673,250,502,1855.7413022408336,542.4968123248026,440.95690936106985,0.8784002178507367,4.208441375665785,0.826151560178306,0.03942526721570003,0.10846953937592868,0.06983655274888559,0.0,0.0,0.01072005704102611,3.7724686221856962,1.4056137730765605,38.43518811675337,0.06954971015698844,0.034211953676582064
2f08y5is,RodentEncDec_delay0_eff0-20260624-070620,f315e336,reference_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,AbsoluteImitation,absolute_reference,600064000,RodentEncDecDelays,AbsoluteImitation,0,0,4125325,985676,new_eval,32,1500,3002,11567.310079574585,3315.134152474665,2673.03125,0.8904168054630246,4.3274129621846305,0.75,0.009352677788559336,0.09375,0.15625,0.0,0.0,0.007186416007425304,3.624235889935221,1.2371602335905028,12.394874884255895,0.050466447115945584,0.026177632676782706
2f08y5is,RodentEncDec_delay0_eff0-20260624-070620,f315e336,reference_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,AbsoluteImitation,absolute_reference,600064000,RodentEncDecDelays,AbsoluteImitation,0,0,4125325,985676,old_eval,169,250,502,2137.3483265532545,150.55927682104155,485.14792899408286,0.9664301374384121,4.405560033998048,0.9822485207100592,0.003658982802780822,0.011834319526627219,0.005917159763313609,0.0,0.0,0.006748673040598911,2.6617435763520074,1.2409103051939063,37.44182528094208,0.04387081667764425,0.021282706527353017
2f08y5is,RodentEncDec_delay0_eff0-20260624-070620,f315e336,reference_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,AbsoluteImitation,absolute_reference,600064000,RodentEncDecDelays,AbsoluteImitation,0,0,4125325,985676,train,673,250,502,2165.4167337176705,150.547076005308,485.8751857355126,0.9678788560468379,4.456734563300832,0.9851411589895989,0.0030581600885643055,0.008915304606240713,0.005943536404160475,0.0,0.0,0.006447990264427633,2.505972244162987,1.2016767591476276,36.69042028657589,0.0405925502408266,0.01928417727366914
u5ery6jx,RodentEncDec_delay10_eff10-20260624-071312,f315e336,reference_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,AbsoluteImitation,absolute_reference,600064000,RodentEncDecDelays,AbsoluteImitation,10,10,4319885,1180236,new_eval,32,1500,3002,4631.090626716614,3883.49704699747,1127.8125,0.37568704197201863,4.106259353143021,0.09375,0.08035466888334718,0.15625,0.78125,0.0,0.0,0.009878310055045513,5.306130419914619,1.4165500629396672,15.016236713888283,0.07541232732700692,0.03810762200039268
