wandb_id,wandb_name,wandb_project,git_commit,tags,condition,control_mode,network,delay_k,efference_length,torque_actuators,fm_loss_weight,detach_prediction,body_target_frame,seed,latent_size,kl_weight,enc_hidden_sizes,dec_hidden_sizes,critic_hidden_sizes,clip_length,actual_step,reward_mean,reward_std,lifespan_mean,fm_pred_mse
zjuovm3u,RodentEncDec_delay0_eff0-20260706-105452,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"EncDec,MLP,TrainEvalSplit,delay0,eff0,warp",pos_efference,position,efference,0,0,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1958.0142822265625,176.44534301757812,444.796875,
trd8wxes,RodentEncDec_delay2_eff2-20260706-105513,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"EncDec,MLP,TrainEvalSplit,delay2,eff2,warp",pos_efference,position,efference,2,2,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1928.8905029296875,236.5509796142578,441.7138671875,
2ecbceb0,RodentEncDec_delay5_eff5-20260706-105738,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"EncDec,MLP,TrainEvalSplit,delay5,eff5,warp",pos_efference,position,efference,5,5,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1912.617919921875,224.15777587890625,442.1259765625,
xzhowley,RodentEncDec_delay10_eff10-20260706-105738,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"EncDec,MLP,TrainEvalSplit,delay10,eff10,warp",pos_efference,position,efference,10,10,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1875.4892578125,281.8836364746094,437.4921875,
8ykr1nha,RodentEncDec_delay20_eff20-20260706-105901,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"EncDec,MLP,TrainEvalSplit,delay20,eff20,warp",pos_efference,position,efference,20,20,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1830.5322265625,341.0394287109375,430.0771484375,
shi2kpky,RodentEncDec_delay50_eff50-20260706-110520,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"EncDec,MLP,TrainEvalSplit,delay50,eff50,warp",pos_efference,position,efference,50,50,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1805.9808349609375,351.8737487792969,427.9853515625,
p57vkvkk,RodentEncDec_delay70_eff70-20260706-171312,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"EncDec,MLP,TrainEvalSplit,delay70,eff70,warp",pos_efference,position,efference,70,70,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1799.6058349609375,357.7773132324219,427.390625,
9lycwxlg,RodentEncDec_delay100_eff100-20260706-171321,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"EncDec,MLP,TrainEvalSplit,delay100,eff100,warp",pos_efference,position,efference,100,100,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1737.036865234375,413.9548645019531,416.423828125,
3f3r7yds,RodentForwardModel_delay0_eff0-20260706-171304,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"ForwardModel,MLP,TrainEvalSplit,delay0,eff0,warp",pos_forward_model,position,forward_model,0,0,False,1.0,True,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1947.108642578125,175.53871154785156,444.5986328125,0.00053093780297786
un5lkdy3,RodentForwardModel_delay2_eff2-20260706-171304,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"ForwardModel,MLP,TrainEvalSplit,delay2,eff2,warp",pos_forward_model,position,forward_model,2,2,False,1.0,True,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1928.638916015625,191.83447265625,444.0126953125,0.033720605075359344
u1tiif7a,RodentForwardModel_delay5_eff5-20260706-171310,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"ForwardModel,MLP,TrainEvalSplit,delay5,eff5,warp",pos_forward_model,position,forward_model,5,5,False,1.0,True,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1909.39599609375,214.8074188232422,442.9462890625,0.04226577654480934
m87hoxba,RodentForwardModel_delay10_eff10-20260706-171304,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",pos_forward_model,position,forward_model,10,10,False,1.0,True,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1872.05615234375,284.9640197753906,436.91015625,0.053125254809856415
ag0ppq7m,RodentForwardModel_delay20_eff20-20260706-171304,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"ForwardModel,MLP,TrainEvalSplit,delay20,eff20,warp",pos_forward_model,position,forward_model,20,20,False,1.0,True,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1864.33349609375,284.2835998535156,437.587890625,0.05738794058561325
y9g2f9qe,RodentForwardModel_delay50_eff50-20260706-171304,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"ForwardModel,MLP,TrainEvalSplit,delay50,eff50,warp",pos_forward_model,position,forward_model,50,50,False,1.0,True,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1842.34912109375,310.5400695800781,434.8642578125,0.059050168842077255
cour9ula,RodentForwardModel_delay70_eff70-20260706-171304,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"ForwardModel,MLP,TrainEvalSplit,delay70,eff70,warp",pos_forward_model,position,forward_model,70,70,False,1.0,True,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1856.4093017578125,278.7340087890625,437.6025390625,0.061541955918073654
d4w728ul,RodentForwardModel_delay100_eff100-20260706-171304,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"ForwardModel,MLP,TrainEvalSplit,delay100,eff100,warp",pos_forward_model,position,forward_model,100,100,False,1.0,True,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1834.417724609375,319.46142578125,433.70703125,0.06112349405884743
734woltb,RodentEncDec_delay0_eff0-20260612-065718,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay0,eff0,warp",torque_efference,torque,efference,0,0,True,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,2004.005615234375,142.3390350341797,446.1865234375,
ukzi7fjb,RodentEncDec_delay0_eff0-20260611-103104,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay0,eff0,warp",torque_efference,torque,efference,0,0,True,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,2006.21875,135.2272186279297,446.3984375,
n9982rin,RodentEncDec_delay2_eff2-20260611-103514,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay2,eff2,warp",torque_efference,torque,efference,2,2,True,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1968.72412109375,195.2876739501953,443.71875,
8ygr9sf4,RodentEncDec_delay5_eff5-20260611-120639,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay5,eff5,warp",torque_efference,torque,efference,5,5,True,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1905.016357421875,272.0177917480469,436.7861328125,
k0i287kl,RodentEncDec_delay10_eff10-20260611-120848,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay10,eff10,warp",torque_efference,torque,efference,10,10,True,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1789.60986328125,376.0146789550781,423.0419921875,
gunf0ivv,RodentEncDec_delay20_eff20-20260611-120904,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay20,eff20,warp",torque_efference,torque,efference,20,20,True,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1435.531005859375,590.2176513671875,363.3037109375,
1w7nuehe,RodentEncDec_delay50_eff50-20260611-120955,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay50,eff50,warp",torque_efference,torque,efference,50,50,True,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1045.143310546875,559.1459350585938,296.958984375,
oof7uath,RodentForwardModel_delay0_eff0-20260619-032834,emiwar-team/nnx-ppo-rodent-delays,54643764,"ForwardModel,MLP,TrainEvalSplit,delay0,eff0,warp",torque_forward_model,torque,forward_model,0,0,True,1.0,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1985.561767578125,137.70921325683594,446.412109375,
cux09djh,RodentForwardModel_delay2_eff2-20260619-033003,emiwar-team/nnx-ppo-rodent-delays,54643764,"ForwardModel,MLP,TrainEvalSplit,delay2,eff2,warp",torque_forward_model,torque,forward_model,2,2,True,1.0,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1944.8040771484375,197.5319671630859,442.9287109375,
