condition,wandb_id,wandb_name,created_at,state
feedforward,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,2026-08-11T11:52:49Z,failed
feedforward,2fiwhyiz,RodentEncDec_delay30_eff30-20260811-084029,2026-08-11T12:40:31Z,failed
feedforward,48llced7,RodentEncDec_delay100_eff100-20260811-094548,2026-08-11T13:45:49Z,failed
feedforward,4h227zyv,RodentEncDec_delay10_eff10-20260824-091620,2026-08-24T13:16:21Z,finished
feedforward,7qbsx2pa,RodentEncDec_delay20_eff20-20260811-083832,2026-08-11T12:38:40Z,failed
feedforward,7ur99xil,RodentEncDec_delay5_eff5-20260811-081204,2026-08-11T12:12:06Z,failed
feedforward,8j703ofi,RodentEncDec_delay25_eff25-20260811-083832,2026-08-11T12:38:40Z,failed
feedforward,904oncgf,RodentEncDec_delay7_eff7-20260811-081755,2026-08-11T12:17:56Z,failed
feedforward,9htwlukh,RodentEncDec_delay0_eff0-20260811-075304,2026-08-11T11:53:07Z,failed
feedforward,ame77mw2,RodentEncDec_delay0_eff0-20260824-091609,2026-08-24T13:16:20Z,finished
feedforward,ax6foqgd,RodentEncDec_delay4_eff4-20260811-081204,2026-08-11T12:12:06Z,failed
feedforward,bzm76mrs,RodentEncDec_delay5_eff5-20260824-091609,2026-08-24T13:16:20Z,finished
feedforward,c1v5gmie,RodentEncDec_delay6_eff6-20260811-081205,2026-08-11T12:12:06Z,failed
feedforward,cfq1srhp,RodentEncDec_delay70_eff70-20260811-094225,2026-08-11T13:42:34Z,failed
feedforward,d4dtnb5x,RodentEncDec_delay50_eff50-20260811-084722,2026-08-11T12:47:23Z,failed
feedforward,dqjh25pb,RodentEncDec_delay8_eff8-20260811-081952,2026-08-11T12:19:57Z,failed
feedforward,ekl3fbju,RodentEncDec_delay90_eff90-20260811-094225,2026-08-11T13:42:34Z,failed
feedforward,g1eehkgv,RodentEncDec_delay40_eff40-20260811-084704,2026-08-11T12:47:05Z,failed
feedforward,mpmlfb9i,RodentEncDec_delay15_eff15-20260811-083832,2026-08-11T12:38:40Z,failed
feedforward,n1igz0o8,RodentEncDec_delay60_eff60-20260811-084722,2026-08-11T12:47:23Z,failed
feedforward,op8eyyba,RodentEncDec_delay12_eff12-20260811-083832,2026-08-11T12:38:40Z,failed
feedforward,qpsikl6i,RodentEncDec_delay3_eff3-20260811-081204,2026-08-11T12:12:06Z,failed
feedforward,qynq5js2,RodentEncDec_delay80_eff80-20260811-094225,2026-08-11T13:42:34Z,failed
feedforward,sjvihoij,RodentEncDec_delay0_eff0-20260824-091620,2026-08-24T13:16:24Z,finished
feedforward,vo7jiiwr,RodentEncDec_delay10_eff10-20260811-083832,2026-08-11T12:38:40Z,failed
feedforward,xgrebrix,RodentEncDec_delay9_eff9-20260811-081952,2026-08-11T12:19:57Z,failed
feedforward,z9nr1e4u,RodentEncDec_delay10_eff1-20260824-095340,2026-08-24T13:53:41Z,finished
feedforward,zq5dvwvf,RodentEncDec_delay2_eff2-20260811-080832,2026-08-11T12:08:40Z,failed
recurrent,2s4cmjcx,RodentEncDecLSTM_delay0_eff0-20260824-091622,2026-08-24T13:16:23Z,finished
recurrent,a214jol0,RodentEncDecLSTM_delay10_eff10-20260824-131742,2026-08-24T17:17:48Z,finished
recurrent,fut020mc,RodentEncDecLSTM_delay5_eff1-20260824-155608,2026-08-24T19:56:38Z,finished
recurrent,nvlq18bp,RodentEncDecLSTM_delay5_eff1-20260824-095808,2026-08-24T13:58:13Z,finished
recurrent,vx4zrzed,RodentEncDecLSTM_delay10_eff1-20260824-155608,2026-08-24T19:56:38Z,finished
recurrent,w81ha9fl,RodentEncDecLSTM_delay10_eff1-20260824-095808,2026-08-24T13:58:13Z,finished
recurrent,xjanuh21,RodentEncDecLSTM_delay10_eff10-20260824-091622,2026-08-24T13:16:23Z,finished
