wandb_id,wandb_name,wandb_project,git_commit,tags,condition,frame,network,delay_k,efference_length,body_target_frame,fm_loss_weight,detach_prediction,seed,latent_size,kl_weight,enc_hidden_sizes,dec_hidden_sizes,critic_hidden_sizes,clip_length,actual_step,reward_mean,reward_std,lifespan_mean,fm_pred_mse
734woltb,RodentEncDec_delay0_eff0-20260612-065718,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay0,eff0,warp",current_efference,current_root,efference,0,0,current_root,,,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,2004.005615234375,142.3390350341797,446.1865234375,
ukzi7fjb,RodentEncDec_delay0_eff0-20260611-103104,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay0,eff0,warp",current_efference,current_root,efference,0,0,current_root,,,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,2006.21875,135.2272186279297,446.3984375,
n9982rin,RodentEncDec_delay2_eff2-20260611-103514,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay2,eff2,warp",current_efference,current_root,efference,2,2,current_root,,,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1968.72412109375,195.2876739501953,443.71875,
8ygr9sf4,RodentEncDec_delay5_eff5-20260611-120639,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay5,eff5,warp",current_efference,current_root,efference,5,5,current_root,,,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1905.016357421875,272.0177917480469,436.7861328125,
k0i287kl,RodentEncDec_delay10_eff10-20260611-120848,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay10,eff10,warp",current_efference,current_root,efference,10,10,current_root,,,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1789.60986328125,376.0146789550781,423.0419921875,
gunf0ivv,RodentEncDec_delay20_eff20-20260611-120904,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay20,eff20,warp",current_efference,current_root,efference,20,20,current_root,,,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1435.531005859375,590.2176513671875,363.3037109375,
1w7nuehe,RodentEncDec_delay50_eff50-20260611-120955,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay50,eff50,warp",current_efference,current_root,efference,50,50,current_root,,,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1045.143310546875,559.1459350585938,296.958984375,
oof7uath,RodentForwardModel_delay0_eff0-20260619-032834,emiwar-team/nnx-ppo-rodent-delays,54643764,"ForwardModel,MLP,TrainEvalSplit,delay0,eff0,warp",current_forward_model,current_root,forward_model,0,0,current_root,1.0,,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1985.561767578125,137.70921325683594,446.412109375,
cux09djh,RodentForwardModel_delay2_eff2-20260619-033003,emiwar-team/nnx-ppo-rodent-delays,54643764,"ForwardModel,MLP,TrainEvalSplit,delay2,eff2,warp",current_forward_model,current_root,forward_model,2,2,current_root,1.0,,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1944.8040771484375,197.5319671630859,442.9287109375,
nuqt0890,RodentForwardModel_delay5_eff5-20260619-033243,emiwar-team/nnx-ppo-rodent-delays,54643764,"ForwardModel,MLP,TrainEvalSplit,delay5,eff5,warp",current_forward_model,current_root,forward_model,5,5,current_root,1.0,,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1902.5728759765625,229.8212890625,440.79296875,
6rp2ntz7,RodentForwardModel_delay10_eff10-20260619-033822,emiwar-team/nnx-ppo-rodent-delays,54643764,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",current_forward_model,current_root,forward_model,10,10,current_root,1.0,,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1856.0142822265625,281.79296875,436.525390625,
bge1cw3s,RodentForwardModel_delay20_eff20-20260619-034701,emiwar-team/nnx-ppo-rodent-delays,54643764,"ForwardModel,MLP,TrainEvalSplit,delay20,eff20,warp",current_forward_model,current_root,forward_model,20,20,current_root,1.0,,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1587.1820068359375,555.6929931640625,384.4345703125,
29h53tbw,RodentForwardModel_delay50_eff50-20260619-040449,emiwar-team/nnx-ppo-rodent-delays,54643764,"ForwardModel,MLP,TrainEvalSplit,delay50,eff50,warp",current_forward_model,current_root,forward_model,50,50,current_root,1.0,,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1345.9512939453125,589.0496826171875,352.9619140625,
lgtgwdrd,RodentEncDec_delay0_eff0-20260706-062710,emiwar-team/nnx-ppo-rodent-delays,909e774d,"EncDec,MLP,TrainEvalSplit,delay0,eff0,warp",reference_efference,reference_root,efference,0,0,reference_root,,,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1997.562255859375,159.33592224121094,445.3828125,
g2rfz55i,RodentEncDec_delay2_eff2-20260706-062710,emiwar-team/nnx-ppo-rodent-delays,909e774d,"EncDec,MLP,TrainEvalSplit,delay2,eff2,warp",reference_efference,reference_root,efference,2,2,reference_root,,,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1962.379150390625,209.3658905029297,442.6669921875,
42jsm15q,RodentEncDec_delay5_eff5-20260706-062710,emiwar-team/nnx-ppo-rodent-delays,909e774d,"EncDec,MLP,TrainEvalSplit,delay5,eff5,warp",reference_efference,reference_root,efference,5,5,reference_root,,,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1921.6044921875,260.2930908203125,439.34375,
plvvp0ni,RodentEncDec_delay10_eff10-20260706-062710,emiwar-team/nnx-ppo-rodent-delays,909e774d,"EncDec,MLP,TrainEvalSplit,delay10,eff10,warp",reference_efference,reference_root,efference,10,10,reference_root,,,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1747.2474365234375,434.8324279785156,413.5263671875,
nauanqbo,RodentEncDec_delay20_eff20-20260706-062710,emiwar-team/nnx-ppo-rodent-delays,909e774d,"EncDec,MLP,TrainEvalSplit,delay20,eff20,warp",reference_efference,reference_root,efference,20,20,reference_root,,,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1486.968994140625,556.9996948242188,376.068359375,
f4086xkd,RodentEncDec_delay50_eff50-20260706-062710,emiwar-team/nnx-ppo-rodent-delays,909e774d,"EncDec,MLP,TrainEvalSplit,delay50,eff50,warp",reference_efference,reference_root,efference,50,50,reference_root,,,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1037.668701171875,575.5552978515625,292.7099609375,
4jp6xwlz,RodentForwardModel_delay0_eff0-20260706-062716,emiwar-team/nnx-ppo-rodent-delays,909e774d,"ForwardModel,MLP,TrainEvalSplit,delay0,eff0,warp",reference_forward_model,reference_root,forward_model,0,0,reference_root,1.0,True,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1957.8184814453125,180.76760864257812,444.4140625,0.0001508492568973452
4rtd5osb,RodentForwardModel_delay2_eff2-20260706-062800,emiwar-team/nnx-ppo-rodent-delays,909e774d,"ForwardModel,MLP,TrainEvalSplit,delay2,eff2,warp",reference_forward_model,reference_root,forward_model,2,2,reference_root,1.0,True,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1950.105712890625,157.1907501220703,445.6240234375,0.009837753139436243
588niguc,RodentForwardModel_delay5_eff5-20260706-062817,emiwar-team/nnx-ppo-rodent-delays,909e774d,"ForwardModel,MLP,TrainEvalSplit,delay5,eff5,warp",reference_forward_model,reference_root,forward_model,5,5,reference_root,1.0,True,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1911.4443359375,204.1765289306641,442.515625,0.014473451301455498
996slefh,RodentForwardModel_delay10_eff10-20260706-062823,emiwar-team/nnx-ppo-rodent-delays,909e774d,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",reference_forward_model,reference_root,forward_model,10,10,reference_root,1.0,True,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1826.55810546875,339.021240234375,430.9267578125,0.02350977808237076
gkphkezd,RodentForwardModel_delay20_eff20-20260706-062824,emiwar-team/nnx-ppo-rodent-delays,909e774d,"ForwardModel,MLP,TrainEvalSplit,delay20,eff20,warp",reference_forward_model,reference_root,forward_model,20,20,reference_root,1.0,True,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1611.5552978515625,529.2078857421875,391.7880859375,0.03992212936282158
jsuoivys,RodentForwardModel_delay50_eff50-20260706-062835,emiwar-team/nnx-ppo-rodent-delays,909e774d,"ForwardModel,MLP,TrainEvalSplit,delay50,eff50,warp",reference_forward_model,reference_root,forward_model,50,50,reference_root,1.0,True,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1389.973876953125,583.3875122070312,360.9580078125,0.06503191590309143
