condition,arm,wandb_id,wandb_name,state,delay_k,efference_length,seed,budget,trained_step,git_commit,walker_xml,body_target_frame,gpu,action_noise,eval_spec_id,dataset,have_eval,artifact_walker_xml,record_action_noise,n_clips,n_steps,episode_reward,episode_reward_std,reward_per_step,lifespan_steps,lifespan_s,survived,hazard_rate,joint_l2_error,joint_vel_l2_error,root_pos_distance,root_angular_error,body_errors_total,end_eff_error,fm_pred_mse
encdec,encdec,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,1,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.0,eval3ds-n00-6a6b8d4e,train,True,rodent_no_tail_collisions.xml,0.0,673,502,2154.1520522459123,152.8924765003867,4.291139546306598,486.30609212481426,4.863060921248143,0.9881129271916791,0.002444360249813609,1.2165346901930318,36.85474973474708,0.006955521091809759,2.6073026936166706,0.043242570242617955,0.020684283084693778,
encdec,encdec,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,1,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.0,eval3ds-n00-6a6b8d4e,old_eval,True,rodent_no_tail_collisions.xml,0.0,169,502,2138.64156978088,133.1682112229253,4.260242170878247,486.3491124260355,4.863491124260355,0.9822485207100592,0.003649945859136419,1.2438579597575037,37.61513500398618,0.007082444405747317,2.715751617448301,0.0449701451488696,0.021725272219874976,
encdec,encdec,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,1,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.0,eval3ds-n00-6a6b8d4e,new_eval,True,rodent_no_tail_collisions.xml,0.0,32,3002,9846.615762710571,3849.631685822148,3.2800185751867326,2325.46875,23.254687500000003,0.59375,0.01746959618356514,1.306919525753388,12.91208236723697,0.008974694237445634,4.248393710156595,0.06058488557972273,0.03093919587728247,
encdec,encdec,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,1,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.02,eval3ds-n02-a4e0be11,train,True,rodent_no_tail_collisions.xml,0.02,673,502,2155.1161064612743,152.326731933511,4.293059973030427,486.518573551263,4.865185735512629,0.9910846953937593,0.0018324695275588085,1.2084211516549965,37.380422565582485,0.007324991965040101,2.7966236733385763,0.04241157164139358,0.020205270994869063,
encdec,encdec,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,1,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.02,eval3ds-n02-a4e0be11,old_eval,True,rodent_no_tail_collisions.xml,0.02,169,502,2142.174771461261,101.27604657377125,4.267280421237572,488.0059171597633,4.880059171597633,0.9940828402366864,0.0012125180362057948,1.2384100016688555,38.119574914498735,0.007528096164637163,2.967716956732981,0.044681327631645555,0.021489674423823265,
encdec,encdec,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,1,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.02,eval3ds-n02-a4e0be11,new_eval,True,rodent_no_tail_collisions.xml,0.02,32,3002,10708.129899978638,3696.0616870509607,3.5669986342367213,2521.21875,25.2121875,0.6875,0.0123947991422799,1.2985100162199479,13.995086113395004,0.00905473268358491,4.214600246815831,0.05802642633814108,0.029591812600321503,
encdec,encdec,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,1,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.05,eval3ds-n05-7c60cd50,train,True,rodent_no_tail_collisions.xml,0.05,673,502,2087.0752350012226,198.92084735372953,4.157520388448651,484.28083209509657,4.842808320950966,0.9806835066864784,0.003988696647347065,1.210939817465603,39.85408823438889,0.009771640251022494,4.151914495221222,0.04751947547930802,0.023310626851021327,
encdec,encdec,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,1,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.05,eval3ds-n05-7c60cd50,old_eval,True,rodent_no_tail_collisions.xml,0.05,169,502,2047.5962074776373,270.1793482630282,4.078876907325971,480.1834319526627,4.801834319526627,0.9704142011834319,0.006161353526142632,1.2492871502083207,40.52033087801212,0.010522549491830104,4.429259758080175,0.053509662775672845,0.02680325126086849,
encdec,encdec,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,1,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.05,eval3ds-n05-7c60cd50,new_eval,True,rodent_no_tail_collisions.xml,0.05,32,3002,10645.024950027466,3357.218190555603,3.5459776648992225,2556.96875,25.5696875,0.6875,0.012221502511518765,1.306423869419992,19.03138592284636,0.01132458379792715,5.098612989891306,0.060086987707129516,0.031245901844268845,
encdec,encdec,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,1,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.1,eval3ds-n10-2726ab9c,train,True,rodent_no_tail_collisions.xml,0.1,673,502,867.5538714835407,603.1970373821644,1.7281949631146227,265.19762258543835,2.6519762258543835,0.24368499257057952,0.2851892109951927,1.4880422688335695,47.937316569196874,0.028353531000183233,14.802698209704051,0.1454914575160268,0.07681934996583356,
encdec,encdec,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,1,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.1,eval3ds-n10-2726ab9c,old_eval,True,rodent_no_tail_collisions.xml,0.1,169,502,849.6905815305089,578.2402010158017,1.6926107201802967,262.9822485207101,2.6298224852071,0.242603550295858,0.2880028800288003,1.5079027478149012,47.44505192473684,0.02846130531326513,14.799215027241702,0.14510625736042607,0.07657319389665797,
encdec,encdec,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,1,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.1,eval3ds-n10-2726ab9c,new_eval,True,rodent_no_tail_collisions.xml,0.1,32,3002,2714.6703996658325,2474.4413759781605,0.9042872750385851,773.40625,7.7340625,0.0,0.12929815346074588,1.4084365275298216,29.46819790853703,0.02442599043545502,12.263747108095362,0.11954212371779252,0.06422586639983145,
encdec,encdec,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,1,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.25,eval3ds-n25-da25f356,train,True,rodent_no_tail_collisions.xml,0.25,673,502,57.222745089084576,20.964136258366953,0.11398953204996927,28.438335809806834,0.2843833580980683,0.0,3.516380166152882,1.5252877895323513,73.57365945595264,0.04812775236944,26.592649900533846,0.19016943574865416,0.10706901120531423,
encdec,encdec,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,1,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.25,eval3ds-n25-da25f356,old_eval,True,rodent_no_tail_collisions.xml,0.25,169,502,54.00877796827689,18.86265118812815,0.1075872071081213,25.86390532544379,0.2586390532544378,0.0,3.866392129947381,1.4643567311678773,74.95072093275074,0.04806989080025791,26.635629750246476,0.18512089225557457,0.10305413944138357,
encdec,encdec,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,1,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.25,eval3ds-n25-da25f356,new_eval,True,rodent_no_tail_collisions.xml,0.25,32,3002,58.79428035020828,24.990748508137106,0.01958503675889683,25.96875,0.2596875,0.0,3.8507821901323704,1.3595876061613525,54.78041505777603,0.04546329248101911,24.541965255893246,0.15303596176171175,0.08547471649733338,
encdec,encdec,2fiwhyiz,RodentEncDec_delay30_eff30-20260811-084029,failed,30,30,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.0,eval3ds-n00-6a6b8d4e,train,True,rodent_no_tail_collisions.xml,0.0,673,502,1161.0757149842307,613.0172623296212,2.3128998306458777,344.554234769688,3.4455423476968803,0.5022288261515602,0.14446816309808738,1.9420109005566986,39.15422079521863,0.024611599164807454,10.325204712852136,0.16275532085025884,0.07967117780712264,
encdec,encdec,2fiwhyiz,RodentEncDec_delay30_eff30-20260811-084029,failed,30,30,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.0,eval3ds-n00-6a6b8d4e,old_eval,True,rodent_no_tail_collisions.xml,0.0,169,502,1056.8954420371874,614.8201517033219,2.1053694064485806,320.4556213017751,3.2045562130177516,0.40828402366863903,0.18464833724172314,1.9169588430369682,39.64149246509724,0.02716577698869033,12.159288761110819,0.17728986165955352,0.08681744095188297,
encdec,encdec,2fiwhyiz,RodentEncDec_delay30_eff30-20260811-084029,failed,30,30,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.0,eval3ds-n00-6a6b8d4e,new_eval,True,rodent_no_tail_collisions.xml,0.0,32,3002,2690.941180706024,2387.0951603094113,0.8963828050319868,835.96875,8.3596875,0.0,0.11962169638518187,1.9336397447614853,14.615478387898563,0.02406730725235481,10.204520553097804,0.1575428001320156,0.07850106184507638,
encdec,encdec,2fiwhyiz,RodentEncDec_delay30_eff30-20260811-084029,failed,30,30,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.02,eval3ds-n02-a4e0be11,train,True,rodent_no_tail_collisions.xml,0.02,673,502,1020.4229355878674,569.1732144456178,2.03271501113121,323.61961367013373,3.2361961367013374,0.44725111441307575,0.170802034931771,1.9062821108245838,39.67495199574942,0.027240148283012515,13.419743714831132,0.17933229401179202,0.08924246473809892,
encdec,encdec,2fiwhyiz,RodentEncDec_delay30_eff30-20260811-084029,failed,30,30,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.02,eval3ds-n02-a4e0be11,old_eval,True,rodent_no_tail_collisions.xml,0.02,169,502,929.4354085075785,557.0626633691367,1.8514649571864112,304.1834319526627,3.0418343195266266,0.3727810650887574,0.20619759954869962,1.89483014349291,40.358381614731925,0.028693163123758875,15.558806978157186,0.18680259302295626,0.0922513424712365,
