condition,arm,budget,wandb_id,run_name,delay_k,step,probe,pathway,stage_index,stage_label,target,target_degenerate,test_r2,val_r2,lambda,n_train,n_test,n_features
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,input::delayed_plus_efference,actor,0.0,"input
(delayed+eff)",delta,True,,-inf,1.0,56671,24990,277
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,input::delayed_plus_efference,actor,0.0,"input
(delayed+eff)",proprio,False,0.9999999949937656,0.9999999908382958,1.0,56671,24990,277
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/1/predictor/0,actor,1.0,pred 1,delta,True,,-inf,1.0,56671,24990,512
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/1/predictor/0,actor,1.0,pred 1,proprio,False,0.9997948909252276,0.9997368020855466,1.0,56671,24990,512
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/1/predictor/1,actor,2.0,pred 2,delta,True,,-inf,1.0,56671,24990,512
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/1/predictor/1,actor,2.0,pred 2,proprio,False,0.9994434794381886,0.9992716451170894,1.0,56671,24990,512
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/1/predictor/2,actor,3.0,pred 3,delta,True,,-inf,1.0,56671,24990,512
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/1/predictor/2,actor,3.0,pred 3,proprio,False,0.999270957485074,0.9990579314469628,1.0,56671,24990,512
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/1/predictor/3,actor,4.0,pred 4,delta,True,,-inf,1.0,56671,24990,512
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/1/predictor/3,actor,4.0,pred 4,proprio,False,0.9992352278512916,0.9989734832021212,1.0,56671,24990,512
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/1/predictor/4,actor,5.0,p̂ (277),delta,True,,-inf,1.0,56671,24990,277
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/1/predictor/4,actor,5.0,p̂ (277),proprio,False,0.9991535367215592,0.9988781992800017,10.0,56671,24990,277
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/1/decoder/0,actor,6.0,dec 1,delta,True,,-inf,1.0,56671,24990,512
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/1/decoder/0,actor,6.0,dec 1,proprio,False,0.8547008711873596,0.8281063564586784,100.0,56671,24990,512
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/1/decoder/1,actor,7.0,dec 2,delta,True,,-inf,1.0,56671,24990,512
