pair,label,metric,delay_k,old,new,ratio
primary_encdec,EncDec + efference,train_sps_median,40,32801.30132266588,33246.54686944757,1.0135740208109982
primary_encdec,EncDec + efference,train_sps_median,50,32429.251683838884,32933.01851204627,1.0155343340364045
primary_encdec,EncDec + efference,train_sps_median,60,32043.90275769321,32501.36594528789,1.0142761383048091
primary_encdec,EncDec + efference,eval_sps_median,40,31140.022973827326,31429.040943364744,1.0092812381603036
primary_encdec,EncDec + efference,eval_sps_median,50,30987.043874021525,31742.60770901543,1.0243832176462415
primary_encdec,EncDec + efference,eval_sps_median,60,30929.07139083153,31161.322518135283,1.0075091529379896
primary_expfm,Explicit FM,train_sps_median,1,31314.919125842192,31222.080488915737,0.9970353224750997
primary_expfm,Explicit FM,train_sps_median,3,31211.556298000443,31274.39253314805,1.0020132362048102
primary_expfm,Explicit FM,train_sps_median,4,31344.426227700227,31210.461728321112,0.9957260503540267
primary_expfm,Explicit FM,train_sps_median,5,31319.60970488885,31222.42098557193,0.9968968732294978
primary_expfm,Explicit FM,train_sps_median,7,31218.853414135338,31242.542459564727,1.0007588057484091
primary_expfm,Explicit FM,train_sps_median,8,31275.47691168541,31233.96609986384,0.9986727360884443
primary_expfm,Explicit FM,train_sps_median,9,30964.764841629487,31049.434914441477,1.0027344006403742
primary_expfm,Explicit FM,train_sps_median,12,30863.387947660634,31120.22467235681,1.0083217281632118
primary_expfm,Explicit FM,train_sps_median,15,30644.509099604336,30939.058650407285,1.009611821479847
primary_expfm,Explicit FM,train_sps_median,30,30552.554426945426,30908.330563222076,1.0116447263723023
primary_expfm,Explicit FM,train_sps_median,60,29833.17521183064,30635.644812745428,1.0268985649437865
primary_expfm,Explicit FM,train_sps_median,70,30061.991381026437,30288.60658416275,1.0075382631930145
primary_expfm,Explicit FM,train_sps_median,80,29709.2022317072,30144.61224998159,1.0146557290525189
primary_expfm,Explicit FM,train_sps_median,100,28938.77124873277,29593.76443938305,1.022633759568453
primary_expfm,Explicit FM,eval_sps_median,1,33409.480532855334,33655.53536184801,1.0073648205559707
primary_expfm,Explicit FM,eval_sps_median,3,33001.15132871812,33053.97196104913,1.0016005693802883
primary_expfm,Explicit FM,eval_sps_median,4,32689.94811739522,32652.69602240628,0.9988604419054089
primary_expfm,Explicit FM,eval_sps_median,5,32859.80526003188,32508.177142039945,0.9892991417566426
primary_expfm,Explicit FM,eval_sps_median,7,32538.92289621582,32394.81631561901,0.9955712553529678
primary_expfm,Explicit FM,eval_sps_median,8,32452.99323094077,32131.51880456008,0.9900941517445548
primary_expfm,Explicit FM,eval_sps_median,9,32208.69294661763,32026.16948934332,0.9943330995276082
primary_expfm,Explicit FM,eval_sps_median,12,31910.98003239395,31961.16275591609,1.0015725848429349
primary_expfm,Explicit FM,eval_sps_median,15,31768.899934464163,31816.01770318695,1.0014831413369674
primary_expfm,Explicit FM,eval_sps_median,30,31326.7214501192,31181.24586447072,0.99535618223311
primary_expfm,Explicit FM,eval_sps_median,60,31118.086440265448,15671.52092797345,0.5036145444886735
primary_expfm,Explicit FM,eval_sps_median,70,31140.314133318745,28072.21468986759,0.9014750002098268
primary_expfm,Explicit FM,eval_sps_median,80,31120.339969092747,15408.910144421952,0.4951395183897526
primary_expfm,Explicit FM,eval_sps_median,100,31164.248837087216,25247.86503925345,0.8101547761102159
primary_pgfm,Policy-gradient FM,train_sps_median,15,30841.96811775548,30872.585317252742,1.0009927122478164
primary_pgfm,Policy-gradient FM,eval_sps_median,15,31439.926991278477,31365.73659091418,0.9976402489616188
