wandb_id,condition,arm,delay_k,budget,inline_train_reward,inline_train_survived,inline_old_eval_reward,inline_old_eval_survived,inline_new_eval_reward,inline_new_eval_survived,generalization_ratio
dgv264dt,expfm_2g,explicit,0,2000000000,2189.395667247574,1.0,2168.574873884754,1.0,10894.448322296144,0.71875,0.9904901641698256
itedqjyt,expfm_2g,explicit,10,2000000000,2081.198514329023,0.9806835066864784,1989.847286562948,0.9526627218934912,6603.663248538971,0.28125,0.9561064323575463
3dfjggpw,expfm_2g,explicit,20,2000000000,1903.6325362320283,0.8870728083209509,1748.4746700038572,0.7751479289940828,5243.396511554718,0.0625,0.9184937936944049
7wpzx8cl,expfm_2g,explicit,50,2000000000,1612.3677439583355,0.7607726597325408,1462.7401499550724,0.6686390532544378,4373.007784128189,0.125,0.9072000822616745
efc0z8fe,pgfm_600m_reference,implicit,0,600000000,2167.109924565807,0.9955423476968795,2131.067245573687,0.9881656804733728,11186.551773071287,0.71875,0.9833683199068265
cgs8q5gj,pgfm_600m_reference,implicit,10,600000000,1828.0199242828503,0.8291233283803863,1734.5487459622896,0.7692307692307692,5764.910205364227,0.1875,0.948867527602452
kwk401pl,pgfm_600m_reference,implicit,10,600000000,1856.5338146102024,0.8424962852897474,1760.4528844709228,0.7692307692307692,6896.924999237061,0.25,0.9482471423988296
yt776s6d,pgfm_600m_reference,implicit,20,600000000,1417.4109522577205,0.6315007429420505,1297.6101241704275,0.5562130177514792,4133.366011619568,0.0625,0.9154791150043899
lxgp2zfn,pgfm_600m_reference,implicit,50,600000000,847.4812830319908,0.32243684992570576,800.3206477870602,0.3076923076923077,1728.964783191681,0.0,0.9443520037679106
nsfdsuk2,pgfm_2g,implicit,0,2000000000,2199.25444228015,0.9910846953937592,2177.991175183178,0.9881656804733728,11056.870512008669,0.71875,0.990331602070142
1dbmh27r,pgfm_2g,implicit,10,2000000000,2069.185584806581,0.962852897473997,1998.1152402437651,0.9112426035502958,5872.122015953064,0.03125,0.9656529868153613
x1wjdvt9,pgfm_2g,implicit,20,2000000000,1738.1365648584238,0.7652303120356612,1540.0268769574589,0.6568047337278107,5382.35341835022,0.1875,0.8860217937379958
6jz9o5p4,pgfm_2g,implicit,50,2000000000,809.1562829435669,0.3684992570579495,744.376885995357,0.33136094674556216,1656.3468222618103,0.0,0.9199420454197625
