condition,arm,delay_k,from_step,to_step,gain_pct
expfm_2g,explicit,0,125000000,250000000,22.573273026129815
expfm_2g,explicit,0,250000000,500000000,3.5852272381242
expfm_2g,explicit,0,500000000,1000000000,2.0420760861487697
expfm_2g,explicit,0,1000000000,2000000000,0.8636560412881078
expfm_2g,explicit,10,125000000,250000000,52.16512144095471
expfm_2g,explicit,10,250000000,500000000,17.021088218823643
expfm_2g,explicit,10,500000000,1000000000,6.333560979819919
expfm_2g,explicit,10,1000000000,2000000000,3.0739306807789024
expfm_2g,explicit,20,125000000,250000000,40.940106105135186
expfm_2g,explicit,20,250000000,500000000,17.34132803455859
expfm_2g,explicit,20,500000000,1000000000,8.36416028515532
expfm_2g,explicit,20,1000000000,2000000000,3.346931336419945
expfm_2g,explicit,50,125000000,250000000,26.522060554809013
expfm_2g,explicit,50,250000000,500000000,17.43268253589203
expfm_2g,explicit,50,500000000,1000000000,12.209646485958302
expfm_2g,explicit,50,1000000000,2000000000,8.069287339900843
pgfm_2g,implicit,0,125000000,250000000,15.123933644984788
pgfm_2g,implicit,0,250000000,500000000,3.4103595125317465
pgfm_2g,implicit,0,500000000,1000000000,1.2867983849602416
pgfm_2g,implicit,0,1000000000,2000000000,0.6759034229952166
pgfm_2g,implicit,10,125000000,250000000,35.86121057449838
pgfm_2g,implicit,10,250000000,500000000,58.47861436973503
pgfm_2g,implicit,10,500000000,1000000000,9.153668874793674
pgfm_2g,implicit,10,1000000000,2000000000,2.796784765733218
pgfm_2g,implicit,20,125000000,250000000,22.78023225163246
pgfm_2g,implicit,20,250000000,500000000,51.65654605737351
pgfm_2g,implicit,20,500000000,1000000000,20.849128892695923
pgfm_2g,implicit,20,1000000000,2000000000,9.180658032111078
pgfm_2g,implicit,50,125000000,250000000,26.008215231926734
pgfm_2g,implicit,50,250000000,500000000,14.73747563794323
pgfm_2g,implicit,50,500000000,1000000000,-1.0927752357797638
pgfm_2g,implicit,50,1000000000,2000000000,-1.5034935718994613
