wandb_id,wandb_name,wandb_project,state,git_commit,created_at,condition,arm,tier,budget,delay_k,seed,min_std,fm_loss_weight,detach_prediction,gpu,runtime_s,max_step,n_eval_points,reward_at_600M,fm_mse_at_600M,reward_at_1G,fm_mse_at_1G,reward_at_2G,fm_mse_at_2G,reward_at_2p9G,fm_mse_at_2p9G,reward_at_4G,fm_mse_at_4G,reward_mean_final,fm_mse_eval_final,action_sigma_final,encoder_kl_final,joint_l2_error_final,lifespan_mean_final,inline_train_reward,inline_old_eval_reward,inline_new_eval_reward
dgv264dt,RodentForwardModel_delay0_eff0-20260813-073550,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-13T11:35:59Z,expfm_2g,explicit,2g,2000000000,0,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,83086.073282242,2000076800.0,200,1966.1916748046874,0.00016889030375748522,2000.0083984375,0.0004957919096340801,2017.281591796875,0.0005430096702184,,,,,2019.623095703125,0.00043297965603410004,0.26596834063529967,20.510958862304687,1.1066059827804566,446.593359375,2189.395667247574,2168.574873884754,10894.448322296144
itedqjyt,RodentForwardModel_delay10_eff10-20260813-074327,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-13T11:43:29Z,expfm_2g,explicit,2g,2000000000,10,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,76091.044200417,2000076800.0,200,1774.31025390625,0.02344564460217946,1862.4680419921874,0.01890969648957248,1919.7190185546874,0.016340576112270296,,,,,1921.651123046875,0.016376908123493142,0.38575350046157836,16.123940086364748,1.2615209341049194,442.954296875,2081.198514329023,1989.847286562948,6603.663248538971
3dfjggpw,RodentForwardModel_delay20_eff20-20260813-074628,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-13T11:46:32Z,expfm_2g,explicit,2g,2000000000,20,42,0.1,1.0,True,NVIDIA H200,45731.698059887,2000076800.0,200,1617.854345703125,0.03765424937009808,1710.3185791015626,0.03542169220745558,1767.561767578125,0.02824506722390646,,,,,1772.5785400390625,0.02796958237886422,0.4116182565689087,15.625857925415039,1.3647261381149292,421.73125,1903.6325362320283,1748.4746700038572,5243.396511554718
7wpzx8cl,RodentForwardModel_delay50_eff50-20260813-074948,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-13T11:49:49Z,expfm_2g,explicit,2g,2000000000,50,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,79819.923374707,2000076800.0,200,1359.617529296875,0.07392409145832056,1453.0578857421874,0.06472565233707427,1570.3093017578126,0.05445798560976978,,,,,1574.1480224609375,0.05363950654864308,0.44883832335472107,14.142923355102539,1.5607815742492677,402.003125,1612.3677439583355,1462.7401499550724,4373.007784128189
gla1tfc5,RodentForwardModel_delay20_eff20-20260818-034224,emiwar-team/nnx-ppo-rodent-delays,finished,13637960,2026-08-18T07:42:36Z,expfm_4g,explicit,4g,4000000000,20,43,0.1,1.0,True,NVIDIA H200,96902.062593081,4000071680.0,400,1602.5377197265625,0.038100931048393225,1690.4915283203125,0.032994527369737556,1776.7877197265625,0.0285685751587152,1798.9744873046875,0.02698349766433234,1818.9424560546875,0.0252735380083322,1815.1817138671875,0.025391287729144042,0.41075047850608826,16.366029357910158,1.3216083765029907,428.43984375,1930.2363047266783,1753.6979441445255,4681.327331542969
eqr1acos,RodentForwardModel_delay30_eff30-20260818-043638,emiwar-team/nnx-ppo-rodent-delays,crashed,13637960,2026-08-18T08:36:49Z,expfm_4g,explicit,4g,4000000000,30,43,0.1,1.0,True,NVIDIA H200,37545.356105756,1600061440.0,160,1481.869921875,0.0525031819939613,1597.774853515625,0.045152144879102664,,,,,,,1641.76904296875,0.04145377352833744,0.42994242906570435,14.87326259613037,1.446319055557251,407.9013671875,,,
vvcvtmzl,RodentForwardModel_delay30_eff30-20260819-015223,emiwar-team/nnx-ppo-rodent-delays,running,afbeea09,2026-08-19T05:52:33Z,expfm_4g,explicit,4g,4000000000,30,43,0.1,1.0,True,NVIDIA A100-SXM4-80GB,110505.22316778,2940026880.0,294,1505.5336669921876,0.05041561573743817,1598.389111328125,0.04416530206799504,1667.6087890625,0.04085399657487864,1709.0891845703125,0.03600799292325968,,,1706.0858764648438,0.036586012070377635,0.4298340678215027,15.128924687703451,1.4243085980415344,414.3772786458333,,,
macs28xu,RodentForwardModel_delay40_eff40-20260818-223722,emiwar-team/nnx-ppo-rodent-delays,finished,afbeea09,2026-08-19T02:37:33Z,expfm_4g,explicit,4g,4000000000,40,43,0.1,1.0,True,NVIDIA H200,95616.297309227,4000071680.0,400,1368.46591796875,0.06552938818931575,1521.3513916015625,0.05438292324542994,1597.886767578125,0.05017096549272534,1639.714111328125,0.04510536640882488,1648.38759765625,0.04407881721854208,1648.7147216796875,0.0440130330622196,0.43754507303237916,14.864367866516114,1.466182041168213,406.1923828125,1728.7686884456368,1509.8138402453542,4254.529368877411
5282izw1,RodentForwardModel_delay50_eff50-20260818-223722,emiwar-team/nnx-ppo-rodent-delays,finished,afbeea09,2026-08-19T02:37:33Z,expfm_4g,explicit,4g,4000000000,50,43,0.1,1.0,True,NVIDIA H200,98211.295587408,4000071680.0,400,1337.540869140625,0.07523235678672786,1460.8071533203124,0.0660723134875297,1561.3449462890626,0.055310872942209176,1599.878466796875,0.05102334842085832,1611.2018310546875,0.052083471417427016,1606.5480224609375,0.05104966536164281,0.4487773060798645,14.57959156036377,1.5260221719741822,404.16015625,1635.3490374991657,1475.8733752549754,4079.071214199066
q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,2026-08-11T20:20:34Z,expfm_600m,explicit,600m,600000000,0,42,0.1,1.0,True,NVIDIA H200,13646.30063952,600064000.0,60,1976.706689453125,0.0007884091814048406,,,,,,,,,1978.487841796875,0.0008149165747454075,0.3042211592197418,18.256562423706054,1.1816602945327759,445.9359375,,,
wdnsv6wt,RodentForwardModel_delay1_eff1-20260811-163030,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,2026-08-11T20:30:32Z,expfm_600m,explicit,600m,600000000,1,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,24623.792870691,600064000.0,60,1949.6678466796875,0.014270987920463041,,,,,,,,,1950.18056640625,0.01431985851377244,0.32234416604042054,16.77098503112793,1.2181465864181518,443.8107421875,,,
zgwma7ta,RodentForwardModel_delay2_eff2-20260811-163022,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,2026-08-11T20:30:29Z,expfm_600m,explicit,600m,600000000,2,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,21966.977937672,600064000.0,60,1944.341650390625,0.009028154425322961,,,,,,,,,1943.0845947265625,0.00924846455454822,0.3363723874092102,15.764887237548828,1.2352123022079469,444.3369140625,,,
co9cu5aw,RodentForwardModel_delay3_eff3-20260811-163204,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,2026-08-11T20:32:06Z,expfm_600m,explicit,600m,600000000,3,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,22086.090293764,600064000.0,60,1923.746142578125,0.01183551326394076,,,,,,,,,1926.0915771484374,0.011790643632411899,0.35195016860961914,15.600887870788574,1.2487337589263916,443.50859375,,,
eq25n7dm,RodentForwardModel_delay4_eff4-20260811-173716,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,2026-08-11T21:37:20Z,expfm_600m,explicit,600m,600000000,4,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,22165.224139256,600064000.0,60,1914.6385009765625,0.013324887119233542,,,,,,,,,1918.13798828125,0.013407392986118719,0.36093878746032715,15.044140815734863,1.2634541511535644,442.615625,,,
j2bmags2,RodentForwardModel_delay5_eff5-20260811-173716,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,2026-08-11T21:37:20Z,expfm_600m,explicit,600m,600000000,5,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,22085.490059401,600064000.0,60,1888.2461669921875,0.015103646367788262,,,,,,,,,1893.4856201171874,0.0149253830313682,0.37440075278282164,15.053146934509277,1.2853740453720093,440.971875,,,
m5fbx6tq,RodentForwardModel_delay6_eff6-20260811-173748,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,2026-08-11T21:37:49Z,expfm_600m,explicit,600m,600000000,6,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,21993.972295848,600064000.0,60,1877.2065673828124,0.01866143308579918,,,,,,,,,1878.3344970703124,0.01855111867189404,0.38810487985610964,14.815702629089355,1.3051672220230102,439.01171875,,,
2696la26,RodentForwardModel_delay7_eff7-20260811-173808,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,2026-08-11T21:38:09Z,expfm_600m,explicit,600m,600000000,7,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,22082.726351923,600064000.0,60,1870.4349609375,0.017286451160907677,,,,,,,,,1871.80263671875,0.017535753920674257,0.3906837999820709,14.848921203613282,1.3235092401504516,438.656640625,,,
t4lisyr9,RodentForwardModel_delay8_eff8-20260811-173834,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,2026-08-11T21:38:35Z,expfm_600m,explicit,600m,600000000,8,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,22141.314019721,600064000.0,60,1841.8294921875,0.02031813152134414,,,,,,,,,1844.8453125,0.02020489051938054,0.39908509254455565,14.569414520263672,1.357484483718872,436.324609375,,,
7c6xmp09,RodentForwardModel_delay9_eff9-20260811-173842,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,2026-08-11T21:38:43Z,expfm_600m,explicit,600m,600000000,9,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,22208.308733933,600064000.0,60,1804.609814453125,0.02405727505683896,,,,,,,,,1807.730810546875,0.02373106926679608,0.4050157189369202,14.789186859130856,1.3530731439590453,430.2216796875,,,
25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,2026-08-11T21:42:52Z,expfm_600m,explicit,600m,600000000,10,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,22126.721127046,600064000.0,60,1776.107958984375,0.02289166264235968,,,,,,,,,1784.09384765625,0.022895327955484338,0.40428544878959655,14.523583221435548,1.359906554222107,425.7541015625,,,
zq4rpcds,RodentForwardModel_delay12_eff12-20260811-174307,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,2026-08-11T21:43:09Z,expfm_600m,explicit,600m,600000000,12,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,22166.889115539,600064000.0,60,1747.67216796875,0.02495170719921584,,,,,,,,,1745.2015625,0.025006755441427175,0.41571820378303526,14.61067066192627,1.3931289672851563,420.655078125,,,
yws4x1hj,RodentForwardModel_delay15_eff15-20260811-174441,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,2026-08-11T21:44:43Z,expfm_600m,explicit,600m,600000000,15,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,22321.730356682,600064000.0,60,1697.426025390625,0.029830232635140362,,,,,,,,,1697.051171875,0.0301265370100736,0.4242216765880585,13.89454402923584,1.4146903991699218,415.3478515625,,,
48icppj0,RodentForwardModel_delay20_eff20-20260811-174441,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,2026-08-11T21:44:43Z,expfm_600m,explicit,600m,600000000,20,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,22319.353700773,600064000.0,60,1636.0240478515625,0.03654365688562388,,,,,,,,,1635.1210205078125,0.036490732431411696,0.4320987522602081,13.603813934326173,1.4380722045898438,404.9052734375,,,
3osnm0o6,RodentForwardModel_delay25_eff25-20260811-175025,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,2026-08-11T21:50:26Z,expfm_600m,explicit,600m,600000000,25,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,22528.616495946,600064000.0,60,1586.043115234375,0.042031317949295,,,,,,,,,1585.23798828125,0.04244455695152279,0.43687683939933775,13.45781192779541,1.4971545219421387,401.30546875,,,
6ugicoso,RodentForwardModel_delay30_eff30-20260811-175615,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,2026-08-11T21:56:21Z,expfm_600m,explicit,600m,600000000,30,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,22670.483945,600064000.0,60,1513.27880859375,0.05168405324220654,,,,,,,,,1517.762890625,0.0508549831807613,0.45185821652412417,13.173034286499023,1.5453924179077148,391.923828125,,,
qqzdghe9,RodentForwardModel_delay40_eff40-20260811-175614,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,2026-08-11T21:56:21Z,expfm_600m,explicit,600m,600000000,40,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,23115.888225543,600064000.0,60,1449.0635498046875,0.06040822863578792,,,,,,,,,1452.4549560546875,0.059757277369499165,0.45913490653038025,12.892504119873047,1.5788059473037719,382.5994140625,,,
6cbzq5on,RodentForwardModel_delay50_eff50-20260811-180113,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,2026-08-11T22:01:16Z,expfm_600m,explicit,600m,600000000,50,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,26153.026244734,600064000.0,60,1367.3987060546874,0.07458524107933043,,,,,,,,,1365.377099609375,0.07407428324222562,0.47266748547554016,12.890095138549805,1.6970714330673218,372.2439453125,,,
tuakxoap,RodentForwardModel_delay60_eff60-20260811-180332,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,2026-08-11T22:03:34Z,expfm_600m,explicit,600m,600000000,60,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,24105.074381331,600064000.0,60,1283.308837890625,0.08125967830419537,,,,,,,,,1294.644287109375,0.08119040131568904,0.4686363935470581,12.651070976257325,1.7424768686294556,360.5560546875,,,
czsyqfjy,RodentForwardModel_delay70_eff70-20260811-180332,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,2026-08-11T22:03:34Z,expfm_600m,explicit,600m,600000000,70,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,23711.514017606,600064000.0,60,1296.3070068359375,0.08769053518772121,,,,,,,,,1292.3476318359376,0.08894898444414132,0.4678459703922272,12.126815795898438,1.8542516231536865,368.9095703125,,,
qubjc67b,RodentForwardModel_delay80_eff80-20260811-181325,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,2026-08-11T22:13:28Z,expfm_600m,explicit,600m,600000000,80,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,26987.951973954,600064000.0,60,1291.498974609375,0.09288975745439526,,,,,,,,,1286.1219970703125,0.0944757059216499,0.4704525828361511,12.112567329406739,1.9277867317199706,370.5564453125,,,
vxo6rooq,RodentForwardModel_delay90_eff90-20260811-181317,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,2026-08-11T22:13:21Z,expfm_600m,explicit,600m,600000000,90,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,24145.836649129,600064000.0,60,1260.75595703125,0.0949155300855636,,,,,,,,,1262.111865234375,0.09432260245084756,0.47252570986747744,11.68299388885498,1.9746896505355835,370.066015625,,,
f0a0360u,RodentForwardModel_delay100_eff100-20260811-181425,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,2026-08-11T22:14:26Z,expfm_600m,explicit,600m,600000000,100,42,0.1,1.0,True,NVIDIA A100-SXM4-80GB,26720.343425723,600064000.0,60,1221.831298828125,0.09781831800937649,,,,,,,,,1240.0444580078124,0.09697227478027338,0.46728063821792604,11.320967483520509,2.0695945262908935,366.91796875,,,
nsfdsuk2,RodentForwardModel_delay0_eff0_nodetach-20260813-064425,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-13T10:44:30Z,pgfm_2g,implicit,2g,2000000000,0,42,0.1,0.0,False,NVIDIA H200,56264.97477971,2000076800.0,200,1998.3294677734375,0.459702467918396,2017.785498046875,0.48683359026908873,2031.423779296875,0.5168895483016968,,,,,2031.401220703125,0.5169173598289489,0.2477163016796112,20.623263931274415,1.0911749362945558,446.6091796875,2199.25444228015,2177.991175183178,11056.870512008669
1dbmh27r,RodentForwardModel_delay10_eff10_nodetach-20260813-064420,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-13T10:44:30Z,pgfm_2g,implicit,2g,2000000000,10,42,0.1,0.0,False,NVIDIA H200,45172.388575111,2000076800.0,200,1784.0977294921875,0.43225241303443906,1871.94150390625,0.44377841949462893,1924.2956787109374,0.46807737946510314,,,,,1924.73896484375,0.466639244556427,0.36158178448677064,13.615116500854493,1.2799729824066162,442.2478515625,2069.185584806581,1998.1152402437651,5872.122015953064
x1wjdvt9,RodentForwardModel_delay20_eff20_nodetach-20260813-070304,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-13T11:03:09Z,pgfm_2g,implicit,2g,2000000000,20,42,0.1,0.0,False,NVIDIA A100-SXM4-80GB,77511.640423545,2000076800.0,200,1407.6421142578124,0.4688821196556091,1551.9811279296875,0.4623966157436371,1694.4632080078125,0.4662316024303436,,,,,1703.6587646484375,0.46593385338783266,0.3986256420612335,12.672391319274903,1.4265399694442749,413.282421875,1738.1365648584238,1540.0268769574589,5382.35341835022
6jz9o5p4,RodentForwardModel_delay50_eff50_nodetach-20260813-070412,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-13T11:04:14Z,pgfm_2g,implicit,2g,2000000000,50,42,0.1,0.0,False,NVIDIA A100-SXM4-80GB,78634.958902534,2000076800.0,200,856.249365234375,0.7111101508140564,833.5184936523438,0.8484217882156372,820.9865966796875,0.9982007265090942,,,,,816.6229370117187,0.9997799754142761,0.5281851410865783,7.340645503997803,2.5020204067230223,285.821484375,809.1562829435669,744.376885995357,1656.3468222618103
2pk2qbb4,RodentForwardModel_delay20_eff20_nodetach-20260819-010920,emiwar-team/nnx-ppo-rodent-delays,running,afbeea09,2026-08-19T05:09:23Z,pgfm_4g,implicit,4g,4000000000,20,43,0.1,0.0,False,NVIDIA A100-SXM4-80GB,113085.197589325,2980003840.0,298,1293.5852783203125,0.4835438013076782,1517.9073486328125,0.4835066318511963,1688.8691650390624,0.47635584473609927,1713.4695068359374,0.497977077960968,,,1695.6488850911458,0.5181363523006439,0.40756431221961975,13.008498827616373,1.4346489707628887,409.7537434895833,,,
jhghg9vt,RodentForwardModel_delay20_eff20_nodetach-20260814-183946,emiwar-team/nnx-ppo-rodent-delays,crashed,13637960,2026-08-14T22:39:57Z,pgfm_4g,implicit,4g,4000000000,20,43,0.1,0.0,False,NVIDIA A100-SXM4-80GB,,,0,,,,,,,,,,,,,,,,,,,
4298lhzu,RodentForwardModel_delay30_eff30_nodetach-20260819-010613,emiwar-team/nnx-ppo-rodent-delays,finished,afbeea09,2026-08-19T05:06:24Z,pgfm_4g,implicit,4g,4000000000,30,43,0.1,0.0,False,NVIDIA H200,99387.599681565,4000071680.0,400,1001.4525512695312,0.5616879343986512,1168.3317626953126,0.5655741214752197,1442.1917236328125,0.5380916237831116,1464.2044677734375,0.6143692374229431,1525.8175048828125,0.6144821882247925,1523.6772705078124,0.6158567905426026,0.4199114203453064,12.7766695022583,1.551733946800232,387.0291015625,1563.6767848724774,1339.2604955187917,4262.052611351013
eaj28ijq,RodentForwardModel_delay40_eff40_nodetach-20260819-005044,emiwar-team/nnx-ppo-rodent-delays,finished,afbeea09,2026-08-19T04:50:58Z,pgfm_4g,implicit,4g,4000000000,40,43,0.1,0.0,False,NVIDIA H200,104803.272236077,4000071680.0,400,856.364697265625,0.5860304236412048,981.1218627929687,0.6693098425865174,938.0501708984375,0.7928608775138855,971.88076171875,1.0224392533302307,962.6967651367188,1.1474692106246949,958.6513793945312,1.148927140235901,0.49154149293899535,8.022770118713378,2.3768122673034666,312.1998046875,989.2878648664408,917.7154532889642,2038.947262763977
hrchcmls,RodentForwardModel_delay50_eff50_nodetach-20260818-223722,emiwar-team/nnx-ppo-rodent-delays,finished,afbeea09,2026-08-19T02:37:33Z,pgfm_4g,implicit,4g,4000000000,50,43,0.1,0.0,False,NVIDIA H200,106297.513931781,4000071680.0,400,834.9947143554688,0.6413547039031983,778.5527954101562,0.827307939529419,761.533837890625,1.0905186414718628,728.8382690429687,1.3092650890350341,767.4528442382813,1.690535807609558,765.7211059570312,1.691524291038513,0.5135847210884095,6.824784851074218,2.5347374439239503,275.2205078125,802.4532301450732,733.9781606098604,1625.7958970069883
efc0z8fe,RodentForwardModel_delay0_eff0_nodetach-20260812-072126,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-12T11:21:32Z,pgfm_600m,implicit,600m,600000000,0,42,0.1,0.0,False,NVIDIA A100-SXM4-80GB,21725.578526567,600064000.0,60,1997.3690673828125,0.4568964898586273,,,,,,,,,1997.271142578125,0.45767139792442324,0.2813268542289734,18.63266258239746,1.1528609991073608,446.053125,2167.109924565807,2131.067245573687,11186.551773071287
mwaeczx8,RodentForwardModel_delay1_eff1_nodetach-20260812-074056,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-12T11:40:58Z,pgfm_600m,implicit,600m,600000000,1,42,0.1,0.0,False,NVIDIA H200,14129.441195179,600064000.0,60,1987.83046875,0.4384976863861084,,,,,,,,,1988.2693359375,0.44265328645706176,0.29524812698364256,17.37440299987793,1.1672812461853028,446.1390625,2162.4178341643064,2139.3350281122875,10761.007209777832
jtjbb7u6,RodentForwardModel_delay2_eff2_nodetach-20260812-084447,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-12T12:44:50Z,pgfm_600m,implicit,600m,600000000,2,42,0.1,0.0,False,NVIDIA A100-SXM4-80GB,21921.94167804,600064000.0,60,1967.74111328125,0.43612266778945924,,,,,,,,,1968.44306640625,0.4410178422927856,0.30659321546554563,15.800004196166991,1.2002039670944213,444.783203125,2136.4657187157186,2120.740445289386,9499.412464141846
7qsntx62,RodentForwardModel_delay3_eff3_nodetach-20260812-091605,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-12T13:16:07Z,pgfm_600m,implicit,600m,600000000,3,42,0.1,0.0,False,NVIDIA A100-SXM4-80GB,22024.279182542,600064000.0,60,1947.4117431640625,0.444739955663681,,,,,,,,,1950.4782470703126,0.4465723693370819,0.32288783192634585,15.213583946228027,1.2353364944458007,443.8427734375,2120.838626583831,2107.35883489304,10881.298501968384
th9oxbti,RodentForwardModel_delay5_eff5_nodetach-20260812-092359,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-12T13:24:00Z,pgfm_600m,implicit,600m,600000000,5,42,0.1,0.0,False,NVIDIA A100-SXM4-80GB,22105.405323274,600064000.0,60,1921.9957763671875,0.4260018467903137,,,,,,,,,1921.2008056640625,0.4292984426021576,0.34779650568962095,14.202952003479004,1.2595380544662476,441.673828125,2081.95460170162,2045.3765915187855,9968.423469543455
cgs8q5gj,RodentForwardModel_delay10_eff10_nodetach-20260812-072521,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-12T11:25:23Z,pgfm_600m,implicit,600m,600000000,10,42,0.1,0.0,False,NVIDIA H200,13902.210468274,600064000.0,60,1757.350634765625,0.4614290058612823,,,,,,,,,1754.7867919921875,0.46117413640022276,0.4099273860454559,12.006044960021972,1.3636616945266724,420.2138671875,1828.0199242828503,1734.5487459622896,5764.910205364227
kwk401pl,RodentForwardModel_delay10_eff10_nodetach-20260812-100602,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-12T14:06:07Z,pgfm_600m,implicit,600m,600000000,10,42,0.1,0.0,False,NVIDIA A100-SXM4-80GB,22350.142762658,600064000.0,60,1768.4796142578125,0.4438968002796173,,,,,,,,,1774.40810546875,0.4423900544643402,0.4000455677509308,11.785300254821777,1.3549850940704347,424.55,1856.5338146102024,1760.4528844709228,6896.924999237061
8ghybcam,RodentForwardModel_delay15_eff15_nodetach-20260812-100615,emiwar-team/nnx-ppo-rodent-delays,crashed,25732c42,2026-08-12T14:06:16Z,pgfm_600m,implicit,600m,600000000,15,42,0.1,0.0,False,NVIDIA H200,,,0,,,,,,,,,,,,,,,,,,,
k4cwiv1u,RodentForwardModel_delay15_eff15_nodetach-20260813-060058,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-13T10:01:00Z,pgfm_600m,implicit,600m,600000000,15,42,0.1,0.0,False,NVIDIA A100-SXM4-80GB,22470.092540717,600064000.0,60,1580.0747314453124,0.44664726257324217,,,,,,,,,1585.68974609375,0.4448631286621093,0.42319486737251283,10.843924713134765,1.4639474630355835,398.373046875,1622.910509707492,1495.274394650431,3776.750174999237
yt776s6d,RodentForwardModel_delay20_eff20_nodetach-20260812-100615,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-12T14:06:16Z,pgfm_600m,implicit,600m,600000000,20,42,0.1,0.0,False,NVIDIA H200,14031.007045009,600064000.0,60,1391.119677734375,0.4761819958686829,,,,,,,,,1399.100537109375,0.4765657842159271,0.42816712260246276,10.15849723815918,1.5531833171844482,369.784765625,1417.4109522577205,1297.6101241704275,4133.366011619568
via4qt5i,RodentForwardModel_delay30_eff30_nodetach-20260812-100615,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-12T14:06:16Z,pgfm_600m,implicit,600m,600000000,30,42,0.1,0.0,False,NVIDIA H200,14065.840313096,600064000.0,60,1015.9781372070313,0.5637903690338135,,,,,,,,,1019.0110717773438,0.5623592615127564,0.4199538230895996,9.212803649902344,1.9513071060180665,303.697265625,1035.8069253952683,941.5117715237408,2249.472403526306
lxgp2zfn,RodentForwardModel_delay50_eff50_nodetach-20260812-100615,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-12T14:06:17Z,pgfm_600m,implicit,600m,600000000,50,42,0.1,0.0,False,NVIDIA H200,14225.160190405,600064000.0,60,882.1794799804687,0.6853016376495361,,,,,,,,,875.2533935546875,0.6931636333465576,0.4634233295917511,8.12850456237793,2.2787082195281982,286.723046875,847.4812830319908,800.3206477870602,1728.964783191681
