wandb_id,wandb_name,wandb_project,state,git_commit,tags,notes,env,delay_k,efference_length,seed,fm_loss_weight,detach_prediction,latent_size,kl_weight,body_target_frame,enc_hidden_sizes,dec_hidden_sizes,critic_hidden_sizes,episode_reward/mean,episode_reward/std,eval/episode_reward/mean,eval/episode_reward/std,net/3/action/1/fm_pred_mse/p25,net/3/action/1/fm_pred_mse/p50,net/3/action/1/fm_pred_mse/p75,eval/net/3/action/1/fm_pred_mse/mean,eval/net/3/action/1/fm_pred_mse/std,actual_step,condition,git_short,episode_reward_mean,fm_mse_p50,fm_mse_p25,fm_mse_p75,fm_mse_eval_mean
dunq9t5f,RodentForwardModel_delay5_eff5-20260622-091045,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay5,eff5,warp",Sweeping forward model loss weight.,AbsoluteImitation,5,5,42,0,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",823.8566284179688,622.5817260742188,,,0.5886634588241577,0.7094617486000061,0.9466198682785034,,,600064000,fm0_untrained,54643764,823.8566284179688,0.7094617486000061,0.5886634588241577,0.9466198682785034,
evvfdeav,RodentForwardModel_delay10_eff10-20260622-100244,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",Sweeping forward model loss weight.,AbsoluteImitation,10,10,42,0,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",784.6690673828125,584.071044921875,,,0.5913288593292236,0.736308753490448,0.966638445854187,,,600064000,fm0_untrained,54643764,784.6690673828125,0.736308753490448,0.5913288593292236,0.966638445854187,
8xa617so,RodentForwardModel_delay20_eff20-20260622-091043,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay20,eff20,warp",Sweeping forward model loss weight.,AbsoluteImitation,20,20,42,0,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",752.1478881835938,573.0020141601562,,,0.6295779943466187,0.7764142155647278,0.9965519309043884,,,600064000,fm0_untrained,54643764,752.1478881835938,0.7764142155647278,0.6295779943466187,0.9965519309043884,
ndmbbiw9,RodentForwardModel_delay50_eff50-20260622-091049,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay50,eff50,warp",Sweeping forward model loss weight.,AbsoluteImitation,50,50,42,0,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",676.13623046875,514.9046630859375,,,0.7061272859573364,0.866152822971344,1.1036604642868042,,,600064000,fm0_untrained,54643764,676.13623046875,0.866152822971344,0.7061272859573364,1.1036604642868042,
oof7uath,RodentForwardModel_delay0_eff0-20260619-032834,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay0,eff0,warp",Explicit forward model.,AbsoluteImitation,0,0,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1985.561767578125,137.70921325683594,,,0.0007228883914649487,0.0008330052951350808,0.0009797400562092662,,,600064000,forward_model,54643764,1985.561767578125,0.0008330052951350808,0.0007228883914649487,0.0009797400562092662,
n360ngyz,RodentForwardModel_delay1_eff1-20260619-032834,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay1,eff1,warp",Explicit forward model.,AbsoluteImitation,1,1,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1966.170654296875,165.7288360595703,,,0.04848138242959976,0.058523014187812805,0.07188663631677628,,,600064000,forward_model,54643764,1966.170654296875,0.058523014187812805,0.04848138242959976,0.07188663631677628,
cux09djh,RodentForwardModel_delay2_eff2-20260619-033003,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay2,eff2,warp",Explicit forward model.,AbsoluteImitation,2,2,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1944.8040771484375,197.5319671630859,,,0.015406942926347256,0.021720141172409058,0.03199681267142296,,,600064000,forward_model,54643764,1944.8040771484375,0.021720141172409058,0.015406942926347256,0.03199681267142296,
7mbhtcl1,RodentForwardModel_delay3_eff3-20260619-033153,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay3,eff3,warp",Explicit forward model.,AbsoluteImitation,3,3,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1921.68408203125,215.3975372314453,,,0.01856139861047268,0.025907550007104874,0.037947654724121094,,,600064000,forward_model,54643764,1921.68408203125,0.025907550007104874,0.01856139861047268,0.037947654724121094,
0v244yas,RodentForwardModel_delay4_eff4-20260619-033209,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay4,eff4,warp",Explicit forward model.,AbsoluteImitation,4,4,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1829.670166015625,358.48358154296875,,,0.02000150829553604,0.028205547481775284,0.04242192208766937,,,600064000,forward_model,54643764,1829.670166015625,0.028205547481775284,0.02000150829553604,0.04242192208766937,
nuqt0890,RodentForwardModel_delay5_eff5-20260619-033243,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay5,eff5,warp",Explicit forward model.,AbsoluteImitation,5,5,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1902.5728759765625,229.8212890625,,,0.023664899170398712,0.03255729377269745,0.04675251990556717,,,600064000,forward_model,54643764,1902.5728759765625,0.03255729377269745,0.023664899170398712,0.04675251990556717,
oeb11ok2,RodentForwardModel_delay6_eff6-20260619-033349,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay6,eff6,warp",Explicit forward model.,AbsoluteImitation,6,6,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1899.109619140625,238.67958068847656,,,0.02874504216015339,0.03854169324040413,0.05454377084970474,,,600064000,forward_model,54643764,1899.109619140625,0.03854169324040413,0.02874504216015339,0.05454377084970474,
dcgsgytz,RodentForwardModel_delay7_eff7-20260619-033456,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay7,eff7,warp",Explicit forward model.,AbsoluteImitation,7,7,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1899.5849609375,231.030517578125,,,0.024396823719143867,0.0337916798889637,0.050258684903383255,,,600064000,forward_model,54643764,1899.5849609375,0.0337916798889637,0.024396823719143867,0.050258684903383255,
4spnzcd6,RodentForwardModel_delay8_eff8-20260619-033515,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay8,eff8,warp",Explicit forward model.,AbsoluteImitation,8,8,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1856.89404296875,286.3036193847656,,,0.02602822706103325,0.03609912842512131,0.05397145450115204,,,600064000,forward_model,54643764,1856.89404296875,0.03609912842512131,0.02602822706103325,0.05397145450115204,
3h12kbno,RodentForwardModel_delay9_eff9-20260619-033655,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay9,eff9,warp",Explicit forward model.,AbsoluteImitation,9,9,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1875.90234375,255.567626953125,,,0.026623019948601723,0.03766972944140434,0.05685844272375107,,,600064000,forward_model,54643764,1875.90234375,0.03766972944140434,0.026623019948601723,0.05685844272375107,
6rp2ntz7,RodentForwardModel_delay10_eff10-20260619-033822,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",Explicit forward model.,AbsoluteImitation,10,10,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1856.0142822265625,281.79296875,,,0.02708212286233902,0.038318708539009094,0.05873704701662064,,,600064000,forward_model,54643764,1856.0142822265625,0.038318708539009094,0.02708212286233902,0.05873704701662064,
lwf9q634,RodentForwardModel_delay12_eff12-20260619-033905,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay12,eff12,warp",Explicit forward model.,AbsoluteImitation,12,12,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1739.9691162109375,447.7511291503906,,,0.030019178986549377,0.0426069051027298,0.06618064641952515,,,600064000,forward_model,54643764,1739.9691162109375,0.0426069051027298,0.030019178986549377,0.06618064641952515,
oelpm5vy,RodentForwardModel_delay15_eff15-20260619-034343,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay15,eff15,warp",Explicit forward model.,AbsoluteImitation,15,15,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1665.438720703125,504.8869018554687,,,0.03344796597957611,0.047403484582901,0.07358338683843613,,,600064000,forward_model,54643764,1665.438720703125,0.047403484582901,0.03344796597957611,0.07358338683843613,
bge1cw3s,RodentForwardModel_delay20_eff20-20260619-034701,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay20,eff20,warp",Explicit forward model.,AbsoluteImitation,20,20,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1587.1820068359375,555.6929931640625,,,0.040282242000103,0.05659873411059379,0.08796857297420502,,,600064000,forward_model,54643764,1587.1820068359375,0.05659873411059379,0.040282242000103,0.08796857297420502,
7wqiu7d3,RodentForwardModel_delay25_eff25-20260619-035219,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay25,eff25,warp",Explicit forward model.,AbsoluteImitation,25,25,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1559.510498046875,553.2080078125,,,0.04118765518069267,0.05961126089096069,0.09655910730361938,,,600064000,forward_model,54643764,1559.510498046875,0.05961126089096069,0.04118765518069267,0.09655910730361938,
g6mz0mci,RodentForwardModel_delay30_eff30-20260619-035534,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay30,eff30,warp",Explicit forward model.,AbsoluteImitation,30,30,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1501.1363525390625,579.9451904296875,,,0.04951825365424156,0.07375700771808624,0.11948148161172868,,,600064000,forward_model,54643764,1501.1363525390625,0.07375700771808624,0.04951825365424156,0.11948148161172868,
1j36ffre,RodentForwardModel_delay40_eff40-20260619-035659,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay40,eff40,warp",Explicit forward model.,AbsoluteImitation,40,40,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1444.188720703125,560.1549072265625,,,0.05462346225976944,0.08158190548419952,0.12950895726680756,,,600064000,forward_model,54643764,1444.188720703125,0.08158190548419952,0.05462346225976944,0.12950895726680756,
29h53tbw,RodentForwardModel_delay50_eff50-20260619-040449,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay50,eff50,warp",Explicit forward model.,AbsoluteImitation,50,50,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1345.9512939453125,589.0496826171875,,,0.06121931970119476,0.09267140924930573,0.14372089505195618,,,600064000,forward_model,54643764,1345.9512939453125,0.09267140924930573,0.06121931970119476,0.14372089505195618,
rmeykqfj,RodentForwardModel_delay60_eff60-20260619-040528,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay60,eff60,warp",Explicit forward model.,AbsoluteImitation,60,60,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1293.4940185546875,588.5738525390625,,,0.06890843063592911,0.0985732227563858,0.14623597264289856,,,600064000,forward_model,54643764,1293.4940185546875,0.0985732227563858,0.06890843063592911,0.14623597264289856,
5chxtk59,RodentForwardModel_delay70_eff70-20260619-040722,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay70,eff70,warp",Explicit forward model.,AbsoluteImitation,70,70,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1196.955810546875,577.099853515625,,,0.07304812967777252,0.1043361872434616,0.1538069099187851,,,600064000,forward_model,54643764,1196.955810546875,0.1043361872434616,0.07304812967777252,0.1538069099187851,
3wnn9itz,RodentForwardModel_delay80_eff80-20260619-040733,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay80,eff80,warp",Explicit forward model.,AbsoluteImitation,80,80,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1211.232666015625,572.9645385742188,,,0.07654685527086258,0.10870305448770524,0.15873390436172485,,,600064000,forward_model,54643764,1211.232666015625,0.10870305448770524,0.07654685527086258,0.15873390436172485,
zu36pzzv,RodentForwardModel_delay90_eff90-20260619-041422,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay90,eff90,warp",Explicit forward model.,AbsoluteImitation,90,90,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1163.7845458984375,552.7642822265625,,,0.08642837405204773,0.12190389633178712,0.17884473502635956,,,600064000,forward_model,54643764,1163.7845458984375,0.12190389633178712,0.08642837405204773,0.17884473502635956,
4dgvazws,RodentForwardModel_delay100_eff100-20260619-041703,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay100,eff100,warp",Explicit forward model.,AbsoluteImitation,100,100,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1126.962646484375,545.8890991210938,,,0.08919724076986313,0.12489058077335358,0.18137061595916748,,,600064000,forward_model,54643764,1126.962646484375,0.12489058077335358,0.08919724076986313,0.18137061595916748,
q17o8qo6,RodentForwardModel_delay0_eff0-20260630-054837,nnx-ppo-rodent-delays,finished,d4bd4dc071e4a1385f358ea8916d60fd912a86fa,"ForwardModel,MLP,TrainEvalSplit,delay0,eff0,warp",Trying new version of nnx-ppo [git 4ed1f36].,AbsoluteImitation,0,0,42,1,True,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,,1967.981201171875,164.72007751464844,0.007333130575716496,0.008182032965123653,0.009245716035366058,0.00030578309088014066,0.00011335097951814532,600064000,forward_model_nnxupdate,d4bd4dc0,1967.981201171875,0.008182032965123653,0.007333130575716496,0.009245716035366058,0.00030578309088014066
9w0s13ga,RodentForwardModel_delay5_eff5-20260630-054837,nnx-ppo-rodent-delays,finished,d4bd4dc071e4a1385f358ea8916d60fd912a86fa,"ForwardModel,MLP,TrainEvalSplit,delay5,eff5,warp",Trying new version of nnx-ppo [git 4ed1f36].,AbsoluteImitation,5,5,42,1,True,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,,1902.705078125,253.4889678955078,0.02160438895225525,0.030432671308517456,0.04546712711453438,0.015698185190558434,0.017540128901600838,600064000,forward_model_nnxupdate,d4bd4dc0,1902.705078125,0.030432671308517456,0.02160438895225525,0.04546712711453438,0.015698185190558434
