wandb_id,wandb_name,wandb_project,state,git_commit,tags,notes,env,delay_k,efference_length,fm_loss_weight,latent_size,kl_weight,body_target_frame,enc_hidden_sizes,dec_hidden_sizes,critic_hidden_sizes,fm_hidden_sizes,n_envs,total_steps,episode_reward/mean,episode_reward/std,fm_pred_mse_p25,fm_pred_mse,fm_pred_mse_p75,actual_step,condition,fm_trained
oof7uath,RodentForwardModel_delay0_eff0-20260619-032834,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay0,eff0,warp",Explicit forward model.,AbsoluteImitation,0,0,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1985.561767578125,137.70921325683594,0.0007228883914649487,0.0008330052951350808,0.0009797400562092662,600064000,forward_model,True
n360ngyz,RodentForwardModel_delay1_eff1-20260619-032834,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay1,eff1,warp",Explicit forward model.,AbsoluteImitation,1,1,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1966.170654296875,165.7288360595703,0.04848138242959976,0.058523014187812805,0.07188663631677628,600064000,forward_model,True
cux09djh,RodentForwardModel_delay2_eff2-20260619-033003,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay2,eff2,warp",Explicit forward model.,AbsoluteImitation,2,2,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1944.8040771484375,197.5319671630859,0.015406942926347256,0.021720141172409058,0.03199681267142296,600064000,forward_model,True
7mbhtcl1,RodentForwardModel_delay3_eff3-20260619-033153,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay3,eff3,warp",Explicit forward model.,AbsoluteImitation,3,3,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1921.68408203125,215.3975372314453,0.01856139861047268,0.025907550007104874,0.037947654724121094,600064000,forward_model,True
0v244yas,RodentForwardModel_delay4_eff4-20260619-033209,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay4,eff4,warp",Explicit forward model.,AbsoluteImitation,4,4,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1829.670166015625,358.48358154296875,0.02000150829553604,0.028205547481775284,0.04242192208766937,600064000,forward_model,True
dunq9t5f,RodentForwardModel_delay5_eff5-20260622-091045,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay5,eff5,warp",Sweeping forward model loss weight.,AbsoluteImitation,5,5,0.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,823.8566284179688,622.5817260742188,0.5886634588241577,0.7094617486000061,0.9466198682785034,600064000,forward_model,False
nuqt0890,RodentForwardModel_delay5_eff5-20260619-033243,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay5,eff5,warp",Explicit forward model.,AbsoluteImitation,5,5,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1902.5728759765625,229.8212890625,0.023664899170398712,0.03255729377269745,0.04675251990556717,600064000,forward_model,True
oeb11ok2,RodentForwardModel_delay6_eff6-20260619-033349,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay6,eff6,warp",Explicit forward model.,AbsoluteImitation,6,6,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1899.109619140625,238.67958068847656,0.02874504216015339,0.03854169324040413,0.05454377084970474,600064000,forward_model,True
dcgsgytz,RodentForwardModel_delay7_eff7-20260619-033456,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay7,eff7,warp",Explicit forward model.,AbsoluteImitation,7,7,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1899.5849609375,231.030517578125,0.024396823719143867,0.0337916798889637,0.050258684903383255,600064000,forward_model,True
4spnzcd6,RodentForwardModel_delay8_eff8-20260619-033515,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay8,eff8,warp",Explicit forward model.,AbsoluteImitation,8,8,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1856.89404296875,286.3036193847656,0.02602822706103325,0.03609912842512131,0.05397145450115204,600064000,forward_model,True
3h12kbno,RodentForwardModel_delay9_eff9-20260619-033655,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay9,eff9,warp",Explicit forward model.,AbsoluteImitation,9,9,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1875.90234375,255.567626953125,0.026623019948601723,0.03766972944140434,0.05685844272375107,600064000,forward_model,True
evvfdeav,RodentForwardModel_delay10_eff10-20260622-100244,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",Sweeping forward model loss weight.,AbsoluteImitation,10,10,0.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,784.6690673828125,584.071044921875,0.5913288593292236,0.736308753490448,0.966638445854187,600064000,forward_model,False
