wandb_id,wandb_name,wandb_project,git_commit,condition,delay_k,efference_length,seed,detach_prediction,body_target_frame,latent_size,kl_weight,enc_hidden_sizes,dec_hidden_sizes,critic_hidden_sizes,clip_length_train,ctrl_dt,mocap_hz,checkpoint_step,network_class,fm_loss_weight,total_params,decoder_params,fm_pred_mse,dataset,n_clips,clip_frames,rollout_steps,episode_reward_mean,episode_reward_std,lifespan_steps,lifespan_s,survival_frac,reward_per_step,survived,hazard_rate,term_root_too_far,term_root_too_rotated,term_pose_error,term_nan_termination,err_root_pos_m,err_root_angular_deg,err_joint_l2,err_joint_vel_l2,err_body_total_m,err_body_end_eff_m,rt_root_pos,rtps_root_pos,rt_root_quat,rtps_root_quat,rt_joints,rtps_joints,rt_end_eff,rtps_end_eff,rt_torso_z_range,rtps_torso_z_range,rt_control_cost,rtps_control_cost,rt_control_diff_cost,rtps_control_diff_cost,rt_energy_cost,rtps_energy_cost
2f08y5is,RodentEncDec_delay0_eff0-20260624-070620,emiwar-team/nnx-ppo-rodent-delays,f315e336,efference,0,0,42,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4125325,985676,,new_eval,32,1500,3002,11567.310079574585,3315.134152474665,2673.03125,26.730312500000004,0.8904168054630246,4.3274129621846305,0.75,0.009352677788559336,0.09375,0.15625,0.0,0.0,0.007186416007425304,3.624235889935221,1.2371602335905028,12.394874884255895,0.050466447115945584,0.026177632676782706,2612.9044461250305,0.9775061350760603,2623.688492298126,0.9815405234406168,1794.068106174469,0.6711736371112268,1991.752408027649,0.7451287402747906,2640.8125,0.9879467364999942,-56.39843460917473,-0.021099055467149786,-22.18867401778698,-0.008300940745749597,-17.32825441658497,-0.006482623207859979
734woltb,RodentEncDec_delay0_eff0-20260612-065718,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,efference,0,0,42,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4125325,985676,,new_eval,32,1500,3002,11294.536016464233,3633.295214824192,2616.03125,26.160312500000003,0.8714294636908727,4.317431611898456,0.78125,0.008361903169161302,0.09375,0.09375,0.03125,0.0,0.006689318715942154,3.3458117285170044,1.2768986337248456,12.427550858857124,0.050351130745995495,0.026166561612200438,2564.1944246292114,0.9801849364869825,2572.660418510437,0.9834211340214063,1716.6041049957275,0.6561863911204148,1912.6738848686218,0.7311357174607994,2616.625,1.0002269659431628,-52.23979902267456,-0.019969103588756656,-19.71032164990902,-0.007534436620322872,-16.27118842303753,-0.00621979895042826
cwuwoywj,RodentEncDec_delay0_eff0-20260624-070609,emiwar-team/nnx-ppo-rodent-delays,f315e336,efference,0,0,42,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4125325,985676,,new_eval,32,1500,3002,9903.035623550415,4201.428254532646,2351.65625,23.5165625,0.7833631745502998,4.211089789823838,0.5625,0.01860390947869188,0.34375,0.09375,0.0,0.0,0.00885708865829394,4.214250392736866,1.265412435575998,12.339839568725782,0.06388012618882896,0.03309696153876946,2261.941427707672,0.9618503672497509,2287.8662362098694,0.9728744310355177,1534.2628030776978,0.6524179726852927,1604.9958989620209,0.6824959638391116,2293.875,0.9754295509813562,-47.68644204735756,-0.020277811456226886,-17.97016967833042,-0.007641495085997548,-14.249447755515575,-0.006059324255199107
o49pypx0,RodentEncDec_delay0_eff0-20260624-070654,emiwar-team/nnx-ppo-rodent-delays,f315e336,efference,0,0,42,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4125325,985676,,new_eval,32,1500,3002,12120.345222473145,3456.2039421601307,2709.4375,27.094375,0.9025441372418388,4.473380626965245,0.84375,0.005766879656755323,0.0,0.15625,0.0,0.0,0.006926837466762072,3.0960981152768206,1.1572596987624664,12.507954251181411,0.04023192271212721,0.018320531355724114,2643.521273612976,0.97567161951991,2670.268301010132,0.9855434203631314,1905.7724785804749,0.7033830743763142,2295.7896823883057,0.8473307401954485,2710.03125,1.0002191414269568,-61.673557221889496,-0.02276249488016959,-24.444078624248505,-0.009021827823763606,-18.922481313347816,-0.006983915042641809
qcuvik0b,RodentEncDec_delay0_eff0-20260610-094842,emiwar-team/nnx-ppo-rodent-delays,5ae9fa48,efference,0,0,42,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4125325,985676,,new_eval,32,1500,3002,10087.617687225342,4025.5987884000874,2354.4375,23.544375000000002,0.7842896402398402,4.284512834689959,0.5,0.02123649491651403,0.28125,0.21875,0.0,0.0,0.0076659959942007435,4.427252053391506,1.2806111224212606,12.599710369317597,0.063448063821913,0.03226073374489767,2285.511823654175,0.9707252044932918,2286.154938220978,0.9709983544778648,1542.6861882209778,0.655224947878624,1718.3926768302917,0.7298527469216285,2337.09375,0.9926335908258342,-47.37221433222294,-0.02012039577700531,-19.066988743841648,-0.008098320190636468,-15.783025324344635,-0.00670352274135314
tpu71gzv,RodentEncDec_delay0_eff0-20260626-065828,emiwar-team/nnx-ppo-rodent-delays,714cc735,efference,0,0,42,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4125325,985676,,new_eval,32,1500,3002,10717.223724365234,3954.363796481776,2505.5,25.055,0.8346102598267822,4.277479035867186,0.6875,0.012472560367192177,0.125,0.1875,0.0,0.0,0.008623629201115134,3.883910900293889,1.2556822293125143,12.75979813791418,0.05344706147943632,0.02791577827016503,2423.1886682510376,0.9671477422674267,2452.5294494628906,0.97885829154376,1655.4449281692505,0.6607243776368991,1796.368978023529,0.7169702566447931,2477.09375,0.9886624426262223,-52.48230813443661,-0.020946840205322934,-18.555650636553764,-0.007405967126942233,-16.366087205708027,-0.0065320643407335965
ukzi7fjb,RodentEncDec_delay0_eff0-20260611-103104,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,efference,0,0,42,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4125325,985676,,new_eval,32,1500,3002,11707.124565124512,3173.3154889253606,2739.40625,27.3940625,0.9125270652898068,4.273599275435877,0.875,0.004563032591460284,0.125,0.0,0.0,0.0,0.00939565188823796,4.33994153233477,1.3100375651590297,12.649405383866423,0.05778645586086128,0.03075222992964439,2647.391857624054,0.9664108262964115,2673.9491577148438,0.9761053723648487,1784.6635746955872,0.6514782444902384,1966.0268211364746,0.7176835568424634,2735.78125,0.9986767205484766,-57.941168546676636,-0.02115099523726232,-24.10240562260151,-0.008798404991082105,-18.644575655460358,-0.006806064509585008
w5n66g34,RodentEncDec_delay0_eff0-20260610-101953,emiwar-team/nnx-ppo-rodent-delays,5ae9fa48,efference,0,0,42,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4125325,985676,,new_eval,32,1500,3002,11843.522026062012,3361.4824160826197,2711.65625,27.1165625,0.9032832278481012,4.367633997141788,0.84375,0.00576216104087677,0.125,0.03125,0.0,0.0,0.007108183053139023,2.9948733523445483,1.2479258734100718,12.295398298545889,0.04627758141572469,0.02254936063676988,2649.7242155075073,0.9771608091945678,2675.318615436554,0.9865994686592572,1806.6202235221863,0.666242346728936,2121.9758014678955,0.7825386427457004,2683.65625,0.9896742074147489,-56.648992121219635,-0.02089091938597292,-19.85316501557827,-0.007321416575415217,-17.270772524178028,-0.00636908624541847
2f08y5is,RodentEncDec_delay0_eff0-20260624-070620,emiwar-team/nnx-ppo-rodent-delays,f315e336,efference,0,0,42,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4125325,985676,,old_eval,169,250,502,2137.3483265532545,150.55927682104155,485.14792899408286,4.851479289940828,0.9664301374384121,4.405560033998048,0.9822485207100592,0.003658982802780822,0.011834319526627219,0.005917159763313609,0.0,0.0,0.006748673040598911,2.6617435763520074,1.2409103051939063,37.44182528094208,0.04387081667764425,0.021282706527353017,474.8363962568475,0.9787455905282012,480.5088578624838,0.9904378214265125,327.08373671311597,0.6741938224724552,388.6914663822693,0.8011813369752837,486.07100591715977,1.001902671057446,-10.156054567303178,-0.02093393367330451,-4.538842686534633,-0.009355584998467533,-5.148209502005718,-0.010611628318562829
734woltb,RodentEncDec_delay0_eff0-20260612-065718,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,efference,0,0,42,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4125325,985676,,old_eval,169,250,502,2155.8344907139885,107.28473698263224,487.55029585798815,4.875502958579882,0.9712157288007732,4.42176839810991,0.9881656804733728,0.002427302296227962,0.005917159763313609,0.005917159763313609,0.0,0.0,0.006197994007755253,2.689794375383798,1.2333044364221335,37.41608419117779,0.04207513631912295,0.02047800666230404,479.21257533688515,0.9828987478995775,482.63852109288325,0.9899256039698198,330.1766702324681,0.6772156083946685,395.84854008601263,0.8119132394113323,488.4378698224852,1.001820476722171,-10.361954993750217,-0.02125309959153098,-4.70407436162057,-0.009648387872152489,-5.413691300612229,-0.011103862199663415
