condition,wandb_id,mode,dataset,level,behaviour,n_clips,episode_reward_mean,lifespan_s_mean,reward_per_step_mean,survived_mean,err_root_pos_m_mean,err_root_angular_deg_mean,err_joint_l2_mean,err_joint_vel_l2_mean,err_body_total_m_mean,err_body_end_eff_m_mean,rtps_root_pos_mean,rtps_root_quat_mean,rtps_joints_mean,rtps_joints_vel_mean,rtps_bodies_pos_mean,rtps_end_eff_mean,rtps_torso_z_range_mean,rtps_control_cost_mean,rtps_control_diff_cost_mean,rtps_energy_cost_mean,episode_reward_median,episode_reward_sd,episode_reward_sem,hazard_rate,frac_root_too_far,frac_root_too_rotated,frac_pose_error,frac_nan_termination,frac_survived
pos_intact,16jfo5vu,position,new_eval,all,all,32,11123.532951,26.417188,4.19052,0.78125,0.006556,3.125278,1.327784,12.712132,0.049662,0.027061,0.96955,0.976656,0.639117,0.0,0.0,0.738137,1.000556,-0.12098,-0.006041,-0.006474,12583.862793,3310.30299,585.184423,0.008281,0.1875,0.03125,0.0,0.0,0.78125
pos_intact,16jfo5vu,position,new_eval,behaviour,Amble,8,11752.726562,27.54875,4.26791,0.75,0.005395,2.644625,1.288432,14.538703,0.04406,0.023417,0.981072,0.985689,0.654806,0.0,0.0,0.777538,1.000373,-0.121501,-0.004444,-0.005621,12650.388184,1832.366827,647.839505,0.009075,0.25,0.0,0.0,0.0,0.75
pos_intact,16jfo5vu,position,new_eval,behaviour,ProneSlow,1,12505.118164,29.89,4.183713,1.0,0.005831,1.659877,1.411118,9.943254,0.041872,0.024749,0.984194,0.996298,0.602148,0.0,0.0,0.735249,1.000335,-0.125567,-0.004022,-0.004918,12505.118164,,,0.0,0.0,0.0,0.0,0.0,1.0
pos_intact,16jfo5vu,position,new_eval,behaviour,ProneSniff,18,11288.763509,26.867778,4.186255,0.833333,0.006606,3.311091,1.328126,11.65616,0.051151,0.027896,0.967185,0.974032,0.639198,0.0,0.0,0.735466,1.000538,-0.118245,-0.005853,-0.006068,12617.749023,3392.316602,799.576691,0.006203,0.111111,0.055556,0.0,0.0,0.833333
pos_intact,16jfo5vu,position,new_eval,behaviour,RearHigh,3,7136.916911,17.223333,4.038027,0.333333,0.010355,4.684344,1.31862,16.178452,0.061885,0.03322,0.936341,0.949387,0.645601,0.0,0.0,0.666411,1.001369,-0.135209,-0.013302,-0.012569,7837.138184,5654.690168,3264.736891,0.038707,0.666667,0.0,0.0,0.0,0.333333
pos_intact,16jfo5vu,position,new_eval,behaviour,Walk,2,12408.814941,29.89,4.151494,1.0,0.005417,1.769667,1.454197,11.094563,0.044224,0.026045,0.987245,0.995216,0.584379,0.0,0.0,0.713598,1.000335,-0.119872,-0.00424,-0.005167,12408.814941,252.910137,178.834473,0.0,0.0,0.0,0.0,0.0,1.0
pos_intact,16jfo5vu,position,new_eval,coarse,locomote,10,11883.944238,28.017,4.244627,0.8,0.0054,2.469634,1.321585,13.849875,0.044093,0.023942,0.982307,0.987594,0.640721,0.0,0.0,0.76475,1.000365,-0.121175,-0.004404,-0.005531,12584.492188,1641.667987,519.141,0.007139,0.2,0.0,0.0,0.0,0.8
pos_intact,16jfo5vu,position,new_eval,coarse,rear,3,7136.916911,17.223333,4.038027,0.333333,0.010355,4.684344,1.31862,16.178452,0.061885,0.03322,0.936341,0.949387,0.645601,0.0,0.0,0.666411,1.001369,-0.135209,-0.013302,-0.012569,7837.138184,5654.690168,3264.736891,0.038707,0.666667,0.0,0.0,0.0,0.333333
pos_intact,16jfo5vu,position,new_eval,coarse,still,19,11352.782175,27.026842,4.186121,0.842105,0.006565,3.224185,1.332494,11.566007,0.050663,0.027731,0.96808,0.975204,0.637248,0.0,0.0,0.735455,1.000528,-0.118631,-0.005756,-0.006007,12607.853516,3308.528139,759.028411,0.005842,0.105263,0.052632,0.0,0.0,0.842105
pos_intact,16jfo5vu,position,old_eval,all,all,169,2113.615526,4.889172,4.32296,0.994083,0.005889,2.548993,1.320115,37.946743,0.037281,0.017953,0.982021,0.989633,0.642768,0.0,0.0,0.84764,1.002045,-0.122757,-0.006913,-0.011478,2124.928711,92.820773,7.140059,0.00121,0.0,0.005917,0.0,0.0,0.994083
pos_intact,16jfo5vu,position,old_eval,behaviour,FaceGroom,27,2123.245511,4.89,4.342015,1.0,0.005711,2.189265,1.362631,31.492547,0.034718,0.016864,0.986547,0.994571,0.624665,0.0,0.0,0.866851,1.002045,-0.120688,-0.005209,-0.006768,2124.449951,52.955243,10.191241,0.0,0.0,0.0,0.0,0.0,1.0
pos_intact,16jfo5vu,position,old_eval,behaviour,FastWalk,37,2128.434907,4.89,4.352628,1.0,0.006088,2.368009,1.211727,50.055997,0.03882,0.018702,0.981354,0.992211,0.688324,0.0,0.0,0.83579,1.002045,-0.121085,-0.008986,-0.017026,2133.445068,49.621815,8.157776,0.0,0.0,0.0,0.0,0.0,1.0
pos_intact,16jfo5vu,position,old_eval,behaviour,LGroom,17,2071.88073,4.881765,4.243313,0.941176,0.005648,2.724398,1.429795,33.706815,0.042122,0.020221,0.983013,0.988842,0.597124,0.0,0.0,0.816367,1.002049,-0.126792,-0.007146,-0.010143,2071.761475,97.641202,23.68147,0.01205,0.0,0.058824,0.0,0.0,0.941176
pos_intact,16jfo5vu,position,old_eval,behaviour,RGroom,20,2054.48056,4.89,4.201392,1.0,0.007837,3.632083,1.41525,31.180708,0.042411,0.020013,0.956583,0.9683,0.603097,0.0,0.0,0.816074,1.002045,-0.129974,-0.00579,-0.008944,2081.030151,211.4636,47.284698,0.0,0.0,0.0,0.0,0.0,1.0
pos_intact,16jfo5vu,position,old_eval,behaviour,Rear,35,2095.75535,4.89,4.285798,1.0,0.005944,2.730468,1.400885,33.349821,0.036902,0.018159,0.98514,0.990858,0.608891,0.0,0.0,0.844231,1.002045,-0.127742,-0.006514,-0.01111,2102.219238,36.626908,6.191078,0.0,0.0,0.0,0.0,0.0,1.0
pos_intact,16jfo5vu,position,old_eval,behaviour,Walk,33,2165.402507,4.89,4.428226,1.0,0.0047,2.106986,1.207032,40.810762,0.03245,0.015367,0.990664,0.994741,0.689987,0.0,0.0,0.884063,1.002045,-0.114584,-0.006967,-0.011723,2163.162109,29.719263,5.17346,0.0,0.0,0.0,0.0,0.0,1.0
pos_intact,16jfo5vu,position,old_eval,coarse,groom,64,2088.112694,4.887812,4.271853,0.984375,0.006358,2.78229,1.396915,31.983262,0.039089,0.018739,0.976245,0.984839,0.61061,0.0,0.0,0.837573,1.002046,-0.125211,-0.005905,-0.008344,2116.47229,134.252771,16.781596,0.003197,0.0,0.015625,0.0,0.0,0.984375
pos_intact,16jfo5vu,position,old_eval,coarse,locomote,70,2145.86249,4.89,4.388267,1.0,0.005434,2.244955,1.209514,45.697529,0.035817,0.01713,0.985743,0.993404,0.689108,0.0,0.0,0.858547,1.002045,-0.11802,-0.008034,-0.014526,2154.959717,45.163898,5.398118,0.0,0.0,0.0,0.0,0.0,1.0
pos_intact,16jfo5vu,position,old_eval,coarse,rear,35,2095.75535,4.89,4.285798,1.0,0.005944,2.730468,1.400885,33.349821,0.036902,0.018159,0.98514,0.990858,0.608891,0.0,0.0,0.844231,1.002045,-0.127742,-0.006514,-0.01111,2102.219238,36.626908,6.191078,0.0,0.0,0.0,0.0,0.0,1.0
pos_intact,16jfo5vu,position,train,all,all,673,2116.54284,4.867474,4.340579,0.992571,0.006113,2.741264,1.284448,37.265334,0.037894,0.017972,0.978924,0.982882,0.657902,0.0,0.0,0.860707,1.002071,-0.123575,-0.006865,-0.011467,2144.981689,193.166429,7.446019,0.001526,0.004458,0.002972,0.0,0.0,0.992571
