condition,wandb_id,mode,dataset,behaviour,coarse,alive_steps,alive_s,reward_per_step,n_terminations,hazard_per_s,rtps_root_pos,rtps_root_quat,rtps_joints,rtps_joints_vel,rtps_bodies_pos,rtps_end_eff,rtps_torso_z_range,rtps_control_cost,rtps_control_diff_cost,rtps_energy_cost,err_root_pos_m,err_root_angular_deg,err_joint_l2,err_joint_vel_l2,err_body_total_m,err_body_end_eff_m
pos_intact,16jfo5vu,position,new_eval,Amble,locomote,17097,170.97,4.261467,2,0.011698,0.984505,0.986891,0.658948,0.0,0.0,0.758548,1.0,-0.116775,-0.004962,-0.005689,0.005097,2.522405,1.278081,13.727335,0.043106,0.023911
pos_intact,16jfo5vu,position,new_eval,AmbleGroom,groom,477,4.77,4.241269,0,0.0,0.988968,0.99055,0.651093,0.0,0.0,0.74902,1.0,-0.122638,-0.00646,-0.009264,0.004712,2.272204,1.296583,19.811157,0.043195,0.024068
pos_intact,16jfo5vu,position,new_eval,FaceGroom,groom,983,9.83,4.237396,0,0.0,0.984053,0.985365,0.659563,0.0,0.0,0.736864,1.0,-0.11686,-0.004939,-0.006649,0.005701,3.050084,1.276237,13.385426,0.045664,0.024647
pos_intact,16jfo5vu,position,new_eval,ProneSlow,still,9250,92.5,4.234913,1,0.010811,0.983051,0.989357,0.63452,0.0,0.0,0.75475,0.999568,-0.119327,-0.003834,-0.003171,0.004965,2.162513,1.337605,6.964556,0.043098,0.024573
pos_intact,16jfo5vu,position,new_eval,ProneSniff,still,23577,235.77,4.292387,0,0.0,0.988445,0.987761,0.664713,0.0,0.0,0.772742,1.0,-0.114381,-0.003608,-0.003285,0.004653,2.603257,1.263845,7.06805,0.041026,0.022577
pos_intact,16jfo5vu,position,new_eval,ProneStill,still,4999,49.99,4.209006,0,0.0,0.989469,0.99118,0.617446,0.0,0.0,0.735969,1.0,-0.120057,-0.002922,-0.002078,0.004756,2.01366,1.375377,4.101633,0.042022,0.024552
pos_intact,16jfo5vu,position,new_eval,RearDown,rear,864,8.64,4.006447,0,0.0,0.922464,0.963417,0.620049,0.0,0.0,0.647576,1.0,-0.127527,-0.00785,-0.011681,0.011417,4.244594,1.368767,27.19912,0.066923,0.035155
pos_intact,16jfo5vu,position,new_eval,RearHigh,rear,6163,61.63,3.914201,2,0.032452,0.910238,0.970769,0.579096,0.0,0.0,0.622586,1.0,-0.150806,-0.006451,-0.011231,0.012489,3.946674,1.465313,16.279457,0.07053,0.037677
pos_intact,16jfo5vu,position,new_eval,RearLow,rear,1025,10.25,3.664382,1,0.097561,0.87521,0.879447,0.44623,0.0,0.0,0.608993,1.0,-0.133839,-0.005,-0.006657,0.014045,8.225222,1.783808,9.269021,0.114079,0.056901
pos_intact,16jfo5vu,position,new_eval,RearMid,rear,3323,33.23,3.819122,0,0.0,0.915553,0.904672,0.517513,0.0,0.0,0.621074,1.0,-0.125498,-0.005551,-0.008639,0.011953,6.925365,1.612376,15.432779,0.094454,0.048495
pos_intact,16jfo5vu,position,new_eval,RearSniff,rear,396,3.96,4.253454,0,0.0,0.991166,0.992002,0.659867,0.0,0.0,0.77747,1.0,-0.147674,-0.006775,-0.012601,0.004501,2.149631,1.275879,11.957234,0.040092,0.022354
pos_intact,16jfo5vu,position,new_eval,Walk,locomote,11574,115.74,4.282985,1,0.00864,0.985848,0.99147,0.663508,0.0,0.0,0.779962,1.0,-0.121861,-0.006568,-0.009374,0.005258,2.061853,1.266945,22.762716,0.040913,0.022468
pos_intact,16jfo5vu,position,new_eval,WalkFast,locomote,2554,25.54,4.242447,0,0.0,0.976823,0.989911,0.634949,0.0,0.0,0.794753,1.0,-0.124017,-0.01096,-0.019012,0.007091,2.524657,1.333502,35.012993,0.042544,0.0212
pos_intact,vd2z944s,position,new_eval,Amble,locomote,16856,168.56,4.275487,3,0.017798,0.98781,0.982524,0.664761,0.0,0.0,0.768251,1.0,-0.116295,-0.005598,-0.005966,0.004651,3.197745,1.264581,13.879705,0.042442,0.023164
pos_intact,vd2z944s,position,new_eval,AmbleGroom,groom,477,4.77,4.253257,0,0.0,0.987607,0.986401,0.659488,0.0,0.0,0.758929,1.0,-0.121529,-0.007977,-0.009662,0.004815,3.022012,1.277112,19.976662,0.042982,0.023561
pos_intact,vd2z944s,position,new_eval,FaceGroom,groom,981,9.81,4.212267,0,0.0,0.990083,0.973511,0.660191,0.0,0.0,0.716442,1.0,-0.11583,-0.005686,-0.006442,0.004497,4.033282,1.274692,13.505551,0.04782,0.026325
