dataset,clip_index,behaviour,coarse,modal_frac,n_behaviours,label_source,source_clip_index,clip_start_frame,clip_end_frame,clip_src_label
new_eval,0,ProneSniff,still,0.632,11,motion_mapper,-1,2500,4000,00:50-01:55
new_eval,1,RearHigh,rear,0.246,10,motion_mapper,-1,4000,5500,00:50-01:55
new_eval,2,ProneSniff,still,0.438667,8,motion_mapper,-1,6400,7900,02:08-03:25
new_eval,3,ProneSniff,still,0.512,9,motion_mapper,-1,7900,9400,02:08-03:25
new_eval,4,Amble,locomote,0.328667,8,motion_mapper,-1,16100,17600,05:22-06:22
new_eval,5,Walk,locomote,0.265333,7,motion_mapper,-1,17600,19100,05:22-06:22
new_eval,6,ProneSniff,still,0.241333,11,motion_mapper,-1,24250,25750,08:05-09:05
new_eval,7,ProneSniff,still,0.414667,7,motion_mapper,-1,25750,27250,08:05-09:05
new_eval,8,ProneSniff,still,0.579333,10,motion_mapper,-1,30250,31750,10:05-10:30
new_eval,9,ProneSniff,still,0.228,10,motion_mapper,-1,46050,47550,15:21-15:50
new_eval,10,Amble,locomote,0.206,12,motion_mapper,-1,48750,50250,16:15-17:15
new_eval,11,ProneSniff,still,0.346667,10,motion_mapper,-1,50250,51750,16:15-17:15
new_eval,12,ProneSniff,still,0.25,12,motion_mapper,-1,53000,54500,17:40-18:50
new_eval,13,Amble,locomote,0.221333,11,motion_mapper,-1,54500,56000,17:40-18:50
new_eval,14,ProneSniff,still,0.403333,8,motion_mapper,-1,57800,59300,19:16-19:45
new_eval,15,Amble,locomote,0.276,9,motion_mapper,-1,71500,73000,23:50-26:15
new_eval,16,Amble,locomote,0.239333,12,motion_mapper,-1,73000,74500,23:50-26:15
new_eval,17,RearHigh,rear,0.456667,10,motion_mapper,-1,74500,76000,23:50-26:15
new_eval,18,ProneSniff,still,0.415333,7,motion_mapper,-1,76000,77500,23:50-26:15
new_eval,19,ProneSniff,still,0.362,9,motion_mapper,-1,80400,81900,26:48-27:20
new_eval,20,Amble,locomote,0.285333,11,motion_mapper,-1,92100,93600,30:42-31:15
new_eval,21,ProneSniff,still,0.414,10,motion_mapper,-1,96200,97700,32:04-32:52
new_eval,22,Amble,locomote,0.258667,10,motion_mapper,-1,105900,107400,35:18-35:50
new_eval,23,Walk,locomote,0.298,10,motion_mapper,-1,109250,110750,36:25-37:00
new_eval,24,ProneSlow,still,0.220667,9,motion_mapper,-1,119250,120750,39:45-42:20
new_eval,25,ProneSniff,still,0.48,7,motion_mapper,-1,120750,122250,39:45-42:20
new_eval,26,ProneSniff,still,0.411333,11,motion_mapper,-1,122250,123750,39:45-42:20
