condition,wandb_id,mode,clip_index,term_step,term_s,term_frame,term_reason,behaviour_at_term,behaviour_window_modal,window_modal_frac
pos_intact,16jfo5vu,position,0,396,3.96,198,root_too_far,RearLow,RearLow,0.882353
pos_intact,16jfo5vu,position,1,1868,18.68,934,root_too_far,Walk,Walk,1.0
pos_intact,16jfo5vu,position,3,326,3.26,163,root_too_far,ProneSlow,ProneSniff,0.921569
pos_intact,16jfo5vu,position,10,2032,20.32,1016,root_too_far,RearHigh,RearHigh,0.823529
pos_intact,16jfo5vu,position,15,1778,17.78,889,root_too_far,RearHigh,RearHigh,1.0
pos_intact,16jfo5vu,position,19,817,8.17,408,root_too_far,Amble,Amble,0.882353
pos_intact,16jfo5vu,position,27,308,3.08,154,root_too_far,Amble,Amble,0.745098
pos_intact,vd2z944s,position,1,1871,18.71,936,root_too_rotated,Walk,Walk,1.0
pos_intact,vd2z944s,position,3,292,2.92,146,root_too_rotated,ProneSniff,ProneSniff,1.0
pos_intact,vd2z944s,position,10,2014,20.14,1007,root_too_far,RearHigh,RearHigh,0.470588
pos_intact,vd2z944s,position,11,2923,29.23,1462,root_too_rotated,ProneSlow,ProneSlow,0.529412
pos_intact,vd2z944s,position,13,2152,21.52,1076,root_too_far,RearLow,RearLow,0.941176
pos_intact,vd2z944s,position,15,1724,17.24,862,root_too_far,RearHigh,RearHigh,0.764706
pos_intact,vd2z944s,position,19,803,8.03,401,root_too_far,Amble,Amble,0.882353
pos_intact,vd2z944s,position,27,228,2.28,114,root_too_rotated,Amble,Amble,1.0
pos_intact,vd2z944s,position,30,2418,24.18,1209,root_too_far,Amble,RearMid,0.607843
pos_nointent,9hyirkcx,position,0,2329,23.29,1165,root_too_far,RearHigh,RearHigh,0.72549
pos_nointent,9hyirkcx,position,1,176,1.76,88,root_too_far,RearHigh,RearMid,0.627451
pos_nointent,9hyirkcx,position,2,391,3.91,196,root_too_far,Walk,Walk,0.568627
pos_nointent,9hyirkcx,position,3,411,4.11,206,root_too_rotated,Amble,Amble,1.0
pos_nointent,9hyirkcx,position,4,405,4.05,203,root_too_rotated,Walk,Walk,0.686275
pos_nointent,9hyirkcx,position,5,473,4.73,237,root_too_far,Walk,Walk,0.960784
pos_nointent,9hyirkcx,position,6,694,6.94,347,root_too_far,RearHigh,RearHigh,1.0
pos_nointent,9hyirkcx,position,7,39,0.39,20,root_too_rotated,ProneStill,ProneStill,0.825
pos_nointent,9hyirkcx,position,8,321,3.21,161,root_too_far,RearHigh,RearMid,0.470588
pos_nointent,9hyirkcx,position,9,586,5.86,293,root_too_far,WalkFast,Walk,0.705882
pos_nointent,9hyirkcx,position,10,914,9.14,457,root_too_far,Walk,Walk,1.0
pos_nointent,9hyirkcx,position,11,301,3.01,151,root_too_far,Amble,Amble,0.490196
pos_nointent,9hyirkcx,position,12,828,8.28,414,root_too_far,RearHigh,RearMid,0.901961
pos_nointent,9hyirkcx,position,13,144,1.44,72,root_too_far,AmbleGroom,Amble,0.588235
pos_nointent,9hyirkcx,position,14,311,3.11,156,root_too_far,Walk,Walk,1.0
pos_nointent,9hyirkcx,position,15,405,4.05,203,root_too_far,RearMid,RearMid,1.0
pos_nointent,9hyirkcx,position,16,532,5.32,266,root_too_far,RearHigh,RearMid,0.784314
pos_nointent,9hyirkcx,position,17,339,3.39,170,root_too_far,WalkFast,RearDown,0.392157
pos_nointent,9hyirkcx,position,18,291,2.91,146,root_too_rotated,Walk,Walk,1.0
pos_nointent,9hyirkcx,position,19,257,2.57,129,root_too_far,WalkFast,WalkFast,0.431373
pos_nointent,9hyirkcx,position,20,275,2.75,138,root_too_far,WalkFast,Walk,0.490196
pos_nointent,9hyirkcx,position,21,596,5.96,298,root_too_far,RearHigh,RearMid,0.862745
pos_nointent,9hyirkcx,position,22,1100,11.0,550,root_too_far,WalkFast,WalkFast,0.72549
pos_nointent,9hyirkcx,position,23,28,0.28,14,root_too_rotated,Amble,Amble,0.965517
pos_nointent,9hyirkcx,position,24,694,6.94,347,root_too_far,Walk,Walk,1.0
pos_nointent,9hyirkcx,position,25,1152,11.52,576,root_too_rotated,Walk,Amble,0.666667
pos_nointent,9hyirkcx,position,26,72,0.72,36,root_too_far,Walk,Walk,1.0
pos_nointent,9hyirkcx,position,27,58,0.58,29,root_too_far,Walk,Walk,0.647059
pos_nointent,9hyirkcx,position,28,213,2.13,106,root_too_far,RearHigh,RearHigh,1.0
pos_nointent,9hyirkcx,position,29,508,5.08,254,root_too_far,WalkFast,Amble,0.45098
pos_nointent,9hyirkcx,position,30,373,3.73,187,root_too_far,Amble,Amble,1.0
pos_nointent,9hyirkcx,position,31,425,4.25,213,root_too_far,WalkFast,Walk,0.54902
pos_noproprio_eff0,23267t68,position,0,106,1.06,53,root_too_rotated,RearMid,RearMid,1.0
pos_noproprio_eff0,23267t68,position,1,220,2.2,110,root_too_far,RearHigh,RearHigh,1.0
pos_noproprio_eff0,23267t68,position,2,728,7.28,364,root_too_far,Walk,Walk,1.0
pos_noproprio_eff0,23267t68,position,3,37,0.37,19,root_too_rotated,Walk,Walk,1.0
pos_noproprio_eff0,23267t68,position,4,428,4.28,214,root_too_rotated,Walk,Walk,1.0
pos_noproprio_eff0,23267t68,position,6,771,7.71,385,root_too_far,RearHigh,RearHigh,1.0
pos_noproprio_eff0,23267t68,position,7,1595,15.95,797,root_too_far,ProneStill,ProneStill,1.0
pos_noproprio_eff0,23267t68,position,8,411,4.11,206,root_too_rotated,Walk,RearDown,0.588235
pos_noproprio_eff0,23267t68,position,9,1267,12.67,633,root_too_far,RearHigh,RearDown,0.588235
pos_noproprio_eff0,23267t68,position,10,2066,20.66,1033,pose_error,RearHigh,RearHigh,1.0
pos_noproprio_eff0,23267t68,position,11,1842,18.42,921,root_too_far,RearHigh,RearMid,0.509804
pos_noproprio_eff0,23267t68,position,12,951,9.51,475,root_too_far,RearHigh,RearHigh,1.0
pos_noproprio_eff0,23267t68,position,13,884,8.84,442,root_too_rotated,Amble,Amble,1.0
