condition,wandb_id,wandb_name,created_at,state
pos_intact,16jfo5vu,RodentEncDec_delay0_eff0-job43322478,2026-08-31T21:33:42Z,finished
pos_intact,vd2z944s,RodentEncDec_delay0_eff0-job43609004,2026-09-01T16:21:35Z,finished
pos_nointent,9hyirkcx,RodentEncDec_delay10_eff10_nointent-job43323571,2026-08-31T21:35:25Z,finished
pos_noproprio_eff0,23267t68,RodentEncDec_delay5_eff0_noproprio-job43642407,2026-09-01T19:17:08Z,finished
pos_noproprio_eff0,dkglvuw8,RodentEncDec_delay0_eff0_noproprio-job43605398,2026-09-01T16:21:35Z,finished
pos_noproprio_eff0,wbyipflf,RodentEncDec_delay0_eff0_noproprio-job43605123,2026-09-01T16:21:35Z,finished
pos_noproprio_eff2,7w26do00,RodentEncDec_delay0_eff2_noproprio-20260902-205526,2026-09-03T00:55:29Z,finished
pos_noproprio_eff2,rfoe9wu2,RodentEncDec_delay0_eff2_noproprio-20260903-091533,2026-09-03T13:15:49Z,finished
torque_delay10,h2l057w2,RodentEncDec_delay10_eff10-job43288949,2026-08-31T19:33:07Z,finished
torque_delay10,u3lywvaj,RodentEncDec_delay10_eff10-20260902-114605,2026-09-02T15:46:26Z,finished
torque_delay10,yki9qy8j,RodentEncDec_delay10_eff10-20260831-140714,2026-08-31T18:07:44Z,finished
torque_delay10_aug11,vo7jiiwr,RodentEncDec_delay10_eff10-20260811-083832,2026-08-11T12:38:40Z,failed
torque_intact,594219y6,RodentEncDec_delay0_eff0-job43288960,2026-08-31T19:33:07Z,finished
torque_intact,86cpjh43,RodentEncDec_delay0_eff0-20260831-140714,2026-08-31T18:07:44Z,finished
torque_intact,ame77mw2,RodentEncDec_delay0_eff0-20260824-091609,2026-08-24T13:16:20Z,finished
torque_nointent,dv8hft01,RodentEncDec_delay10_eff10_nointent-20260825-071450,2026-08-25T11:14:52Z,finished
torque_noproprio_eff2,cxixksnk,RodentEncDec_delay0_eff2_noproprio-20260902-223746,2026-09-03T02:37:53Z,finished
