wandb_id,wandb_name,wandb_project,git_commit,tags,condition,control_mode,network,delay_k,efference_length,torque_actuators,fm_loss_weight,detach_prediction,body_target_frame,seed,latent_size,kl_weight,enc_hidden_sizes,dec_hidden_sizes,critic_hidden_sizes,clip_length,actual_step,reward_mean,reward_std,lifespan_mean,fm_pred_mse
zjuovm3u,RodentEncDec_delay0_eff0-20260706-105452,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"EncDec,MLP,TrainEvalSplit,delay0,eff0,warp",pos_efference,position,efference,0,0,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1958.0142822265625,176.44534301757812,444.796875,
trd8wxes,RodentEncDec_delay2_eff2-20260706-105513,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"EncDec,MLP,TrainEvalSplit,delay2,eff2,warp",pos_efference,position,efference,2,2,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1928.8905029296875,236.5509796142578,441.7138671875,
vqs4c6f6,RodentEncDec_delay3_eff3-20260707-090642,emiwar-team/nnx-ppo-rodent-delays,b18513ae,"EncDec,MLP,TrainEvalSplit,delay3,eff3,warp",pos_efference,position,efference,3,3,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1918.1328125,223.8963623046875,442.126953125,
wl9tuybw,RodentEncDec_delay4_eff4-20260707-090714,emiwar-team/nnx-ppo-rodent-delays,b18513ae,"EncDec,MLP,TrainEvalSplit,delay4,eff4,warp",pos_efference,position,efference,4,4,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1920.2366943359375,208.28797912597656,443.4521484375,
2ecbceb0,RodentEncDec_delay5_eff5-20260706-105738,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"EncDec,MLP,TrainEvalSplit,delay5,eff5,warp",pos_efference,position,efference,5,5,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1912.617919921875,224.15777587890625,442.1259765625,
95c5q3ct,RodentEncDec_delay6_eff6-20260707-090727,emiwar-team/nnx-ppo-rodent-delays,b18513ae,"EncDec,MLP,TrainEvalSplit,delay6,eff6,warp",pos_efference,position,efference,6,6,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1902.833251953125,252.2974090576172,440.501953125,
5nkfsp9k,RodentEncDec_delay7_eff7-20260707-090730,emiwar-team/nnx-ppo-rodent-delays,b18513ae,"EncDec,MLP,TrainEvalSplit,delay7,eff7,warp",pos_efference,position,efference,7,7,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1867.554931640625,308.75921630859375,433.9150390625,
ixcxllws,RodentEncDec_delay8_eff8-20260707-090735,emiwar-team/nnx-ppo-rodent-delays,b18513ae,"EncDec,MLP,TrainEvalSplit,delay8,eff8,warp",pos_efference,position,efference,8,8,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1879.00927734375,284.6828918457031,437.404296875,
lrolo3mu,RodentEncDec_delay9_eff9-20260707-090744,emiwar-team/nnx-ppo-rodent-delays,b18513ae,"EncDec,MLP,TrainEvalSplit,delay9,eff9,warp",pos_efference,position,efference,9,9,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1881.6932373046875,266.687255859375,438.9921875,
xzhowley,RodentEncDec_delay10_eff10-20260706-105738,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"EncDec,MLP,TrainEvalSplit,delay10,eff10,warp",pos_efference,position,efference,10,10,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1875.4892578125,281.8836364746094,437.4921875,
nek7c77v,RodentEncDec_delay12_eff12-20260707-090750,emiwar-team/nnx-ppo-rodent-delays,b18513ae,"EncDec,MLP,TrainEvalSplit,delay12,eff12,warp",pos_efference,position,efference,12,12,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1845.1842041015625,332.711669921875,432.2138671875,
8di7zd23,RodentEncDec_delay15_eff15-20260707-090757,emiwar-team/nnx-ppo-rodent-delays,b18513ae,"EncDec,MLP,TrainEvalSplit,delay15,eff15,warp",pos_efference,position,efference,15,15,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1838.1839599609375,342.86248779296875,430.701171875,
8ykr1nha,RodentEncDec_delay20_eff20-20260706-105901,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"EncDec,MLP,TrainEvalSplit,delay20,eff20,warp",pos_efference,position,efference,20,20,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1830.5322265625,341.0394287109375,430.0771484375,
ec0i0481,RodentEncDec_delay25_eff25-20260707-092552,emiwar-team/nnx-ppo-rodent-delays,b18513ae,"EncDec,MLP,TrainEvalSplit,delay25,eff25,warp",pos_efference,position,efference,25,25,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1821.9376220703125,357.0536193847656,428.001953125,
nsnfdku1,RodentEncDec_delay30_eff30-20260707-090909,emiwar-team/nnx-ppo-rodent-delays,b18513ae,"EncDec,MLP,TrainEvalSplit,delay30,eff30,warp",pos_efference,position,efference,30,30,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1777.7584228515625,409.5358581542969,419.703125,
wx2sx7a9,RodentEncDec_delay40_eff40-20260707-092552,emiwar-team/nnx-ppo-rodent-delays,b18513ae,"EncDec,MLP,TrainEvalSplit,delay40,eff40,warp",pos_efference,position,efference,40,40,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1776.5562744140625,416.94189453125,419.111328125,
shi2kpky,RodentEncDec_delay50_eff50-20260706-110520,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"EncDec,MLP,TrainEvalSplit,delay50,eff50,warp",pos_efference,position,efference,50,50,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1805.9808349609375,351.8737487792969,427.9853515625,
vafxejxs,RodentEncDec_delay60_eff60-20260707-092613,emiwar-team/nnx-ppo-rodent-delays,b18513ae,"EncDec,MLP,TrainEvalSplit,delay60,eff60,warp",pos_efference,position,efference,60,60,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1772.958251953125,394.4669494628906,421.11328125,
p57vkvkk,RodentEncDec_delay70_eff70-20260706-171312,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"EncDec,MLP,TrainEvalSplit,delay70,eff70,warp",pos_efference,position,efference,70,70,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1799.6058349609375,357.7773132324219,427.390625,
vhb10bbx,RodentEncDec_delay80_eff80-20260707-090938,emiwar-team/nnx-ppo-rodent-delays,b18513ae,"EncDec,MLP,TrainEvalSplit,delay80,eff80,warp",pos_efference,position,efference,80,80,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1788.1083984375,362.8762512207031,426.427734375,
uo9l3o1s,RodentEncDec_delay90_eff90-20260707-090935,emiwar-team/nnx-ppo-rodent-delays,b18513ae,"EncDec,MLP,TrainEvalSplit,delay90,eff90,warp",pos_efference,position,efference,90,90,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1721.676513671875,448.4441223144531,410.43359375,
9lycwxlg,RodentEncDec_delay100_eff100-20260706-171321,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"EncDec,MLP,TrainEvalSplit,delay100,eff100,warp",pos_efference,position,efference,100,100,False,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1737.036865234375,413.9548645019531,416.423828125,
3f3r7yds,RodentForwardModel_delay0_eff0-20260706-171304,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"ForwardModel,MLP,TrainEvalSplit,delay0,eff0,warp",pos_forward_model,position,forward_model,0,0,False,1.0,True,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1947.108642578125,175.53871154785156,444.5986328125,0.00053093780297786
un5lkdy3,RodentForwardModel_delay2_eff2-20260706-171304,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"ForwardModel,MLP,TrainEvalSplit,delay2,eff2,warp",pos_forward_model,position,forward_model,2,2,False,1.0,True,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1928.638916015625,191.83447265625,444.0126953125,0.033720605075359344
u1tiif7a,RodentForwardModel_delay5_eff5-20260706-171310,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"ForwardModel,MLP,TrainEvalSplit,delay5,eff5,warp",pos_forward_model,position,forward_model,5,5,False,1.0,True,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1909.39599609375,214.8074188232422,442.9462890625,0.04226577654480934
m87hoxba,RodentForwardModel_delay10_eff10-20260706-171304,emiwar-team/nnx-ppo-rodent-delays,891cd0d3,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",pos_forward_model,position,forward_model,10,10,False,1.0,True,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1872.05615234375,284.9640197753906,436.91015625,0.053125254809856415
