condition,wandb_id,wandb_name,created_at,state
feedforward,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,2026-08-11T11:52:49Z,failed
feedforward,2fiwhyiz,RodentEncDec_delay30_eff30-20260811-084029,2026-08-11T12:40:31Z,failed
feedforward,48llced7,RodentEncDec_delay100_eff100-20260811-094548,2026-08-11T13:45:49Z,failed
feedforward,50kclg6u,RodentEncDec_delay2_eff1-20260828-063332,2026-08-28T10:33:35Z,finished
feedforward,5sdstqym,RodentEncDec_delay10_eff1-20260825-060045,2026-08-25T10:01:00Z,finished
feedforward,7qbsx2pa,RodentEncDec_delay20_eff20-20260811-083832,2026-08-11T12:38:40Z,failed
feedforward,7ur99xil,RodentEncDec_delay5_eff5-20260811-081204,2026-08-11T12:12:06Z,failed
feedforward,8j703ofi,RodentEncDec_delay25_eff25-20260811-083832,2026-08-11T12:38:40Z,failed
feedforward,904oncgf,RodentEncDec_delay7_eff7-20260811-081755,2026-08-11T12:17:56Z,failed
feedforward,94dxkjjb,RodentEncDec_delay30_eff1-20260827-174133,2026-08-27T21:41:41Z,finished
feedforward,987ogwye,RodentEncDec_delay20_eff1-20260827-174227,2026-08-27T21:42:28Z,finished
feedforward,9htwlukh,RodentEncDec_delay0_eff0-20260811-075304,2026-08-11T11:53:07Z,failed
feedforward,9j42qevl,RodentEncDec_delay5_eff1-20260825-060037,2026-08-25T10:01:00Z,finished
feedforward,ame77mw2,RodentEncDec_delay0_eff0-20260824-091609,2026-08-24T13:16:20Z,finished
feedforward,ax6foqgd,RodentEncDec_delay4_eff4-20260811-081204,2026-08-11T12:12:06Z,failed
feedforward,bzm76mrs,RodentEncDec_delay5_eff5-20260824-091609,2026-08-24T13:16:20Z,finished
feedforward,c1v5gmie,RodentEncDec_delay6_eff6-20260811-081205,2026-08-11T12:12:06Z,failed
feedforward,cfq1srhp,RodentEncDec_delay70_eff70-20260811-094225,2026-08-11T13:42:34Z,failed
feedforward,d4dtnb5x,RodentEncDec_delay50_eff50-20260811-084722,2026-08-11T12:47:23Z,failed
feedforward,dqjh25pb,RodentEncDec_delay8_eff8-20260811-081952,2026-08-11T12:19:57Z,failed
feedforward,ekl3fbju,RodentEncDec_delay90_eff90-20260811-094225,2026-08-11T13:42:34Z,failed
feedforward,fcnv7qnl,RodentEncDec_delay0_eff1-20260828-074108,2026-08-28T11:41:09Z,finished
