condition,wandb_id,wandb_name,git_commit,gpu,n_envs,delay_k,efference_length,seed,actual_step,total_params,metric_source,train_reward,old_eval_reward,new_eval_reward,old_eval_lifespan,survived
fixed,sjvihoij,RodentEncDec_delay0_eff0-20260824-091620,a3450a9,NVIDIA A100-SXM4-40GB,1024,0,0,52,600002560.0,4125325.0,inline_final_eval,2093.0638335002654,2084.494772013828,9011.430904388428,480.9881656804734,0.970414201183432
fixed,ame77mw2,RodentEncDec_delay0_eff0-20260824-091609,a3450a9,NVIDIA H200,4096,0,0,42,600064000.0,4125325.0,inline_final_eval,2171.7270176789734,2146.214943970449,10553.797401428224,484.85798816568047,0.9822485207100592
fixed,bzm76mrs,RodentEncDec_delay5_eff5-20260824-091609,a3450a9,NVIDIA H200,4096,5,5,42,600064000.0,4222605.0,inline_final_eval,2077.1321867989573,2037.9214627418291,7722.463610649109,476.3609467455621,0.9526627218934912
fixed,4h227zyv,RodentEncDec_delay10_eff10-20260824-091620,a3450a9,NVIDIA A100-SXM4-40GB,1024,10,10,52,600002560.0,4319885.0,inline_final_eval,1535.3833278525638,1424.1130450999242,3430.4780502319336,372.7751479289941,0.5976331360946745
pre_refactor,9htwlukh,RodentEncDec_delay0_eff0-20260811-075304,ef060b7,NVIDIA H200,4096,0,0,42,600064000.0,,artifact:eval3ds-n00-6a6b8d4e,2179.3645832124116,2144.981657490928,11338.058582305908,484.72189349112426,0.9881656804733728
pre_refactor,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,ef060b7,NVIDIA H200,4096,1,1,42,600064000.0,,artifact:eval3ds-n00-6a6b8d4e,2154.1520522459123,2138.64156978088,9846.615762710571,486.3491124260355,0.9822485207100592
pre_refactor,zq5dvwvf,RodentEncDec_delay2_eff2-20260811-080832,ef060b7,NVIDIA H200,4096,2,2,42,600064000.0,,artifact:eval3ds-n00-6a6b8d4e,2128.328809015464,2133.0231045153014,9623.411611557007,488.85207100591714,0.9940828402366864
pre_refactor,qpsikl6i,RodentEncDec_delay3_eff3-20260811-081204,ef060b7,NVIDIA H200,4096,3,3,42,600064000.0,,artifact:eval3ds-n00-6a6b8d4e,2101.591054386405,2058.4179872140376,8471.563630104065,474.64497041420117,0.9467455621301775
pre_refactor,ax6foqgd,RodentEncDec_delay4_eff4-20260811-081204,ef060b7,NVIDIA H200,4096,4,4,42,600064000.0,,artifact:eval3ds-n00-6a6b8d4e,2104.2665495397787,2052.0899076743945,8682.460566520691,478.0473372781065,0.9526627218934911
pre_refactor,7ur99xil,RodentEncDec_delay5_eff5-20260811-081204,ef060b7,NVIDIA H200,4096,5,5,42,600064000.0,,artifact:eval3ds-n00-6a6b8d4e,2046.07620427442,1948.682545091979,7279.885705471039,458.5207100591716,0.8994082840236687
pre_refactor,c1v5gmie,RodentEncDec_delay6_eff6-20260811-081205,ef060b7,NVIDIA H200,4096,6,6,42,600064000.0,,artifact:eval3ds-n00-6a6b8d4e,2009.708168483241,1935.3015495616303,7692.589979171753,457.89940828402365,0.8875739644970414
