condition,wandb_id,wandb_name,created_at,state
fixed,4h227zyv,RodentEncDec_delay10_eff10-20260824-091620,2026-08-24T13:16:21Z,finished
fixed,ame77mw2,RodentEncDec_delay0_eff0-20260824-091609,2026-08-24T13:16:20Z,finished
fixed,bzm76mrs,RodentEncDec_delay5_eff5-20260824-091609,2026-08-24T13:16:20Z,finished
fixed,sjvihoij,RodentEncDec_delay0_eff0-20260824-091620,2026-08-24T13:16:24Z,finished
pre_refactor,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,2026-08-11T11:52:49Z,failed
pre_refactor,2fiwhyiz,RodentEncDec_delay30_eff30-20260811-084029,2026-08-11T12:40:31Z,failed
pre_refactor,48llced7,RodentEncDec_delay100_eff100-20260811-094548,2026-08-11T13:45:49Z,failed
pre_refactor,7qbsx2pa,RodentEncDec_delay20_eff20-20260811-083832,2026-08-11T12:38:40Z,failed
pre_refactor,7ur99xil,RodentEncDec_delay5_eff5-20260811-081204,2026-08-11T12:12:06Z,failed
pre_refactor,8j703ofi,RodentEncDec_delay25_eff25-20260811-083832,2026-08-11T12:38:40Z,failed
pre_refactor,904oncgf,RodentEncDec_delay7_eff7-20260811-081755,2026-08-11T12:17:56Z,failed
pre_refactor,9htwlukh,RodentEncDec_delay0_eff0-20260811-075304,2026-08-11T11:53:07Z,failed
pre_refactor,ax6foqgd,RodentEncDec_delay4_eff4-20260811-081204,2026-08-11T12:12:06Z,failed
pre_refactor,c1v5gmie,RodentEncDec_delay6_eff6-20260811-081205,2026-08-11T12:12:06Z,failed
pre_refactor,cfq1srhp,RodentEncDec_delay70_eff70-20260811-094225,2026-08-11T13:42:34Z,failed
pre_refactor,d4dtnb5x,RodentEncDec_delay50_eff50-20260811-084722,2026-08-11T12:47:23Z,failed
pre_refactor,dqjh25pb,RodentEncDec_delay8_eff8-20260811-081952,2026-08-11T12:19:57Z,failed
pre_refactor,ekl3fbju,RodentEncDec_delay90_eff90-20260811-094225,2026-08-11T13:42:34Z,failed
pre_refactor,g1eehkgv,RodentEncDec_delay40_eff40-20260811-084704,2026-08-11T12:47:05Z,failed
pre_refactor,mpmlfb9i,RodentEncDec_delay15_eff15-20260811-083832,2026-08-11T12:38:40Z,failed
pre_refactor,n1igz0o8,RodentEncDec_delay60_eff60-20260811-084722,2026-08-11T12:47:23Z,failed
pre_refactor,op8eyyba,RodentEncDec_delay12_eff12-20260811-083832,2026-08-11T12:38:40Z,failed
pre_refactor,qpsikl6i,RodentEncDec_delay3_eff3-20260811-081204,2026-08-11T12:12:06Z,failed
pre_refactor,qynq5js2,RodentEncDec_delay80_eff80-20260811-094225,2026-08-11T13:42:34Z,failed
pre_refactor,vo7jiiwr,RodentEncDec_delay10_eff10-20260811-083832,2026-08-11T12:38:40Z,failed
pre_refactor,xgrebrix,RodentEncDec_delay9_eff9-20260811-081952,2026-08-11T12:19:57Z,failed
pre_refactor,zq5dvwvf,RodentEncDec_delay2_eff2-20260811-080832,2026-08-11T12:08:40Z,failed
unregularized,4d06k2pq,RodentEncDec_delay10_eff10-20260821-101955,2026-08-21T14:20:08Z,finished
unregularized,kbpfipxq,RodentEncDec_delay0_eff0-20260821-115849,2026-08-21T15:58:55Z,finished
unregularized,ul9wzzpl,RodentEncDec_delay5_eff5-20260821-094725,2026-08-21T13:47:26Z,finished
