"Name","ID","State","Notes","Tags","Created","GPU Type","config.ppo.n_envs","delay_k","efference_length","env_params.reference_stride","Runtime","total_steps","episode_reward/p25","episode_reward/p50","episode_reward/p75","env/root_pos_distance/p50","env/body_errors/end_eff_total/p50","rollout_batch/done_rate","episode_reward/mean","episode_reward/std","net/3/action/0/task_obs/6/kl_divergence/p0","net/3/action/0/task_obs/6/kl_divergence/p100","net/3/action/0/task_obs/6/kl_divergence/p25","net/3/action/0/task_obs/6/kl_divergence/p50","net/3/action/0/task_obs/6/kl_divergence/p75","net/3/action/0/task_obs/6/mu/p0","net/3/action/0/task_obs/6/mu/p100","net/3/action/0/task_obs/6/mu/p25","net/3/action/0/task_obs/6/mu/p50","net/3/action/0/task_obs/6/mu/p75","net/3/action/0/task_obs/6/sigma/p0","net/3/action/0/task_obs/6/sigma/p100","net/3/action/0/task_obs/6/sigma/p25","net/3/action/0/task_obs/6/sigma/p50","net/3/action/0/task_obs/6/sigma/p75","net/3/action/1/5/mu/p0","net/3/action/1/5/mu/p100","net/3/action/1/5/mu/p25","net/3/action/1/5/mu/p50","net/3/action/1/5/mu/p75","net/3/action/1/5/sigma/p0","net/3/action/1/5/sigma/p100","net/3/action/1/5/sigma/p25","net/3/action/1/5/sigma/p50","net/3/action/1/5/sigma/p75"
"RodentEncDec_delay30_eff0-20260609-165316","8xgho7c1","finished","-","EncDec, MLP, delay30, eff0, warp","2026-06-09T20:53:19.000Z","NVIDIA A100-SXM4-80GB","4096","30","0","1","19932","600064000","","","","","","","875.4993896484375","644.0901489257812","","","","","","","","","","","","","","","","","","","","","","","","",""
"RodentEncDec_delay25_eff0-20260609-165316","ujoee10a","finished","-","EncDec, MLP, delay25, eff0, warp","2026-06-09T20:53:19.000Z","NVIDIA A100-SXM4-80GB","4096","25","0","1","19920","600064000","","","","","","","902.6856689453124","653.6422729492188","","","","","","","","","","","","","","","","","","","","","","","","",""
"RodentEncDec_delay20_eff0-20260609-163635","zg2c5a16","finished","-","EncDec, MLP, delay20, eff0, warp","2026-06-09T20:36:45.000Z","NVIDIA A100-SXM4-80GB","4096","20","0","1","19859","600064000","","","","","","","889.5022583007812","654.4129638671875","","","","","","","","","","","","","","","","","","","","","","","","",""
"RodentEncDec_delay5_eff0-20260609-163635","9x2tstb1","finished","-","EncDec, MLP, delay5, eff0, warp","2026-06-09T20:36:45.000Z","NVIDIA A100-SXM4-80GB","4096","5","0","1","19616","600064000","","","","","","","1023.9140014648438","661.3809814453125","","","","","","","","","","","","","","","","","","","","","","","","",""
"RodentEncDec_delay15_eff0-20260609-163635","qk885j9f","finished","-","EncDec, MLP, delay15, eff0, warp","2026-06-09T20:36:45.000Z","NVIDIA A100-SXM4-80GB","4096","15","0","1","19863","600064000","","","","","","","880.525634765625","653.5084228515625","","","","","","","","","","","","","","","","","","","","","","","","",""
"RodentEncDec_delay4_eff0-20260609-163635","poj6r3os","finished","-","EncDec, MLP, delay4, eff0, warp","2026-06-09T20:36:45.000Z","NVIDIA A100-SXM4-80GB","4096","4","0","1","19624","600064000","","","","","","","1074.025390625","658.1472778320312","","","","","","","","","","","","","","","","","","","","","","","","",""
"RodentEncDec_delay3_eff0-20260609-094343","lck2ve4n","finished","-","EncDec, MLP, delay3, eff0, warp","2026-06-09T13:43:44.000Z","NVIDIA H200","4096","3","0","1","12250","600064000","","","","","","","1282.693603515625","620.8349609375","","","","","","","","","","","","","","","","","","","","","","","","",""
"RodentEncDec_delay2_eff0-20260609-093812","4vvkdvyp","finished","-","EncDec, MLP, delay2, eff0, warp","2026-06-09T13:38:13.000Z","NVIDIA H200","4096","2","0","1","12293","600064000","","","","","","","1571.7247314453125","472.6971740722656","","","","","","","","","","","","","","","","","","","","","","","","",""
"RodentEncDec_delay1_eff0-20260609-093756","t0ef909c","finished","-","EncDec, MLP, delay1, eff0, warp","2026-06-09T13:37:57.000Z","NVIDIA H200","4096","1","0","1","12339","600064000","","","","","","","1719.311279296875","346.2729797363281","","","","","","","","","","","","","","","","","","","","","","","","",""
"RodentEncDec_delay20_eff0-20260609-093732","vmoh7135","finished","-","EncDec, MLP, delay20, eff0, warp","2026-06-09T13:37:33.000Z","NVIDIA H200","4096","20","0","1","12404","600064000","","","","","","","903.66650390625","647.490966796875","","","","","","","","","","","","","","","","","","","","","","","","",""
