Name,ID,State,Notes,Tags,Created,GPU Type,config.ppo.n_envs,delay_k,efference_length,Runtime,total_steps,episode_reward/mean,episode_reward/std
,,,New set of params.,"EncDec, MLP, delay10, eff10, warp",2026-06-03T12:50:06.000Z,NVIDIA A100-SXM4-80GB,4096,10,10,20469,600064000,1849.35571289063,370.443176269531
RodentEncDec_delay9_eff9-20260603-085005,cgxrqzbh,finished,New set of params.,"EncDec, MLP, delay9, eff9, warp",2026-06-03T12:50:06.000Z,NVIDIA A100-SXM4-80GB,4096,9,9,20394,600064000,1868.32690429688,339.146362304687
RodentEncDec_delay8_eff8-20260603-084925,khj0fhvt,finished,New set of params.,"EncDec, MLP, delay8, eff8, warp",2026-06-03T12:49:26.000Z,NVIDIA A100-SXM4-80GB,4096,8,8,20415,600064000,1894.42749023437,308.164733886719
RodentEncDec_delay6_eff6-20260603-084705,4klc78er,finished,New set of params.,"EncDec, MLP, delay6, eff6, warp",2026-06-03T12:47:06.000Z,NVIDIA A100-SXM4-80GB,4096,6,6,20272,600064000,1884.06774902344,341.272216796875
RodentEncDec_delay7_eff7-20260603-084705,gg1a9sfs,finished,New set of params.,"EncDec, MLP, delay7, eff7, warp",2026-06-03T12:47:06.000Z,NVIDIA A100-SXM4-80GB,4096,7,7,20286,600064000,1908.16845703125,288.162963867188
RodentEncDec_delay5_eff5-20260603-084658,dzyl5ow7,finished,New set of params.,"EncDec, MLP, delay5, eff5, warp",2026-06-03T12:46:59.000Z,NVIDIA A100-SXM4-80GB,4096,5,5,20118,600064000,1931.3330078125,259.371368408203
RodentEncDec_delay4_eff4-20260603-084640,f9z5u4rs,finished,New set of params.,"EncDec, MLP, delay4, eff4, warp",2026-06-03T12:46:41.000Z,NVIDIA A100-SXM4-80GB,4096,4,4,20176,600064000,1937.97265625,235.010009765625
RodentEncDec_delay3_eff3-20260603-084626,hvpv4cnv,finished,New set of params.,"EncDec, MLP, delay3, eff3, warp",2026-06-03T12:46:27.000Z,NVIDIA A100-SXM4-80GB,4096,3,3,20029,600064000,1958.11584472656,211.505920410156
RodentEncDec_delay2_eff2-20260603-084107,cjpn71gt,finished,New set of params.,"EncDec, MLP, delay2, eff2, warp",2026-06-03T12:41:08.000Z,NVIDIA A100-SXM4-80GB,4096,2,2,19953,600064000,1983.13146972656,165.149444580078
RodentEncDec_delay1_eff1-20260603-083843,m0a40xpc,finished,New set of params.,"EncDec, MLP, delay1, eff1, warp",2026-06-03T12:38:44.000Z,NVIDIA A100-SXM4-80GB,4096,1,1,19897,600064000,1989.5048828125,169.654098510742
RodentEncDec_delay0_eff0-20260603-083745,jybtds38,finished,New set of params.,"EncDec, MLP, delay0, eff0, warp",2026-06-03T12:37:46.000Z,NVIDIA A100-SXM4-80GB,4096,0,0,19795,600064000,1999.08178710937,172.870910644531
