condition,wandb_id,wandb_name,created_at,state
expfm_new_2g,3dfjggpw,RodentForwardModel_delay20_eff20-20260813-074628,2026-08-13T11:46:32Z,finished
expfm_new_2g,7wpzx8cl,RodentForwardModel_delay50_eff50-20260813-074948,2026-08-13T11:49:49Z,finished
expfm_new_2g,dgv264dt,RodentForwardModel_delay0_eff0-20260813-073550,2026-08-13T11:35:59Z,finished
expfm_new_2g,itedqjyt,RodentForwardModel_delay10_eff10-20260813-074327,2026-08-13T11:43:29Z,finished
expfm_new_600m,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,2026-08-11T21:42:52Z,failed
expfm_new_600m,48icppj0,RodentForwardModel_delay20_eff20-20260811-174441,2026-08-11T21:44:43Z,failed
expfm_new_600m,6cbzq5on,RodentForwardModel_delay50_eff50-20260811-180113,2026-08-11T22:01:16Z,failed
expfm_new_600m,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,2026-08-11T20:20:34Z,failed
expfm_old_600m,29h53tbw,RodentForwardModel_delay50_eff50-20260619-040449,2026-06-19T08:04:52Z,finished
expfm_old_600m,6rp2ntz7,RodentForwardModel_delay10_eff10-20260619-033822,2026-06-19T07:38:25Z,finished
expfm_old_600m,bge1cw3s,RodentForwardModel_delay20_eff20-20260619-034701,2026-06-19T07:47:02Z,finished
expfm_old_600m,oof7uath,RodentForwardModel_delay0_eff0-20260619-032834,2026-06-19T07:28:44Z,finished
expfm_oldref_600m,4jp6xwlz,RodentForwardModel_delay0_eff0-20260706-062716,2026-07-06T10:27:20Z,finished
expfm_oldref_600m,996slefh,RodentForwardModel_delay10_eff10-20260706-062823,2026-07-06T10:28:24Z,finished
expfm_oldref_600m,gkphkezd,RodentForwardModel_delay20_eff20-20260706-062824,2026-07-06T10:28:25Z,finished
expfm_oldref_600m,jsuoivys,RodentForwardModel_delay50_eff50-20260706-062835,2026-07-06T10:28:36Z,finished
pgfm_new_2g,1dbmh27r,RodentForwardModel_delay10_eff10_nodetach-20260813-064420,2026-08-13T10:44:30Z,finished
pgfm_new_2g,6jz9o5p4,RodentForwardModel_delay50_eff50_nodetach-20260813-070412,2026-08-13T11:04:14Z,finished
pgfm_new_2g,nsfdsuk2,RodentForwardModel_delay0_eff0_nodetach-20260813-064425,2026-08-13T10:44:30Z,finished
pgfm_new_2g,x1wjdvt9,RodentForwardModel_delay20_eff20_nodetach-20260813-070304,2026-08-13T11:03:09Z,finished
pgfm_new_600m,cgs8q5gj,RodentForwardModel_delay10_eff10_nodetach-20260812-072521,2026-08-12T11:25:23Z,finished
pgfm_new_600m,efc0z8fe,RodentForwardModel_delay0_eff0_nodetach-20260812-072126,2026-08-12T11:21:32Z,finished
pgfm_new_600m,kwk401pl,RodentForwardModel_delay10_eff10_nodetach-20260812-100602,2026-08-12T14:06:07Z,finished
pgfm_new_600m,lxgp2zfn,RodentForwardModel_delay50_eff50_nodetach-20260812-100615,2026-08-12T14:06:17Z,finished
pgfm_new_600m,yt776s6d,RodentForwardModel_delay20_eff20_nodetach-20260812-100615,2026-08-12T14:06:16Z,finished
pgfm_old_600m,5kut4rjy,RodentForwardModel_delay10_eff10_nodetach-20260630-083050,2026-06-30T12:30:53Z,finished
pgfm_old_600m,e2gls1el,RodentForwardModel_delay50_eff50_nodetach-20260630-083033,2026-06-30T12:30:34Z,finished
pgfm_old_600m,k31whkph,RodentForwardModel_delay20_eff20_nodetach-20260630-083014,2026-06-30T12:30:24Z,finished
pgfm_old_600m,ycs161ow,RodentForwardModel_delay0_eff0_nodetach-20260630-083013,2026-06-30T12:30:24Z,finished
